year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,42.0,29.0,18.0,10.0,10.0,13.0,13.0,10.0,12.0,16.0,21.0,10.0,32.0,0.76
2000/01,Fall,42,24,16,13,10,16,16,14,11,18,26,10,32,0.76
2000/01,Winter,42,29,19,10,9,14,12,12,14,19,30,9,33,0.79
2000/01,Spring,42.0,26.0,17.0,10.0,7.0,12.0,10.0,9.0,13.0,17.0,22.0,7.0,35.0,0.83
2001/02,Summer,42.0,29.0,18.0,9.0,10.0,11.0,12.0,11.0,13.0,15.0,23.0,9.0,33.0,0.79
2001/02,Fall,47,29,17,9,8,15,9,10,15,17,24,8,39,0.83
2001/02,Winter,53,38,26,18,17,19,18,16,19,26,32,16,37,0.7
2001/02,Spring,53.0,37.0,27.0,17.0,14.0,19.0,17.0,16.0,20.0,22.0,34.0,14.0,39.0,0.74
2002/03,Summer,49.0,38.0,22.0,14.0,11.0,13.0,17.0,10.0,15.0,22.0,29.0,10.0,39.0,0.8
2002/03,Fall,53,38,22,11,8,14,11,10,16,22,32,8,45,0.85
2002/03,Winter,53,35,18,10,8,12,15,9,13,20,31,8,45,0.85
2002/03,Spring,53.0,38.0,25.0,11.0,8.0,15.0,8.0,10.0,16.0,25.0,34.0,8.0,45.0,0.85
2003/04,Summer,53.0,39.0,23.0,15.0,10.0,14.0,14.0,11.0,14.0,22.0,32.0,10.0,43.0,0.81
2003/04,Fall,53,33,19,8,10,14,11,10,17,22,33,8,45,0.85
2003/04,Winter,53,32,18,8,7,12,11,8,14,20,30,7,46,0.87
2003/04,Spring,53.0,32.0,16.0,5.0,6.0,11.0,9.0,10.0,15.0,21.0,29.0,5.0,48.0,0.91
2004/05,Summer,53.0,35.0,16.0,8.0,6.0,9.0,12.0,8.0,11.0,18.0,27.0,6.0,47.0,0.89
2004/05,Fall,53,33,15,5,6,6,9,5,12,20,30,5,48,0.91
2004/05,Winter,53,31,15,5,2,9,6,6,11,17,27,2,51,0.96
2004/05,Spring,53.0,27.0,13.0,3.0,5.0,9.0,6.0,5.0,13.0,18.0,27.0,3.0,50.0,0.94
2005/06,Summer,69.0,39.0,21.0,11.0,10.0,16.0,15.0,13.0,19.0,26.0,40.0,10.0,59.0,0.86
2005/06,Fall,69,34,16,6,7,15,14,14,19,24,38,6,63,0.91
2005/06,Winter,69,40,19,5,2,10,9,8,11,22,41,2,67,0.97
2005/06,Spring,69.0,35.0,17.0,4.0,7.0,14.0,11.0,11.0,18.0,29.0,37.0,4.0,65.0,0.94
2006/07,Summer,69.0,37.0,16.0,7.0,8.0,15.0,13.0,9.0,12.0,23.0,33.0,7.0,62.0,0.9
2006/07,Fall,67,26,8,3,6,10,8,6,14,26,42,3,64,0.96
2006/07,Winter,67,28,7,2,2,7,2,5,12,21,37,2,65,0.97
2006/07,Spring,78.0,34.0,12.0,4.0,3.0,8.0,8.0,10.0,18.0,28.0,43.0,3.0,75.0,0.96
2007/08,Summer,78.0,29.0,14.0,5.0,6.0,10.0,13.0,11.0,18.0,28.0,41.0,5.0,73.0,0.94
2007/08,Fall,78,41,17,9,5,17,9,10,18,25,39,5,73,0.94
2007/08,Winter,78,41,14,2,1,7,10,7,13,22,35,1,77,0.99
2007/08,Spring,75.0,36.0,17.0,8.0,7.0,8.0,9.0,10.0,15.0,23.0,41.0,7.0,68.0,0.91
2008/09,Summer,75.0,32.0,14.0,3.0,2.0,10.0,6.0,7.0,9.0,12.0,29.0,2.0,73.0,0.97
2008/09,Fall,75,36,17,4,3,7,6,8,9,16,31,3,72,0.96
2008/09,Winter,77,37,17,5,5,8,10,4,9,15,31,4,73,0.95
2008/09,Spring,78.0,31.0,10.0,3.0,1.0,7.0,6.0,5.0,10.0,17.0,35.0,1.0,77.0,0.99
2009/10,Summer,90.0,52.0,27.0,21.0,17.0,28.0,19.0,20.0,27.0,37.0,46.0,17.0,73.0,0.81
2009/10,Fall,122,76,48,28,22,30,35,35,39,49,76,22,100,0.82
2009/10,Winter,122,84,48,33,26,33,27,21,27,44,68,21,101,0.83
2009/10,Spring,122.0,74.0,43.0,27.0,23.0,36.0,35.0,30.0,32.0,51.0,75.0,23.0,99.0,0.81
2010/11,Summer,122.0,75.0,43.0,33.0,27.0,31.0,30.0,22.0,31.0,50.0,71.0,22.0,100.0,0.82
2010/11,Fall,122,72,42,27,21,29,29,26,34,50,77,21,101,0.83
2010/11,Winter,122,68,37,20,13,24,17,14,22,42,71,13,109,0.89
2010/11,Spring,122.0,62.0,36.0,17.0,12.0,15.0,18.0,17.0,26.0,35.0,65.0,12.0,110.0,0.9
2011/12,Summer,126.0,58.0,35.0,19.0,10.0,16.0,30.0,21.0,28.0,35.0,61.0,10.0,116.0,0.92
2011/12,Fall,145,81,64,26,19,30,30,25,33,49,79,19,126,0.87
2011/12,Winter,185,125,78,58,62,67,66,66,63,91,122,58,127,0.69
2011/12,Spring,185.0,128.0,97.0,80.0,67.0,76.0,76.0,69.0,77.0,96.0,119.0,67.0,118.0,0.64
2012/13,Summer,185.0,125.0,84.0,61.0,60.0,69.0,65.0,61.0,73.0,85.0,117.0,60.0,125.0,0.68
2012/13,Fall,185,119,84,62,55,60,59,57,65,82,115,55,130,0.7
2012/13,Winter,185,113,78,53,47,63,66,52,65,85,107,47,138,0.75
2012/13,Spring,185.0,120.0,84.0,57.0,56.0,66.0,64.0,60.0,62.0,81.0,105.0,56.0,129.0,0.7
2013/14,Summer,185.0,119.0,76.0,57.0,48.0,55.0,61.0,48.0,59.0,76.0,115.0,48.0,137.0,0.74
2013/14,Fall,186,112,82,55,48,61,62,53,58,76,105,48,138,0.74
2013/14,Winter,186,115,74,56,48,53,54,55,58,86,119,48,138,0.74
2013/14,Spring,186.0,118.0,77.0,57.0,46.0,54.0,58.0,53.0,63.0,80.0,113.0,46.0,140.0,0.75
2014/15,Summer,186,115,88,64,56,61,65,57,67,93,120,56,130,0.7
2014/15,Fall,175,98,72,52,43,51,45,45,60,80,111,43,132,0.75
2014/15,Winter,173,93,70,49,46,47,48,44,52,71,103,44,129,0.75
2014/15,Spring,174,89,55,33,36,41,33,32,40,66,95,32,142,0.82
