year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,3365.0,2153.0,1984.0,1898.0,1865.0,1922.0,1937.0,1901.0,1916.0,1985.0,2142.0,1865.0,1500.0,0.45
2000/01,Fall,3636,2753,2134,1480,1012,958,887,899,1119,1432,1929,887,2749,0.76
2000/01,Winter,3787,2788,2185,1752,1408,1362,1244,1232,1405,1709,2209,1232,2555,0.67
2000/01,Spring,3790.0,2891.0,2210.0,1756.0,1405.0,1339.0,1256.0,1274.0,1406.0,1681.0,2147.0,1256.0,2534.0,0.67
2001/02,Summer,3771.0,2595.0,2406.0,2299.0,2268.0,2314.0,2326.0,2297.0,2335.0,2426.0,2589.0,2268.0,1503.0,0.4
2001/02,Fall,3882,2882,2226,1548,1174,1137,1049,1031,1298,1676,2165,1031,2851,0.73
2001/02,Winter,4141,3322,2556,1869,1395,1252,1163,1132,1297,1576,2127,1132,3009,0.73
2001/02,Spring,4140.0,3306.0,2718.0,1983.0,1565.0,1359.0,1203.0,1172.0,1392.0,1612.0,2229.0,1172.0,2968.0,0.72
2002/03,Summer,4101.0,2293.0,2096.0,1966.0,1917.0,1964.0,2008.0,1933.0,1962.0,2067.0,2232.0,1917.0,2184.0,0.53
2002/03,Fall,4004,3244,2495,1654,1173,1104,1049,1008,1366,1793,2279,1008,2996,0.75
2002/03,Winter,4002,3140,2393,1632,1110,924,866,865,1136,1556,2117,865,3137,0.78
2002/03,Spring,3997.0,3197.0,2601.0,1855.0,1298.0,1190.0,971.0,821.0,1078.0,1558.0,2058.0,821.0,3176.0,0.79
2003/04,Summer,4056.0,1165.0,969.0,1083.0,1019.0,1048.0,1060.0,1020.0,1047.0,1173.0,1347.0,969.0,3087.0,0.76
2003/04,Fall,4067,3099,2471,1731,1355,1311,1268,1162,1443,1865,2255,1162,2905,0.71
2003/04,Winter,4067,3152,2491,1752,1260,1213,1130,1111,1410,1808,2301,1111,2956,0.73
2003/04,Spring,4038.0,3002.0,2366.0,1777.0,1369.0,1280.0,1143.0,1086.0,1373.0,1790.0,2158.0,1086.0,2952.0,0.73
2004/05,Summer,4036.0,2664.0,2434.0,2308.0,2274.0,2305.0,2347.0,2320.0,2382.0,2547.0,2703.0,2274.0,1762.0,0.44
2004/05,Fall,4378,3352,2710,2008,1551,1509,1436,1382,1674,2089,2552,1382,2996,0.68
2004/05,Winter,4771,3551,2945,2199,1719,1643,1521,1481,1807,2272,2701,1481,3290,0.69
2004/05,Spring,4798.0,3605.0,2946.0,2245.0,1693.0,1569.0,1466.0,1412.0,1711.0,2097.0,2557.0,1412.0,3386.0,0.71
2005/06,Summer,4915.0,3427.0,3105.0,2936.0,2848.0,2900.0,2949.0,2899.0,2965.0,3199.0,3420.0,2848.0,2067.0,0.42
2005/06,Fall,4927,3661,3021,2235,1757,1714,1608,1585,1836,2300,2880,1585,3342,0.68
2005/06,Winter,5187,3980,3207,2508,1981,1841,1757,1747,1988,2509,3186,1747,3440,0.66
2005/06,Spring,5187.0,3936.0,3349.0,2674.0,2135.0,2032.0,1983.0,1894.0,2152.0,2584.0,3094.0,1894.0,3293.0,0.63
2006/07,Summer,5179.0,3234.0,2872.0,2703.0,2630.0,2691.0,2721.0,2663.0,2701.0,2864.0,3084.0,2630.0,2549.0,0.49
2006/07,Fall,5158,4022,3358,2710,2297,2285,2257,2209,2418,2831,3262,2209,2949,0.57
2006/07,Winter,5151,3594,3000,2331,1926,1945,1737,1655,1903,2219,2694,1655,3496,0.68
2006/07,Spring,5148.0,3786.0,3071.0,2544.0,2103.0,1965.0,1884.0,1836.0,2106.0,2479.0,2995.0,1836.0,3312.0,0.64
2007/08,Summer,5146.0,3025.0,2749.0,2553.0,2441.0,2489.0,2518.0,2468.0,2547.0,2713.0,2975.0,2441.0,2705.0,0.53
2007/08,Fall,5142,3721,3070,2444,2011,1933,1905,1936,2151,2479,2933,1905,3237,0.63
2007/08,Winter,5090,3987,3370,2852,2408,2340,2262,2213,2382,2697,3088,2213,2877,0.57
2007/08,Spring,4969.0,3668.0,3225.0,2678.0,2358.0,2160.0,2103.0,2075.0,2269.0,2613.0,3031.0,2075.0,2894.0,0.58
2008/09,Summer,4979.0,3089.0,2700.0,2481.0,2333.0,2377.0,2411.0,2364.0,2403.0,2579.0,2872.0,2333.0,2646.0,0.53
2008/09,Fall,4606,3297,2811,2219,1901,1828,1805,1790,1935,2260,2655,1790,2816,0.61
2008/09,Winter,4615,3424,2957,2406,2126,2017,1964,1884,1983,2267,2756,1884,2731,0.59
2008/09,Spring,4620.0,3327.0,2791.0,2278.0,1990.0,1856.0,1810.0,1785.0,1952.0,2357.0,2852.0,1785.0,2835.0,0.61
2009/10,Summer,4820.0,3310.0,2924.0,2742.0,2618.0,2647.0,2672.0,2647.0,2736.0,2992.0,3345.0,2618.0,2202.0,0.46
2009/10,Fall,4919,3788,3124,2490,2198,2044,2008,2017,2161,2603,3222,2008,2911,0.59
2009/10,Winter,4638,3555,2891,2330,1976,1857,1751,1631,1793,2250,2857,1631,3007,0.65
2009/10,Spring,4701.0,3549.0,2874.0,2269.0,1888.0,1725.0,1642.0,1601.0,1849.0,2267.0,2835.0,1601.0,3100.0,0.66
2010/11,Summer,4396.0,3288.0,2873.0,2673.0,2576.0,2576.0,2548.0,2508.0,2573.0,2842.0,3220.0,2508.0,1888.0,0.43
2010/11,Fall,4397,3253,2548,2002,1702,1620,1580,1584,1777,2128,2664,1580,2817,0.64
2010/11,Winter,4131,2920,2237,1700,1410,1325,1253,1194,1312,1623,2199,1194,2937,0.71
2010/11,Spring,4128.0,2801.0,2310.0,1706.0,1346.0,1269.0,1264.0,1212.0,1348.0,1630.0,2197.0,1212.0,2916.0,0.71
2011/12,Summer,4129.0,2373.0,2054.0,1758.0,1661.0,1677.0,1743.0,1682.0,1739.0,1885.0,2295.0,1661.0,2468.0,0.6
2011/12,Fall,4786,3309,2761,2059,1829,1752,1725,1663,1791,2154,2700,1663,3123,0.65
2011/12,Winter,5319,3881,3176,2645,2366,2293,2236,2206,2297,2616,3286,2206,3113,0.59
2011/12,Spring,5318.0,3532.0,3030.0,2547.0,2180.0,2094.0,2028.0,1968.0,2086.0,2466.0,2961.0,1968.0,3350.0,0.63
2012/13,Summer,5314.0,3816.0,3339.0,3055.0,2940.0,2988.0,3070.0,3026.0,3065.0,3278.0,3739.0,2940.0,2374.0,0.45
2012/13,Fall,5318,3612,3070,2511,2150,2052,2013,1997,2162,2437,3034,1997,3321,0.62
2012/13,Winter,5323,3631,3011,2294,1950,1909,1908,1818,1981,2456,2947,1818,3505,0.66
2012/13,Spring,5323.0,3649.0,3058.0,2460.0,2115.0,2037.0,2041.0,1968.0,2113.0,2564.0,3088.0,1968.0,3355.0,0.63
2013/14,Summer,5318.0,3533.0,3011.0,2667.0,2491.0,2506.0,2574.0,2493.0,2597.0,2946.0,3449.0,2491.0,2827.0,0.53
2013/14,Fall,5304,2995,2431,1738,1381,1334,1301,1259,1435,1970,2643,1259,4045,0.76
2013/14,Winter,5304,3218,2584,1955,1586,1486,1444,1376,1556,2091,2698,1376,3928,0.74
2013/14,Spring,5304.0,3171.0,2516.0,1871.0,1461.0,1317.0,1311.0,1298.0,1624.0,2204.0,2809.0,1298.0,4006.0,0.76
2014/15,5322,3013,2489,2096,1966,2020,2083,2048,2206,2756,3258,1966,3356,0.63
2014/15,5137,2827,2077,1489,1081,973,971,888,1187,1866,2434,888,4249,0.83
2014/15,5146,2694,1976,1296,857,814,914,818,1093,1745,2473,814,4332,0.84
2014/15,5160,2900,2148,1522,1144,1010,920,879,1184,1869,2471,879,4281,0.83
