year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,449.0,115.0,53.0,35.0,26.0,32.0,29.0,32.0,38.0,77.0,148.0,26.0,423.0,0.94
2000/01,Fall,492,157,65,51,46,53,48,48,58,109,204,46,446,0.91
2000/01,Winter,627,256,193,165,155,169,161,166,190,250,335,155,472,0.75
2000/01,Spring,628.0,298.0,221.0,199.0,189.0,192.0,192.0,197.0,210.0,258.0,344.0,189.0,439.0,0.7
2001/02,Summer,609.0,287.0,209.0,191.0,184.0,190.0,183.0,190.0,213.0,261.0,345.0,183.0,426.0,0.7
2001/02,Fall,795,405,332,300,290,292,285,285,312,393,498,285,510,0.64
2001/02,Winter,889,563,431,394,367,365,366,360,379,434,558,360,529,0.6
2001/02,Spring,887.0,557.0,435.0,397.0,378.0,376.0,374.0,376.0,400.0,462.0,574.0,374.0,513.0,0.58
2002/03,Summer,879.0,555.0,485.0,446.0,432.0,433.0,442.0,433.0,455.0,509.0,587.0,432.0,447.0,0.51
2002/03,Fall,795,529,400,350,324,326,330,332,363,424,522,324,471,0.59
2002/03,Winter,795,498,382,340,318,311,315,319,342,413,513,311,484,0.61
2002/03,Spring,795.0,513.0,418.0,365.0,329.0,328.0,324.0,326.0,348.0,431.0,529.0,324.0,471.0,0.59
2003/04,Summer,795.0,486.0,417.0,380.0,356.0,365.0,366.0,366.0,386.0,442.0,525.0,356.0,439.0,0.55
2003/04,Fall,739,426,339,282,264,265,260,261,294,364,449,260,479,0.65
2003/04,Winter,733,410,310,252,230,234,226,232,266,343,447,226,507,0.69
2003/04,Spring,733.0,397.0,302.0,258.0,238.0,241.0,234.0,246.0,276.0,358.0,439.0,234.0,499.0,0.68
2004/05,Summer,733.0,407.0,331.0,295.0,284.0,293.0,289.0,290.0,308.0,361.0,430.0,284.0,449.0,0.61
2004/05,Fall,733,400,253,196,172,178,172,177,208,292,389,172,561,0.77
2004/05,Winter,875,565,430,376,355,367,366,369,396,472,557,355,520,0.59
2004/05,Spring,893.0,539.0,439.0,387.0,360.0,365.0,374.0,366.0,395.0,464.0,559.0,360.0,533.0,0.6
2005/06,Summer,893.0,554.0,456.0,417.0,400.0,408.0,411.0,409.0,431.0,494.0,566.0,400.0,493.0,0.55
2005/06,Fall,892,484,386,327,292,317,316,317,341,418,531,292,600,0.67
2005/06,Winter,1156,740,616,531,498,504,515,526,562,653,783,498,658,0.57
2005/06,Spring,1156.0,737.0,640.0,592.0,538.0,562.0,562.0,560.0,594.0,703.0,819.0,538.0,618.0,0.53
2006/07,Summer,1156.0,749.0,642.0,600.0,578.0,589.0,593.0,591.0,612.0,677.0,761.0,578.0,578.0,0.5
2006/07,Fall,1159,740,593,532,500,517,521,516,551,645,771,500,659,0.57
2006/07,Winter,1158,672,546,459,431,448,445,434,480,575,698,431,727,0.63
2006/07,Spring,1153.0,675.0,555.0,511.0,464.0,473.0,478.0,466.0,511.0,602.0,747.0,464.0,689.0,0.6
2007/08,Summer,1152.0,627.0,536.0,474.0,441.0,457.0,460.0,458.0,488.0,569.0,694.0,441.0,711.0,0.62
2007/08,Fall,1151,652,507,436,413,426,412,426,450,540,670,412,739,0.64
2007/08,Winter,1059,629,448,377,336,327,332,339,374,472,583,327,732,0.69
2007/08,Spring,1019.0,499.0,385.0,313.0,275.0,273.0,275.0,288.0,327.0,416.0,551.0,273.0,746.0,0.73
2008/09,Summer,1019.0,506.0,372.0,315.0,260.0,262.0,272.0,266.0,296.0,387.0,531.0,260.0,759.0,0.74
2008/09,Fall,879,357,209,140,106,96,103,105,129,225,370,96,783,0.89
2008/09,Winter,1010,393,244,156,121,116,117,112,137,253,451,112,898,0.89
2008/09,Spring,1010.0,371.0,186.0,119.0,89.0,88.0,102.0,111.0,155.0,339.0,502.0,88.0,922.0,0.91
2009/10,Summer,995.0,427.0,277.0,224.0,191.0,197.0,195.0,201.0,229.0,348.0,533.0,191.0,804.0,0.81
2009/10,Fall,995,452,277,207,177,174,191,209,236,358,554,174,821,0.83
2009/10,Winter,995,454,276,201,174,171,158,168,199,348,555,158,837,0.84
2009/10,Spring,995.0,439.0,298.0,226.0,199.0,184.0,185.0,191.0,233.0,363.0,556.0,184.0,811.0,0.82
2010/11,Summer,655.0,252.0,173.0,144.0,135.0,135.0,130.0,135.0,147.0,218.0,338.0,130.0,525.0,0.8
2010/11,Fall,513,118,92,76,64,61,56,61,92,160,249,56,457,0.89
2010/11,Winter,348,96,69,57,52,44,39,39,56,101,174,39,309,0.89
2010/11,Spring,409.0,95.0,83.0,76.0,71.0,67.0,71.0,71.0,79.0,136.0,199.0,67.0,342.0,0.84
2011/12,Summer,506.0,114.0,96.0,87.0,88.0,89.0,88.0,84.0,120.0,152.0,244.0,84.0,422.0,0.83
2011/12,Fall,897,314,168,112,103,99,93,92,101,210,378,92,805,0.9
2011/12,Winter,1629,944,734,679,636,637,633,642,654,758,980,633,996,0.61
2011/12,Spring,1628.0,757.0,607.0,525.0,500.0,512.0,503.0,501.0,512.0,643.0,792.0,500.0,1128.0,0.69
2012/13,Summer,1283.0,651.0,491.0,444.0,418.0,426.0,436.0,433.0,452.0,565.0,751.0,418.0,865.0,0.67
2012/13,Fall,1283,617,484,386,356,349,343,345,383,486,697,343,940,0.73
2012/13,Winter,1283,618,461,354,303,280,289,282,314,451,632,280,1003,0.78
2012/13,Spring,1283.0,678.0,508.0,434.0,389.0,379.0,390.0,394.0,427.0,541.0,724.0,379.0,904.0,0.7
2013/14,Summer,1280.0,654.0,431.0,346.0,310.0,295.0,305.0,289.0,306.0,423.0,655.0,289.0,991.0,0.77
2013/14,Fall,1280,539,338,211,150,136,155,151,188,301,543,136,1144,0.89
2013/14,Winter,1281,585,404,299,245,229,227,227,251,366,577,227,1054,0.82
2013/14,Spring,1281.0,581.0,376.0,288.0,238.0,226.0,222.0,224.0,245.0,384.0,588.0,222.0,1059.0,0.83
2014/15,Summer,1423,703,483,368,323,317,340,333,358,515,729,317,1106,0.78
2014/15,Fall,1284,474,277,196,131,108,124,121,165,355,581,108,1176,0.92
2014/15,Winter,1295,447,238,115,57,52,51,52,93,255,540,51,1244,0.96
2014/15,Spring,1295,488,242,153,96,81,92,73,121,283,545,73,1222,0.94
