year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2001/02,Summer,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0
2001/02,Fall,1,1,1,1,1,1,1,1,0,0,0,0,1,1.0
2001/02,Winter,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2001/02,Spring,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2002/03,Summer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2002/03,Fall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2002/03,Winter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2002/03,Spring,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2004/05,Summer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.25
2004/05,Fall,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.25
2004/05,Winter,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.25
2004/05,Spring,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.25
2005/06,Summer,4,3,3,3,2,2,2,2,2,3,3,2,2,0.5
2005/06,Fall,4,4,3,3,3,4,3,3,3,3,3,3,1,0.25
2005/06,Winter,4,3,3,2,2,3,2,2,1,2,2,1,3,0.75
2005/06,Spring,4,3,2,2,2,3,2,2,2,2,2,2,2,0.5
2006/07,Summer,4,3,2,3,1,1,1,1,1,2,2,1,3,0.75
2006/07,Fall,2,2,1,1,1,1,1,1,1,1,1,1,1,0.5
2006/07,Winter,2,1,1,0,0,0,0,1,1,1,1,0,2,1.0
2006/07,Spring,3,1,2,2,2,2,2,2,2,2,2,1,2,0.67
2007/08,Summer,3,2,1,1,1,1,1,1,1,2,2,1,2,0.67
2007/08,Fall,4,3,2,2,2,2,2,2,2,2,2,2,2,0.5
2007/08,Winter,4,4,2,2,2,2,1,1,2,2,2,1,3,0.75
2007/08,Spring,4,3,3,1,2,2,1,1,2,3,3,1,3,0.75
2008/09,Summer,11,9,6,5,4,4,5,2,3,4,4,2,9,0.82
2008/09,Fall,13,12,8,8,6,6,6,6,6,6,7,6,7,0.54
2008/09,Winter,15,11,9,7,6,6,7,4,4,4,6,4,11,0.73
2008/09,Spring,14,12,6,4,3,2,4,3,4,5,6,2,12,0.86
2009/10,Summer,12,10,5,4,5,6,5,5,5,5,7,4,8,0.67
2009/10,Fall,12,10,7,6,5,5,4,6,6,5,7,4,8,0.67
2009/10,Winter,12,10,8,6,6,6,5,5,6,6,7,5,7,0.58
2009/10,Spring,12,10,7,6,5,5,5,5,6,6,7,5,7,0.58
2010/11,Summer,12,10,7,7,7,7,7,6,6,6,7,6,6,0.5
2010/11,Fall,12,11,7,6,5,6,5,5,6,7,6,5,7,0.58
2010/11,Winter,12,10,6,4,5,4,4,4,4,4,6,4,8,0.67
2010/11,Spring,12,9,8,5,4,4,5,5,5,4,6,4,8,0.67
2011/12,Summer,13,8,8,6,6,6,3,4,4,5,5,3,10,0.77
2011/12,Fall,24,22,16,12,13,12,12,12,14,13,15,12,12,0.5
2011/12,Winter,26,23,15,13,12,13,13,12,13,15,16,12,14,0.54
2011/12,Spring,26,21,19,16,15,13,13,12,14,15,18,12,14,0.54
2012/13,Summer,33,28,23,23,21,20,20,20,18,19,21,18,15,0.45
2012/13,Fall,33,28,21,19,17,16,19,20,21,21,24,16,17,0.52
2012/13,Winter,34,26,22,19,19,20,20,16,19,17,20,16,18,0.53
2012/13,Spring,34,30,25,21,20,19,19,16,19,20,26,16,18,0.53
2013/14,Summer,35,28,25,20,16,18,19,17,20,22,26,16,19,0.54
2013/14,Fall,35,22,17,15,13,13,12,13,14,15,16,12,23,0.66
2013/14,Winter,35,30,23,17,13,14,16,16,15,17,22,13,22,0.63
2013/14,Spring,35,29,24,21,16,16,17,15,14,16,23,14,21,0.6
2014/15,Summer,35,29,20,14,15,18,18,17,13,15,22,13,22,0.63
2014/15,Fall,34,25,19,15,16,16,12,11,13,15,19,11,23,0.68
2014/15,Winter,34,23,19,16,13,13,10,9,13,14,18,9,25,0.74
2014/15,Spring,34,26,16,14,14,13,14,13,14,13,18,13,21,0.62
