year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,2476.0,1794.0,1780.0,1770.0,1769.0,1776.0,1772.0,1766.0,1763.0,1768.0,1784.0,1763.0,713.0,0.29
2000/01,Fall,2704,2345,1931,1347,899,776,705,759,969,1186,1503,705,1999,0.74
2000/01,Winter,2720,2298,1854,1512,1192,1079,976,981,1124,1321,1669,976,1744,0.64
2000/01,Spring,2722.0,2332.0,1830.0,1466.0,1142.0,1010.0,946.0,968.0,1086.0,1266.0,1584.0,946.0,1776.0,0.65
2001/02,Summer,2721.0,2044.0,2018.0,2010.0,2005.0,2012.0,2015.0,2008.0,2009.0,2017.0,2030.0,2005.0,716.0,0.26
2001/02,Fall,2626,2235,1737,1159,802,710,659,661,874,1133,1442,659,1967,0.75
2001/02,Winter,2734,2385,1906,1326,902,721,620,642,776,944,1299,620,2114,0.77
2001/02,Spring,2734.0,2392.0,2035.0,1419.0,1051.0,803.0,642.0,643.0,816.0,932.0,1362.0,642.0,2092.0,0.77
2002/03,Summer,2739.0,1409.0,1394.0,1378.0,1369.0,1369.0,1372.0,1373.0,1370.0,1374.0,1388.0,1369.0,1370.0,0.5
2002/03,Fall,2729,2387,1909,1200,758,637,585,574,864,1182,1498,574,2155,0.79
2002/03,Winter,2727,2340,1843,1193,716,503,423,459,674,964,1352,423,2304,0.84
2002/03,Spring,2727.0,2365.0,1986.0,1375.0,876.0,720.0,540.0,408.0,613.0,941.0,1268.0,408.0,2319.0,0.85
2003/04,Summer,2781.0,375.0,361.0,572.0,563.0,559.0,557.0,562.0,557.0,565.0,579.0,361.0,2420.0,0.87
2003/04,Fall,2846,2373,1967,1378,1019,923,877,804,1015,1325,1545,804,2042,0.72
2003/04,Winter,2846,2432,2016,1411,956,848,770,784,1021,1289,1596,770,2076,0.73
2003/04,Spring,2817.0,2307.0,1890.0,1422.0,1052.0,912.0,784.0,733.0,957.0,1246.0,1455.0,733.0,2084.0,0.74
2004/05,Summer,2815.0,1957.0,1929.0,1914.0,1908.0,1908.0,1915.0,1920.0,1948.0,2005.0,2023.0,1908.0,907.0,0.32
2004/05,Fall,3157,2660,2295,1740,1318,1224,1154,1137,1360,1630,1914,1137,2020,0.64
2004/05,Winter,3294,2626,2298,1712,1260,1125,1016,986,1269,1578,1842,986,2308,0.7
2004/05,Spring,3294.0,2700.0,2316.0,1759.0,1238.0,1061.0,950.0,940.0,1161.0,1420.0,1693.0,940.0,2354.0,0.71
2005/06,Summer,3296.0,2387.0,2334.0,2299.0,2278.0,2273.0,2281.0,2281.0,2293.0,2399.0,2443.0,2273.0,1023.0,0.31
2005/06,Fall,3296,2736,2377,1761,1335,1212,1135,1118,1297,1606,1968,1118,2178,0.66
2005/06,Winter,3288,2797,2371,1870,1404,1201,1086,1090,1247,1593,2001,1086,2202,0.67
2005/06,Spring,3288.0,2746.0,2429.0,1912.0,1430.0,1248.0,1217.0,1155.0,1331.0,1564.0,1860.0,1155.0,2133.0,0.65
2006/07,Summer,3279.0,2015.0,1948.0,1921.0,1899.0,1900.0,1894.0,1897.0,1888.0,1911.0,1959.0,1888.0,1391.0,0.42
2006/07,Fall,3252,2834,2516,2040,1672,1580,1566,1543,1670,1893,2080,1543,1709,0.53
2006/07,Winter,3246,2529,2239,1759,1386,1346,1171,1091,1233,1365,1586,1091,2155,0.66
2006/07,Spring,3246.0,2681.0,2259.0,1874.0,1523.0,1298.0,1225.0,1203.0,1358.0,1557.0,1826.0,1203.0,2043.0,0.63
2007/08,Summer,3246.0,1977.0,1917.0,1869.0,1825.0,1817.0,1822.0,1816.0,1837.0,1846.0,1892.0,1816.0,1430.0,0.44
2007/08,Fall,3247,2606,2278,1853,1479,1333,1324,1375,1533,1693,1932,1324,1923,0.59
2007/08,Winter,3245,2823,2593,2303,1947,1841,1744,1711,1810,1963,2153,1711,1534,0.47
2007/08,Spring,3237.0,2764.0,2558.0,2210.0,1969.0,1764.0,1686.0,1666.0,1787.0,1963.0,2143.0,1666.0,1571.0,0.49
2008/09,Summer,3237.0,2136.0,2060.0,1997.0,1962.0,1963.0,1969.0,1971.0,1978.0,2006.0,2046.0,1962.0,1275.0,0.39
2008/09,Fall,2995,2473,2294,1946,1708,1627,1573,1571,1676,1837,1987,1571,1424,0.48
2008/09,Winter,2865,2559,2410,2101,1912,1786,1674,1651,1713,1825,2001,1651,1214,0.42
2008/09,Spring,2871.0,2534.0,2375.0,2055.0,1822.0,1638.0,1570.0,1555.0,1660.0,1799.0,1982.0,1555.0,1316.0,0.46
2009/10,Summer,3045.0,2407.0,2336.0,2301.0,2256.0,2246.0,2258.0,2254.0,2281.0,2379.0,2420.0,2246.0,799.0,0.26
2009/10,Fall,3045,2759,2495,2053,1814,1634,1534,1543,1656,1894,2143,1534,1511,0.5
2009/10,Winter,2768,2496,2199,1857,1583,1416,1311,1224,1328,1539,1792,1224,1544,0.56
2009/10,Spring,2834.0,2542.0,2223.0,1823.0,1503.0,1308.0,1191.0,1177.0,1360.0,1557.0,1793.0,1177.0,1657.0,0.58
2010/11,Summer,2863.0,2489.0,2365.0,2285.0,2229.0,2211.0,2195.0,2184.0,2201.0,2315.0,2418.0,2184.0,679.0,0.24
