year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,12.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,6.0,6.0,0.5
2000/01,Fall,12,10,8,7,8,7,7,8,8,8,9,7,5,0.42
2000/01,Winter,12,9,8,6,5,7,8,7,8,9,9,5,7,0.58
2000/01,Spring,12.0,8.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,8.0,10.0,4.0,8.0,0.67
2001/02,Summer,12.0,10.0,9.0,7.0,6.0,7.0,6.0,5.0,6.0,8.0,10.0,5.0,7.0,0.58
2001/02,Fall,12,8,8,6,5,7,8,8,8,8,10,5,7,0.58
2001/02,Winter,12,8,7,6,6,7,7,6,7,8,9,6,6,0.5
2001/02,Spring,12.0,9.0,9.0,7.0,7.0,6.0,7.0,8.0,9.0,10.0,11.0,6.0,6.0,0.5
2002/03,Summer,12.0,6.0,5.0,5.0,4.0,6.0,7.0,6.0,7.0,9.0,10.0,4.0,8.0,0.67
2002/03,Fall,12,7,8,6,5,6,7,6,9,9,10,5,7,0.58
2002/03,Winter,12,3,3,3,2,2,2,4,8,9,10,2,10,0.83
2002/03,Spring,12.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,9.0,1.0,11.0,0.92
2003/04,Summer,14.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,8.0,10.0,10.0,5.0,9.0,0.64
2003/04,Fall,14,10,8,8,8,9,9,9,10,10,11,8,6,0.43
2003/04,Winter,14,8,6,6,6,7,7,7,10,12,13,6,8,0.57
2003/04,Spring,14.0,11.0,11.0,9.0,8.0,9.0,9.0,11.0,12.0,13.0,13.0,8.0,6.0,0.43
2004/05,Summer,14.0,12.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,12.0,13.0,8.0,6.0,0.43
2004/05,Fall,14,10,9,8,5,6,6,7,8,12,12,5,9,0.64
2004/05,Winter,14,13,11,10,11,10,9,9,10,12,12,9,5,0.36
2004/05,Spring,14.0,11.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,12.0,12.0,8.0,6.0,0.43
2005/06,Summer,14.0,11.0,9.0,8.0,7.0,8.0,8.0,6.0,7.0,10.0,12.0,6.0,8.0,0.57
2005/06,Fall,14,7,4,4,3,4,6,8,10,11,11,3,11,0.79
2005/06,Winter,14,7,5,5,6,8,9,10,12,13,13,5,9,0.64
2005/06,Spring,14.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,11.0,12.0,8.0,6.0,0.43
2006/07,Summer,14.0,10.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,12.0,12.0,7.0,7.0,0.5
2006/07,Fall,14,9,8,6,5,5,6,7,7,11,12,5,9,0.64
2006/07,Winter,14,6,5,6,7,6,6,7,8,10,13,5,9,0.64
2006/07,Spring,14.0,10.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,10.0,9.0,7.0,7.0,0.5
2007/08,Summer,14.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,3.0,11.0,0.79
