year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,240.0,118.0,93.0,70.0,56.0,59.0,71.0,64.0,62.0,62.0,82.0,56.0,184.0,0.77
2000/01,Fall,239,117,94,72,55,52,55,50,53,55,72,50,189,0.79
2000/01,Winter,232,102,78,47,38,31,37,38,38,53,81,31,201,0.87
2000/01,Spring,232.0,113.0,84.0,59.0,42.0,41.0,46.0,41.0,43.0,47.0,69.0,41.0,191.0,0.82
2001/02,Summer,237.0,110.0,83.0,57.0,47.0,36.0,48.0,41.0,34.0,52.0,71.0,34.0,203.0,0.86
2001/02,Fall,242,106,71,46,36,27,31,36,36,46,66,27,215,0.89
2001/02,Winter,245,112,73,47,22,27,40,36,40,55,82,22,223,0.91
2001/02,Spring,244.0,114.0,88.0,54.0,29.0,34.0,44.0,41.0,48.0,55.0,85.0,29.0,215.0,0.88
2002/03,Summer,247.0,105.0,75.0,49.0,34.0,28.0,35.0,31.0,34.0,40.0,80.0,28.0,219.0,0.89
2002/03,Fall,245,98,63,32,13,17,28,26,32,42,66,13,232,0.95
2002/03,Winter,247,102,57,27,17,18,23,20,27,44,68,17,230,0.93
2002/03,Spring,246.0,105.0,65.0,31.0,18.0,26.0,29.0,30.0,37.0,53.0,79.0,18.0,228.0,0.93
2003/04,Summer,245.0,94.0,50.0,23.0,15.0,20.0,24.0,22.0,26.0,43.0,64.0,15.0,230.0,0.94
2003/04,Fall,243,81,42,14,7,11,16,10,15,36,58,7,236,0.97
2003/04,Winter,238,89,53,21,10,12,19,19,23,31,56,10,228,0.96
2003/04,Spring,239.0,92.0,59.0,32.0,19.0,21.0,24.0,23.0,23.0,34.0,58.0,19.0,220.0,0.92
2004/05,Summer,255.0,114.0,79.0,51.0,41.0,42.0,46.0,44.0,45.0,50.0,73.0,41.0,214.0,0.84
2004/05,Fall,255,110,73,44,19,20,27,25,28,35,68,19,236,0.93
2004/05,Winter,260,111,71,46,33,25,29,20,30,45,70,20,240,0.92
2004/05,Spring,259.0,113.0,77.0,46.0,31.0,32.0,33.0,30.0,36.0,54.0,88.0,30.0,229.0,0.88
2005/06,Summer,259.0,115.0,76.0,48.0,32.0,34.0,39.0,34.0,41.0,62.0,88.0,32.0,227.0,0.88
2005/06,Fall,230,100,71,42,25,29,33,31,39,52,66,25,205,0.89
2005/06,Winter,231,102,62,31,22,27,34,35,39,61,89,22,209,0.9
2005/06,Spring,232.0,109.0,68.0,43.0,32.0,32.0,33.0,29.0,36.0,52.0,84.0,29.0,203.0,0.88
2006/07,Summer,233.0,126.0,93.0,58.0,39.0,44.0,51.0,42.0,47.0,66.0,95.0,39.0,194.0,0.83
2006/07,Fall,248,125,95,67,61,60,60,62,69,80,101,60,188,0.76
2006/07,Winter,261,132,101,70,53,54,52,46,51,63,91,46,215,0.82
2006/07,Spring,266.0,122.0,96.0,66.0,58.0,55.0,59.0,59.0,63.0,75.0,109.0,55.0,211.0,0.79
2007/08,Summer,255.0,112.0,66.0,55.0,42.0,42.0,44.0,37.0,49.0,69.0,96.0,37.0,218.0,0.85
2007/08,Fall,247,87,53,21,16,21,21,23,33,47,67,16,231,0.94
2007/08,Winter,247,101,76,27,13,17,17,21,21,29,53,13,234,0.95
2007/08,Spring,247.0,106.0,70.0,43.0,34.0,39.0,48.0,40.0,51.0,58.0,80.0,34.0,213.0,0.86
2008/09,Summer,288.0,167.0,125.0,91.0,72.0,74.0,82.0,82.0,80.0,83.0,107.0,72.0,216.0,0.75
2008/09,Fall,279,140,112,76,52,51,56,55,59,65,89,51,228,0.82
2008/09,Winter,269,128,121,80,50,40,49,45,43,47,77,40,229,0.85
2008/09,Spring,267.0,122.0,118.0,87.0,73.0,65.0,70.0,71.0,71.0,76.0,96.0,65.0,202.0,0.76
2009/10,Summer,276.0,139.0,122.0,97.0,83.0,70.0,73.0,73.0,74.0,76.0,108.0,70.0,206.0,0.75
2009/10,Fall,261,133,110,62,34,26,29,35,42,53,76,26,235,0.9
2009/10,Winter,261,117,97,31,15,15,18,14,23,31,51,14,247,0.95
2009/10,Spring,265.0,128.0,106.0,64.0,46.0,36.0,37.0,37.0,43.0,52.0,77.0,36.0,229.0,0.86
2010/11,Summer,265.0,127.0,104.0,71.0,45.0,42.0,48.0,41.0,42.0,53.0,84.0,41.0,224.0,0.85
2010/11,Fall,265,125,98,38,26,18,21,24,32,40,61,18,247,0.93
2010/11,Winter,265,130,106,55,40,41,49,41,52,57,81,40,225,0.85
2010/11,Spring,260.0,141.0,114.0,79.0,45.0,35.0,34.0,29.0,27.0,35.0,55.0,27.0,233.0,0.9
2011/12,Summer,259.0,129.0,115.0,66.0,39.0,30.0,30.0,28.0,36.0,54.0,84.0,28.0,231.0,0.89
2011/12,Fall,259,153,135,78,60,55,61,61,63,76,99,55,204,0.79
