year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,11.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,4.0,4.0,4.0,7.0,0.64
2000/01,Fall,11,6,5,4,7,6,6,6,7,5,6,4,7,0.64
2000/01,Winter,11,4,4,3,5,5,4,5,6,5,5,3,8,0.73
2000/01,Spring,11.0,5.0,5.0,5.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,0.55
2001/02,Summer,11.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,0.55
2001/02,Fall,11,5,5,5,6,6,6,5,6,7,5,5,6,0.55
2001/02,Winter,11,5,4,4,5,5,5,5,4,5,4,4,7,0.64
2001/02,Spring,11.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,3.0,5.0,4.0,3.0,8.0,0.73
2002/03,Summer,11.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,0.64
2002/03,Fall,11,4,4,4,5,6,6,5,3,5,4,3,8,0.73
2002/03,Winter,11,5,4,3,4,6,4,3,3,4,3,3,8,0.73
2002/03,Spring,11.0,4.0,4.0,4.0,5.0,6.0,3.0,3.0,3.0,5.0,4.0,3.0,8.0,0.73
2003/04,Summer,11.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,6.0,5.0,3.0,8.0,0.73
2003/04,Fall,11,3,4,3,2,3,5,5,4,6,4,2,9,0.82
2003/04,Winter,11,3,3,3,3,4,4,4,4,5,5,3,8,0.73
2003/04,Spring,11.0,4.0,3.0,3.0,4.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,8.0,0.73
2004/05,Summer,11.0,6.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,8.0,0.73
2004/05,Fall,11,4,2,2,3,4,3,1,2,4,3,1,10,0.91
2004/05,Winter,11,7,6,6,6,6,6,6,3,5,4,3,8,0.73
2004/05,Spring,11.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,7.0,0.64
2005/06,Summer,11.0,7.0,7.0,6.0,8.0,7.0,7.0,5.0,4.0,6.0,5.0,4.0,7.0,0.64
2005/06,Fall,6,5,4,5,5,4,5,4,3,4,3,3,3,0.5
2005/06,Winter,6,3,5,3,4,4,4,4,3,4,2,2,4,0.67
2005/06,Spring,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,0.5
2006/07,Summer,6.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,0.5
2006/07,Fall,6,5,4,4,5,5,5,5,5,5,3,3,3,0.5
2006/07,Winter,1,1,1,1,1,1,1,1,1,0,0,0,1,1.0
2006/07,Spring,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
2007/08,Summer,6.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
2007/08,Fall,6,3,3,2,3,3,3,3,2,3,3,2,4,0.67
2007/08,Winter,6,3,3,2,1,2,2,2,1,2,1,1,5,0.83
2007/08,Spring,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0
2008/09,Summer,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0
2008/09,Fall,6,1,1,1,1,1,1,0,1,1,0,0,6,1.0
2008/09,Winter,6,1,1,1,1,1,1,1,0,1,0,0,6,1.0
2008/09,Spring,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0
2009/10,Summer,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0
2009/10,Fall,9,2,2,2,2,2,2,1,2,2,2,1,8,0.89
2009/10,Winter,9,1,1,1,1,1,2,2,2,1,1,1,8,0.89
2009/10,Spring,9.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,0.89
2010/11,Summer,9.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,0.56
2010/11,Fall,11,5,5,3,3,4,5,4,3,5,5,3,8,0.73
2010/11,Winter,11,6,7,6,7,6,5,4,3,5,5,3,8,0.73
2010/11,Spring,11.0,4.0,4.0,2.0,5.0,6.0,3.0,4.0,2.0,3.0,3.0,2.0,9.0,0.82
2011/12,Summer,11.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,9.0,0.82
2011/12,Fall,11,3,4,6,3,4,4,4,3,2,3,2,9,0.82
2011/12,Winter,13,5,7,6,5,6,5,4,3,5,5,3,10,0.77
2011/12,Spring,13.0,6.0,5.0,7.0,8.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,9.0,0.69
2012/13,Summer,13.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,8.0,5.0,8.0,0.62
2012/13,Fall,13,4,5,4,5,3,2,2,3,3,5,2,11,0.85
2012/13,Winter,13,4,7,6,7,6,7,5,5,6,6,4,9,0.69
2012/13,Spring,13.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,10.0,0.77
2013/14,Summer,10.0,6.0,5.0,3.0,3.0,4.0,6.0,3.0,2.0,4.0,5.0,2.0,8.0,0.8
2013/14,Fall,10,4,3,3,4,5,3,4,4,3,3,3,7,0.7
2013/14,Winter,10,2,4,3,3,4,3,3,3,2,3,2,8,0.8
2013/14,Spring,10.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,7.0,0.7
2014/15,Summer,10,3,4,5,3,4,4,3,3,3,5,3,7,0.7
2014/15,Fall,10,5,4,3,4,2,2,3,3,5,4,2,8,0.8
2014/15,Winter,10,4,4,3,4,3,2,2,4,3,4,2,8,0.8
2014/15,Spring,10,3,3,2,5,4,4,2,2,3,3,2,8,0.8
