year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,9.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,9.0,1.0
2000/01,Fall,9,3,0,0,0,1,1,0,0,2,3,0,9,1.0
2000/01,Winter,9,1,1,0,0,0,0,0,2,2,1,0,9,1.0
2000/01,Spring,9.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,9.0,1.0
2001/02,Summer,9.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,9.0,1.0
2001/02,Fall,9,1,0,0,0,0,1,1,0,2,2,0,9,1.0
2001/02,Winter,9,2,1,0,0,0,1,0,1,2,2,0,9,1.0
2001/02,Spring,9.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,9.0,1.0
2002/03,Summer,9.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0
2002/03,Fall,9,1,1,1,0,0,0,1,1,2,1,0,9,1.0
2002/03,Winter,9,2,0,0,0,0,1,0,0,0,2,0,9,1.0
2002/03,Spring,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,9.0,1.0
2003/04,Summer,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0
2003/04,Fall,6,1,0,0,0,1,0,0,0,1,2,0,6,1.0
2003/04,Winter,6,1,0,0,0,1,1,1,0,0,0,0,6,1.0
2003/04,Spring,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0
2004/05,Summer,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
2004/05,Fall,6,1,0,0,0,0,0,0,1,0,1,0,6,1.0
2004/05,Winter,6,2,0,0,0,0,0,1,0,1,1,0,6,1.0
2004/05,Spring,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0
