year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,26.0,26.0,25.0,24.0,21.0,19.0,17.0,19.0,19.0,19.0,22.0,17.0,9.0,0.35
2000/01,Fall,26,25,25,22,21,19,20,20,21,21,24,19,7,0.27
2000/01,Winter,28,25,24,22,21,19,20,19,21,21,22,19,9,0.32
2000/01,Spring,26.0,21.0,21.0,19.0,19.0,18.0,18.0,18.0,19.0,19.0,20.0,18.0,8.0,0.31
2001/02,Summer,27.0,26.0,25.0,24.0,19.0,18.0,16.0,17.0,17.0,19.0,22.0,16.0,11.0,0.41
2001/02,Fall,27,27,26,25,24,23,23,23,23,24,24,23,4,0.15
2001/02,Winter,27,26,26,26,23,23,23,23,24,23,26,23,4,0.15
2001/02,Spring,27.0,25.0,25.0,24.0,23.0,21.0,22.0,21.0,20.0,22.0,23.0,20.0,7.0,0.26
2002/03,Summer,29.0,26.0,26.0,24.0,21.0,19.0,17.0,15.0,16.0,18.0,22.0,15.0,14.0,0.48
2002/03,Fall,29,28,28,24,23,23,22,23,23,23,26,22,7,0.24
2002/03,Winter,29,28,29,27,26,23,23,23,24,24,25,23,6,0.21
2002/03,Spring,29.0,27.0,27.0,25.0,24.0,22.0,22.0,22.0,25.0,26.0,27.0,22.0,7.0,0.24
2003/04,Summer,29.0,27.0,27.0,25.0,22.0,19.0,19.0,21.0,22.0,24.0,26.0,19.0,10.0,0.34
2003/04,Fall,29,27,26,26,24,21,20,23,22,22,26,20,9,0.31
2003/04,Winter,29,26,27,25,23,23,23,21,23,23,24,21,8,0.28
2003/04,Spring,29.0,28.0,29.0,26.0,25.0,22.0,24.0,23.0,25.0,26.0,26.0,22.0,7.0,0.24
2004/05,Summer,29.0,29.0,28.0,27.0,25.0,22.0,24.0,21.0,23.0,23.0,26.0,21.0,8.0,0.28
2004/05,Fall,28,27,26,27,24,23,21,23,24,26,28,21,7,0.25
2004/05,Winter,29,29,28,26,25,23,23,24,25,25,28,23,6,0.21
2004/05,Spring,29.0,28.0,27.0,25.0,23.0,23.0,19.0,21.0,19.0,22.0,24.0,19.0,10.0,0.34
2005/06,Summer,29.0,28.0,27.0,27.0,25.0,22.0,22.0,21.0,21.0,24.0,25.0,21.0,8.0,0.28
2005/06,Fall,29,27,28,23,21,21,21,22,25,27,27,21,8,0.28
2005/06,Winter,30,25,24,23,19,17,18,21,21,21,24,17,13,0.43
2005/06,Spring,30.0,27.0,25.0,23.0,20.0,18.0,19.0,21.0,20.0,21.0,23.0,18.0,12.0,0.4
2006/07,Summer,30.0,29.0,26.0,24.0,19.0,18.0,19.0,20.0,20.0,22.0,22.0,18.0,12.0,0.4
2006/07,Fall,30,26,25,24,20,20,21,20,20,23,26,20,10,0.33
2006/07,Winter,27,24,24,21,18,17,19,19,19,21,23,17,10,0.37
2006/07,Spring,27.0,24.0,22.0,17.0,13.0,13.0,17.0,16.0,16.0,20.0,21.0,13.0,14.0,0.52
2007/08,Summer,27.0,23.0,21.0,18.0,11.0,10.0,13.0,13.0,15.0,20.0,23.0,10.0,17.0,0.63
2007/08,Fall,27,23,21,21,17,18,19,18,18,22,23,17,10,0.37
2007/08,Winter,27,25,24,19,18,17,16,18,18,20,21,16,11,0.41
2007/08,Spring,27.0,24.0,25.0,19.0,18.0,17.0,17.0,15.0,19.0,21.0,24.0,15.0,12.0,0.44
2008/09,Summer,27.0,24.0,23.0,20.0,18.0,15.0,14.0,16.0,16.0,19.0,20.0,14.0,13.0,0.48
2008/09,Fall,27,25,22,20,18,19,18,19,20,21,24,18,9,0.33
2008/09,Winter,27,25,23,23,20,18,15,17,19,23,24,15,12,0.44
2008/09,Spring,29.0,27.0,26.0,24.0,19.0,18.0,18.0,18.0,19.0,22.0,25.0,18.0,11.0,0.38
2009/10,Summer,30.0,29.0,27.0,24.0,20.0,16.0,19.0,18.0,19.0,19.0,24.0,16.0,14.0,0.47
2009/10,Fall,30,28,26,25,21,19,17,18,21,22,25,17,13,0.43
2009/10,Winter,30,28,27,25,22,21,20,22,23,24,27,20,10,0.33
2009/10,Spring,30.0,28.0,26.0,22.0,19.0,17.0,17.0,20.0,18.0,20.0,23.0,17.0,13.0,0.43
2010/11,Summer,30.0,26.0,25.0,22.0,18.0,14.0,13.0,14.0,17.0,19.0,23.0,13.0,17.0,0.57
2010/11,Fall,30,27,27,25,23,22,22,21,22,23,25,21,9,0.3
2010/11,Winter,28,27,26,20,16,17,16,18,18,21,24,16,12,0.43
2010/11,Spring,28.0,26.0,25.0,19.0,12.0,12.0,14.0,14.0,14.0,18.0,20.0,12.0,16.0,0.57
2011/12,Summer,28.0,26.0,23.0,23.0,16.0,17.0,15.0,13.0,18.0,19.0,23.0,13.0,15.0,0.54
2011/12,Fall,28,24,22,18,17,14,11,12,17,21,21,11,17,0.61
