year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,796.0,623.0,481.0,350.0,247.0,209.0,226.0,232.0,243.0,271.0,399.0,209.0,587.0,0.74
2000/01,Fall,796,606,466,342,282,269,294,282,291,323,422,269,527,0.66
2000/01,Winter,795,600,437,314,240,216,233,233,244,284,377,216,579,0.73
2000/01,Spring,800.0,597.0,451.0,335.0,238.0,224.0,251.0,259.0,287.0,317.0,384.0,224.0,576.0,0.72
2001/02,Summer,804.0,631.0,491.0,353.0,247.0,212.0,231.0,245.0,259.0,312.0,428.0,212.0,592.0,0.74
2001/02,Fall,804,639,478,357,284,273,283,292,286,325,427,273,531,0.66
2001/02,Winter,801,613,439,332,244,245,267,272,280,316,411,244,557,0.7
2001/02,Spring,803.0,602.0,455.0,316.0,231.0,229.0,244.0,243.0,258.0,305.0,422.0,229.0,574.0,0.71
2002/03,Summer,803.0,594.0,441.0,315.0,217.0,176.0,183.0,192.0,210.0,262.0,375.0,176.0,627.0,0.78
2002/03,Fall,796,634,454,350,295,282,283,267,263,339,450,263,533,0.67
2002/03,Winter,802,635,465,328,253,258,278,259,273,324,443,253,549,0.68
2002/03,Spring,812.0,629.0,480.0,328.0,265.0,255.0,277.0,268.0,292.0,344.0,455.0,255.0,557.0,0.69
2003/04,Summer,812.0,646.0,479.0,347.0,255.0,208.0,225.0,219.0,238.0,292.0,413.0,208.0,604.0,0.74
2003/04,Fall,812,625,477,379,324,311,326,288,300,356,459,288,524,0.65
2003/04,Winter,812,648,499,396,326,311,319,313,333,388,489,311,501,0.62
2003/04,Spring,812.0,646.0,505.0,366.0,294.0,285.0,321.0,309.0,332.0,383.0,478.0,285.0,527.0,0.65
2004/05,Summer,820.0,671.0,514.0,379.0,284.0,228.0,267.0,255.0,278.0,350.0,446.0,228.0,592.0,0.72
2004/05,Fall,825,670,531,391,318,318,330,338,356,414,496,318,507,0.61
2004/05,Winter,825,673,547,400,325,303,333,332,353,411,506,303,522,0.63
2004/05,Spring,825.0,675.0,543.0,367.0,270.0,254.0,292.0,299.0,324.0,391.0,489.0,254.0,571.0,0.69
2005/06,Summer,825.0,675.0,531.0,392.0,289.0,262.0,288.0,295.0,311.0,370.0,483.0,262.0,563.0,0.68
2005/06,Fall,825,663,514,388,308,313,335,324,336,385,474,308,517,0.63
2005/06,Winter,822,677,522,381,284,288,318,306,325,371,475,284,538,0.65
2005/06,Spring,820.0,660.0,526.0,385.0,308.0,285.0,290.0,298.0,316.0,368.0,438.0,285.0,535.0,0.65
2006/07,Summer,797.0,655.0,476.0,335.0,228.0,199.0,220.0,233.0,256.0,338.0,440.0,199.0,598.0,0.75
2006/07,Fall,797,612,449,320,241,247,264,249,264,321,436,241,556,0.7
2006/07,Winter,753,576,433,320,252,232,247,239,258,316,404,232,521,0.69
2006/07,Spring,776.0,641.0,491.0,306.0,195.0,197.0,230.0,241.0,276.0,340.0,432.0,195.0,581.0,0.75
2007/08,Summer,775.0,634.0,498.0,358.0,237.0,205.0,220.0,232.0,264.0,348.0,468.0,205.0,570.0,0.74
2007/08,Fall,774,623,454,342,272,260,290,276,306,373,464,260,514,0.66
2007/08,Winter,775,641,507,327,244,247,261,259,289,361,453,244,531,0.69
2007/08,Spring,775.0,661.0,489.0,324.0,244.0,232.0,269.0,282.0,325.0,382.0,501.0,232.0,543.0,0.7
2008/09,Summer,788.0,672.0,547.0,396.0,326.0,254.0,266.0,289.0,335.0,404.0,498.0,254.0,534.0,0.68
2008/09,Fall,774,644,531,410,363,331,342,368,392,412,507,331,443,0.57
2008/09,Winter,780,672,548,427,352,326,338,331,356,416,518,326,454,0.58
2008/09,Spring,777.0,672.0,552.0,396.0,304.0,288.0,314.0,330.0,352.0,399.0,492.0,288.0,489.0,0.63
2009/10,Summer,805.0,677.0,550.0,429.0,297.0,240.0,269.0,280.0,309.0,367.0,499.0,240.0,565.0,0.7
2009/10,Fall,784,665,547,422,343,310,313,316,364,403,468,310,474,0.6
2009/10,Winter,784,673,559,429,332,319,318,318,349,408,518,318,466,0.59
2009/10,Spring,784.0,680.0,556.0,385.0,277.0,264.0,297.0,309.0,313.0,385.0,489.0,264.0,520.0,0.66
