year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,482.0,392.0,305.0,228.0,159.0,122.0,136.0,151.0,165.0,186.0,262.0,122.0,360.0,0.75
2000/01,Fall,482,386,310,243,207,196,214,211,216,240,295,196,286,0.59
2000/01,Winter,478,365,282,216,172,160,170,177,185,208,259,160,318,0.67
2000/01,Spring,481.0,370.0,288.0,222.0,159.0,148.0,170.0,185.0,207.0,226.0,267.0,148.0,333.0,0.69
2001/02,Summer,482.0,378.0,295.0,216.0,148.0,122.0,135.0,145.0,160.0,195.0,262.0,122.0,360.0,0.75
2001/02,Fall,482,391,300,240,197,191,201,208,211,235,290,191,291,0.6
2001/02,Winter,482,378,277,222,172,171,181,196,199,225,275,171,311,0.65
2001/02,Spring,482.0,362.0,283.0,201.0,144.0,145.0,152.0,161.0,173.0,205.0,283.0,144.0,338.0,0.7
2002/03,Summer,478.0,356.0,258.0,185.0,124.0,91.0,99.0,112.0,135.0,171.0,240.0,91.0,387.0,0.81
2002/03,Fall,238,159,89,55,42,39,39,41,44,61,99,39,199,0.84
2002/03,Winter,238,165,92,54,39,38,42,37,40,58,98,37,201,0.84
2002/03,Spring,238.0,161.0,92.0,53.0,39.0,40.0,45.0,38.0,46.0,68.0,99.0,38.0,200.0,0.84
2003/04,Summer,238.0,166.0,101.0,70.0,50.0,42.0,43.0,42.0,42.0,57.0,85.0,42.0,196.0,0.82
2003/04,Fall,478,376,294,249,216,212,229,196,194,236,297,194,284,0.59
2003/04,Winter,478,385,308,253,208,200,210,216,226,263,320,200,278,0.58
2003/04,Spring,478.0,389.0,307.0,236.0,191.0,183.0,208.0,205.0,223.0,259.0,310.0,183.0,295.0,0.62
2004/05,Summer,479.0,408.0,316.0,234.0,167.0,124.0,152.0,151.0,169.0,215.0,271.0,124.0,355.0,0.74
2004/05,Fall,480,398,322,248,206,205,215,221,231,269,306,205,275,0.57
2004/05,Winter,480,402,324,242,193,175,199,206,219,254,306,175,305,0.64
2004/05,Spring,480.0,403.0,321.0,208.0,144.0,128.0,164.0,178.0,199.0,240.0,296.0,128.0,352.0,0.73
2005/06,Summer,480.0,394.0,306.0,224.0,158.0,129.0,148.0,165.0,182.0,219.0,285.0,129.0,351.0,0.73
2005/06,Fall,480,397,307,250,203,204,216,216,221,244,298,203,277,0.58
2005/06,Winter,476,399,308,228,165,176,200,190,207,233,285,165,311,0.65
2005/06,Spring,474.0,389.0,312.0,231.0,182.0,169.0,171.0,180.0,198.0,227.0,272.0,169.0,305.0,0.64
2006/07,Summer,459.0,382.0,265.0,178.0,109.0,83.0,90.0,113.0,134.0,190.0,263.0,83.0,376.0,0.82
2006/07,Fall,459,370,287,211,167,167,176,177,187,218,284,167,292,0.64
2006/07,Winter,424,330,246,179,144,133,146,143,156,194,246,133,291,0.69
2006/07,Spring,441.0,366.0,266.0,149.0,75.0,72.0,99.0,118.0,149.0,182.0,242.0,72.0,369.0,0.84
2007/08,Summer,440.0,362.0,276.0,192.0,109.0,75.0,84.0,97.0,122.0,182.0,267.0,75.0,365.0,0.83
2007/08,Fall,440,361,262,191,146,139,158,148,172,214,270,139,301,0.68
2007/08,Winter,439,365,287,176,123,125,140,138,161,205,261,123,316,0.72
2007/08,Spring,439.0,379.0,270.0,166.0,111.0,99.0,130.0,148.0,185.0,219.0,287.0,99.0,340.0,0.77
2008/09,Summer,452.0,390.0,304.0,209.0,162.0,104.0,112.0,133.0,173.0,225.0,286.0,104.0,348.0,0.77
2008/09,Fall,439,363,290,218,188,162,170,193,207,224,283,162,277,0.63
2008/09,Winter,445,383,303,230,181,160,173,168,185,228,299,160,285,0.64
2008/09,Spring,441.0,380.0,291.0,186.0,125.0,112.0,144.0,158.0,178.0,216.0,279.0,112.0,329.0,0.75
2009/10,Summer,467.0,394.0,313.0,230.0,126.0,80.0,99.0,115.0,140.0,189.0,283.0,80.0,387.0,0.83
2009/10,Fall,445,368,290,216,164,147,152,158,193,213,255,147,298,0.67
2009/10,Winter,445,381,306,217,150,141,144,151,168,212,288,141,304,0.68
2009/10,Spring,445.0,384.0,299.0,178.0,99.0,95.0,122.0,135.0,145.0,195.0,269.0,95.0,350.0,0.79
2010/11,Summer,445.0,372.0,299.0,210.0,109.0,79.0,95.0,103.0,118.0,168.0,223.0,79.0,366.0,0.82
2010/11,Fall,445,369,303,208,150,138,156,154,166,196,254,138,307,0.69
2010/11,Winter,445,378,308,212,134,117,133,137,160,188,261,117,328,0.74
