year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,107.0,64.0,40.0,22.0,11.0,14.0,16.0,13.0,12.0,16.0,38.0,11.0,96.0,0.9
2000/01,Fall,107,63,38,19,12,11,13,8,9,14,33,8,99,0.93
2000/01,Winter,107,70,38,16,6,5,6,7,7,11,31,5,102,0.95
2000/01,Spring,107.0,66.0,38.0,20.0,8.0,13.0,15.0,13.0,13.0,19.0,30.0,8.0,99.0,0.93
2001/02,Summer,107.0,73.0,49.0,30.0,16.0,18.0,21.0,23.0,23.0,27.0,44.0,16.0,91.0,0.85
2001/02,Fall,107,73,46,20,12,10,10,14,13,21,43,10,97,0.91
2001/02,Winter,107,70,38,19,8,10,16,11,11,14,33,8,99,0.93
2001/02,Spring,107.0,71.0,43.0,25.0,14.0,15.0,20.0,19.0,18.0,23.0,40.0,14.0,93.0,0.87
2002/03,Summer,107.0,69.0,52.0,34.0,21.0,21.0,19.0,21.0,19.0,24.0,37.0,19.0,88.0,0.82
2002/03,Fall,290,243,178,152,130,125,127,109,105,145,193,105,185,0.64
2002/03,Winter,290,238,188,132,102,108,117,116,123,144,191,102,188,0.65
2002/03,Spring,290.0,232.0,188.0,126.0,99.0,98.0,105.0,112.0,120.0,144.0,186.0,98.0,192.0,0.66
2003/04,Summer,290.0,240.0,186.0,132.0,87.0,62.0,68.0,69.0,83.0,110.0,168.0,62.0,228.0,0.79
2003/04,Fall,102,67,45,26,17,15,15,13,21,26,44,13,89,0.87
2003/04,Winter,102,72,44,26,19,18,16,15,18,26,41,15,87,0.85
2003/04,Spring,102.0,71.0,50.0,28.0,18.0,20.0,24.0,21.0,22.0,29.0,50.0,18.0,84.0,0.82
2004/05,Summer,102.0,72.0,49.0,38.0,33.0,31.0,32.0,29.0,33.0,38.0,54.0,29.0,73.0,0.72
2004/05,Fall,102,70,48,23,15,14,16,17,20,30,46,14,88,0.86
2004/05,Winter,102,68,53,34,23,26,27,22,24,36,52,22,80,0.78
2004/05,Spring,102.0,69.0,51.0,29.0,17.0,19.0,20.0,17.0,22.0,30.0,45.0,17.0,85.0,0.83
2005/06,Summer,102.0,76.0,62.0,42.0,33.0,34.0,36.0,34.0,32.0,37.0,53.0,32.0,70.0,0.69
2005/06,Fall,102,69,50,29,19,22,24,22,20,29,42,19,83,0.81
2005/06,Winter,102,73,50,30,19,17,21,18,23,29,50,17,85,0.83
2005/06,Spring,102.0,73.0,53.0,34.0,25.0,27.0,28.0,26.0,27.0,33.0,44.0,25.0,77.0,0.75
2006/07,Summer,102.0,75.0,55.0,38.0,31.0,31.0,37.0,34.0,36.0,41.0,50.0,31.0,71.0,0.7
2006/07,Fall,119,81,48,27,15,18,19,13,16,27,54,13,106,0.89
2006/07,Winter,119,85,58,38,30,28,30,27,31,37,56,27,92,0.77
2006/07,Spring,119.0,85.0,60.0,37.0,28.0,36.0,36.0,32.0,35.0,46.0,61.0,28.0,91.0,0.76
2007/08,Summer,111.0,87.0,64.0,45.0,33.0,36.0,37.0,34.0,38.0,45.0,57.0,33.0,78.0,0.7
2007/08,Fall,111,82,52,36,32,33,36,32,37,47,61,32,79,0.71
2007/08,Winter,111,84,57,35,24,27,28,26,31,41,59,24,87,0.78
2007/08,Spring,111.0,87.0,57.0,36.0,31.0,32.0,33.0,32.0,33.0,43.0,69.0,31.0,80.0,0.72
2008/09,Summer,111.0,88.0,70.0,52.0,44.0,41.0,45.0,46.0,48.0,56.0,69.0,41.0,70.0,0.63
2008/09,Fall,110,94,76,63,56,54,57,57,62,62,76,54,56,0.51
2008/09,Winter,110,97,79,66,57,56,57,58,61,63,72,56,54,0.49
2008/09,Spring,119.0,104.0,87.0,73.0,64.0,60.0,63.0,62.0,63.0,67.0,83.0,60.0,59.0,0.5
2009/10,Summer,119.0,99.0,79.0,69.0,61.0,57.0,59.0,58.0,58.0,64.0,74.0,57.0,62.0,0.52
2009/10,Fall,119,103,89,70,63,61,60,58,62,70,73,58,61,0.51
2009/10,Winter,119,105,89,77,67,66,65,62,65,69,82,62,57,0.48
2009/10,Spring,119.0,105.0,87.0,72.0,61.0,60.0,64.0,60.0,57.0,62.0,77.0,57.0,62.0,0.52
2010/11,Summer,101.0,86.0,74.0,62.0,57.0,57.0,61.0,55.0,53.0,56.0,69.0,53.0,48.0,0.48
2010/11,Fall,101,87,73,58,49,49,50,45,46,51,71,45,56,0.55
2010/11,Winter,23,17,10,5,2,2,4,3,2,4,7,2,21,0.91
2010/11,Spring,23.0,18.0,15.0,12.0,6.0,5.0,5.0,2.0,4.0,5.0,9.0,2.0,21.0,0.91
2011/12,Summer,23.0,16.0,12.0,10.0,4.0,5.0,3.0,3.0,3.0,4.0,10.0,3.0,20.0,0.87
2011/12,Fall,23,14,2,0,1,0,1,1,5,5,10,0,23,1.0
2011/12,Winter,23,15,8,2,0,0,1,2,3,2,6,0,23,1.0
2011/12,Spring,23.0,13.0,10.0,3.0,0.0,2.0,0.0,1.0,1.0,5.0,11.0,0.0,23.0,1.0
2012/13,Summer,23.0,14.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,7.0,0.0,23.0,1.0
2012/13,Fall,21,12,6,0,0,0,0,2,2,3,8,0,21,1.0
2012/13,Winter,21,14,9,5,3,2,2,1,3,4,8,1,20,0.95
2012/13,Spring,21.0,13.0,8.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,10.0,1.0,20.0,0.95
2013/14,Summer,46.0,30.0,21.0,16.0,11.0,10.0,9.0,11.0,15.0,21.0,28.0,9.0,37.0,0.8
2013/14,Fall,46,39,34,20,14,12,15,15,18,19,26,12,34,0.74
2013/14,Winter,47,37,31,16,9,5,7,10,10,12,24,5,42,0.89
2013/14,Spring,46.0,38.0,32.0,16.0,10.0,10.0,8.0,11.0,13.0,15.0,23.0,8.0,38.0,0.83
2014/15,Summer,46,38,31,19,18,15,14,14,12,11,23,11,35,0.76
2014/15,Fall,46,36,25,16,8,7,5,8,9,10,20,5,41,0.89
2014/15,Winter,46,37,32,19,11,9,9,11,18,21,25,9,37,0.8
2014/15,Spring,46,39,33,24,16,17,17,15,17,19,26,15,31,0.67
