year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,8.0,6.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,2.0,6.0,0.75
2000/01,Fall,8,7,6,6,1,4,4,3,4,4,5,1,7,0.88
2000/01,Winter,8,4,3,4,2,1,3,2,2,3,3,1,7,0.88
2000/01,Spring,9.0,7.0,7.0,5.0,4.0,3.0,1.0,3.0,4.0,5.0,5.0,1.0,8.0,0.89
2001/02,Summer,10.0,9.0,9.0,5.0,5.0,3.0,5.0,6.0,5.0,6.0,7.0,3.0,7.0,0.7
2001/02,Fall,10,9,6,7,5,4,3,4,3,2,4,2,8,0.8
2001/02,Winter,10,8,7,6,6,4,5,3,4,4,6,3,7,0.7
2001/02,Spring,11.0,9.0,8.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0,7.0,0.64
2002/03,Summer,13.0,10.0,8.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,0.54
2002/03,Fall,13,10,10,9,10,8,8,8,7,7,8,7,6,0.46
2002/03,Winter,17,12,6,5,5,6,7,4,4,4,6,4,13,0.76
2002/03,Spring,17.0,11.0,9.0,8.0,6.0,6.0,7.0,5.0,5.0,4.0,10.0,4.0,13.0,0.76
2003/04,Summer,17.0,12.0,11.0,7.0,5.0,8.0,6.0,7.0,6.0,5.0,8.0,5.0,12.0,0.71
2003/04,Fall,17,13,11,7,7,8,8,8,7,7,7,7,10,0.59
2003/04,Winter,17,13,10,10,9,8,7,9,8,9,12,7,10,0.59
2003/04,Spring,17.0,12.0,11.0,8.0,8.0,6.0,9.0,9.0,10.0,11.0,11.0,6.0,11.0,0.65
2004/05,Summer,16.0,14.0,10.0,8.0,6.0,5.0,6.0,5.0,7.0,9.0,9.0,5.0,11.0,0.69
2004/05,Fall,16,11,11,10,6,7,7,9,10,9,10,6,10,0.63
2004/05,Winter,15,12,10,7,6,7,7,8,8,7,10,6,9,0.6
2004/05,Spring,15.0,11.0,11.0,7.0,5.0,5.0,8.0,5.0,6.0,8.0,9.0,5.0,10.0,0.67
2005/06,Summer,15.0,13.0,10.0,8.0,7.0,7.0,8.0,7.0,7.0,10.0,12.0,7.0,8.0,0.53
2005/06,Fall,15,12,8,5,5,5,8,5,7,8,9,5,10,0.67
2005/06,Winter,15,11,10,7,8,7,7,9,7,9,10,7,8,0.53
2005/06,Spring,15.0,12.0,9.0,6.0,5.0,6.0,8.0,8.0,6.0,10.0,8.0,5.0,10.0,0.67
2006/07,Summer,14.0,11.0,9.0,6.0,6.0,9.0,8.0,5.0,5.0,7.0,8.0,5.0,9.0,0.64
2006/07,Fall,14,10,6,6,5,7,8,6,6,8,7,5,9,0.64
2006/07,Winter,14,8,10,9,7,7,6,7,6,8,9,6,8,0.57
2006/07,Spring,15.0,11.0,8.0,8.0,7.0,6.0,6.0,5.0,6.0,8.0,10.0,5.0,10.0,0.67
2007/08,Summer,15.0,8.0,8.0,5.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,4.0,11.0,0.73
2007/08,Fall,15,11,5,6,6,5,4,6,8,7,9,4,11,0.73
