year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,145.0,120.0,91.0,57.0,38.0,37.0,43.0,35.0,32.0,35.0,58.0,32.0,113.0,0.78
2000/01,Fall,145,109,72,40,28,26,32,28,30,36,53,26,119,0.82
2000/01,Winter,145,119,77,42,28,21,23,20,22,32,50,20,125,0.86
2000/01,Spring,148.0,117.0,82.0,54.0,36.0,31.0,36.0,28.0,31.0,34.0,47.0,28.0,120.0,0.81
2001/02,Summer,150.0,127.0,96.0,62.0,45.0,39.0,44.0,44.0,42.0,55.0,80.0,39.0,111.0,0.74
2001/02,Fall,150,123,87,53,36,31,33,31,27,35,55,27,123,0.82
2001/02,Winter,150,116,77,46,23,27,33,28,32,41,59,23,127,0.85
2001/02,Spring,150.0,117.0,81.0,47.0,32.0,32.0,32.0,26.0,31.0,39.0,57.0,26.0,124.0,0.83
2002/03,Summer,150.0,118.0,83.0,51.0,32.0,28.0,30.0,25.0,24.0,33.0,58.0,24.0,126.0,0.84
2002/03,Fall,152,127,87,51,33,31,32,29,29,46,65,29,123,0.81
2002/03,Winter,152,126,85,49,26,29,32,23,27,36,61,23,129,0.85
2002/03,Spring,162.0,130.0,100.0,59.0,47.0,42.0,47.0,42.0,43.0,50.0,74.0,42.0,120.0,0.74
2003/04,Summer,162.0,136.0,99.0,65.0,49.0,45.0,50.0,41.0,42.0,51.0,75.0,41.0,121.0,0.75
2003/04,Fall,162,123,85,60,49,44,44,37,44,53,71,37,125,0.77
2003/04,Winter,162,137,95,69,56,52,53,43,50,56,79,43,119,0.73
2003/04,Spring,162.0,127.0,91.0,54.0,41.0,43.0,47.0,37.0,40.0,45.0,69.0,37.0,125.0,0.77
2004/05,Summer,170.0,132.0,96.0,59.0,41.0,36.0,42.0,41.0,36.0,54.0,74.0,36.0,134.0,0.79
2004/05,Fall,176,148,110,71,57,58,61,57,61,70,94,57,119,0.68
2004/05,Winter,176,146,119,81,66,63,68,60,65,76,97,60,116,0.66
2004/05,Spring,176.0,149.0,120.0,85.0,69.0,66.0,69.0,64.0,63.0,76.0,101.0,63.0,113.0,0.64
2005/06,Summer,176.0,148.0,112.0,77.0,54.0,58.0,64.0,57.0,56.0,69.0,95.0,54.0,122.0,0.69
2005/06,Fall,176,145,109,73,53,55,58,52,54,66,89,52,124,0.7
2005/06,Winter,176,154,116,82,61,60,62,57,55,67,93,55,121,0.69
2005/06,Spring,174.0,144.0,113.0,79.0,61.0,56.0,52.0,51.0,52.0,63.0,77.0,51.0,123.0,0.71
2006/07,Summer,174.0,146.0,110.0,77.0,55.0,51.0,58.0,51.0,53.0,68.0,88.0,51.0,123.0,0.71
2006/07,Fall,155,111,72,41,24,26,31,26,25,34,53,24,131,0.85
2006/07,Winter,154,120,86,64,45,40,38,35,36,45,61,35,119,0.77
2006/07,Spring,155.0,138.0,119.0,82.0,61.0,60.0,62.0,61.0,64.0,75.0,89.0,60.0,95.0,0.61
2007/08,Summer,165.0,142.0,116.0,88.0,71.0,68.0,73.0,74.0,76.0,84.0,103.0,68.0,97.0,0.59
2007/08,Fall,165,136,105,79,63,59,66,66,67,77,94,59,106,0.64
2007/08,Winter,165,143,118,78,64,63,62,59,65,77,94,59,106,0.64
2007/08,Spring,165.0,147.0,118.0,89.0,72.0,74.0,74.0,71.0,72.0,79.0,100.0,71.0,94.0,0.57
2008/09,Summer,165.0,149.0,129.0,100.0,87.0,78.0,80.0,80.0,80.0,88.0,105.0,78.0,87.0,0.53
2008/09,Fall,165,141,122,92,85,81,82,83,86,90,104,81,84,0.51
2008/09,Winter,165,143,123,94,82,78,79,73,74,81,105,73,92,0.56
2008/09,Spring,154.0,140.0,125.0,97.0,81.0,81.0,74.0,73.0,72.0,78.0,86.0,72.0,82.0,0.53
2009/10,Summer,155.0,132.0,111.0,87.0,73.0,72.0,74.0,76.0,74.0,78.0,99.0,72.0,83.0,0.54
2009/10,Fall,154,140,119,93,77,66,69,64,68,75,92,64,90,0.58
2009/10,Winter,154,138,117,93,76,74,70,69,74,84,100,69,85,0.55
2009/10,Spring,154.0,141.0,126.0,98.0,82.0,77.0,77.0,75.0,76.0,86.0,98.0,75.0,79.0,0.51
2010/11,Summer,156.0,137.0,121.0,93.0,84.0,73.0,79.0,69.0,70.0,78.0,102.0,69.0,87.0,0.56
2010/11,Fall,154,128,110,78,65,59,59,55,56,69,93,55,99,0.64
2010/11,Winter,151,122,91,61,34,42,46,42,47,56,88,34,117,0.77
2010/11,Spring,152.0,127.0,113.0,84.0,69.0,66.0,70.0,68.0,72.0,74.0,89.0,66.0,86.0,0.57
2011/12,Summer,146.0,100.0,80.0,45.0,38.0,29.0,30.0,27.0,30.0,40.0,65.0,27.0,119.0,0.82
2011/12,Fall,146,115,91,49,35,30,31,26,24,34,64,24,122,0.84
2011/12,Winter,141,114,90,54,39,43,37,36,39,45,72,36,105,0.74
2011/12,Spring,141.0,122.0,93.0,68.0,44.0,35.0,35.0,31.0,33.0,46.0,71.0,31.0,110.0,0.78
