year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,7.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0.57
2000/01,Fall,7,5,4,4,4,5,4,4,3,2,3,2,5,0.71
2000/01,Winter,7,5,4,4,3,3,4,3,3,3,3,3,4,0.57
2000/01,Spring,8.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,0.5
2001/02,Summer,9.0,7.0,6.0,6.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,6.0,0.67
2001/02,Fall,9,6,4,4,4,5,5,6,5,4,6,4,5,0.56
2001/02,Winter,9,5,5,5,5,4,4,4,4,3,5,3,6,0.67
2001/02,Spring,10.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,6.0,3.0,7.0,0.7
2002/03,Summer,10.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,0.6
2002/03,Fall,8,6,7,5,4,5,5,5,5,5,5,4,4,0.5
2002/03,Winter,10,7,6,5,4,4,5,5,4,6,6,4,6,0.6
2002/03,Spring,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,0.5
2003/04,Summer,10.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,7.0,7.0,5.0,5.0,0.5
2003/04,Fall,10,9,7,6,6,6,5,6,6,6,7,5,5,0.5
2003/04,Winter,10,6,7,6,5,5,6,5,5,7,7,5,5,0.5
2003/04,Spring,10.0,8.0,8.0,7.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,4.0,6.0,0.6
2004/05,Summer,10.0,8.0,7.0,7.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,4.0,6.0,0.6
2004/05,Fall,10,7,7,6,5,6,5,6,6,5,6,5,5,0.5
2004/05,Winter,10,7,6,5,6,5,4,5,4,6,6,4,6,0.6
2004/05,Spring,10.0,6.0,5.0,6.0,5.0,7.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,0.5
2005/06,Summer,10.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,0.5
2005/06,Fall,10,6,6,3,4,2,3,3,5,5,5,2,8,0.8
2005/06,Winter,10,7,6,5,6,5,5,4,5,5,5,4,6,0.6
2005/06,Spring,8.0,5.0,5.0,4.0,6.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,0.63
2006/07,Summer,6.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.5
2006/07,Fall,6,5,3,4,5,3,3,3,4,4,4,3,3,0.5
2006/07,Winter,3,1,1,1,1,0,1,1,1,1,1,0,3,1.0
2006/07,Spring,5.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0.6
2007/08,Summer,5.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0.6
2007/08,Fall,4,2,3,3,2,2,2,1,2,2,2,1,3,0.75
2007/08,Winter,5,4,4,3,4,2,3,3,3,3,3,2,3,0.6
2007/08,Spring,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.6
2008/09,Summer,5.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,0.8
2008/09,Fall,5,3,3,3,3,3,2,2,3,3,3,2,3,0.6
2008/09,Winter,5,4,4,2,3,3,2,3,3,4,2,2,3,0.6
2008/09,Spring,5.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,0.8
2009/10,Summer,5.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,0.6
2009/10,Fall,5,4,4,2,3,2,2,3,3,4,4,2,3,0.6
2009/10,Winter,5,3,2,3,2,3,3,3,4,3,3,2,3,0.6
2009/10,Spring,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.6
2010/11,Summer,5.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,0.8
2010/11,Fall,5,2,4,3,3,3,2,2,3,4,3,2,3,0.6
