year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,13.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,11.0,0.85
2000/01,Fall,13,4,4,4,4,4,3,3,3,2,3,2,11,0.85
2000/01,Winter,13,5,3,4,4,4,4,2,2,2,3,2,11,0.85
2000/01,Spring,13.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,0.77
2001/02,Summer,13.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,10.0,0.77
2001/02,Fall,13,4,4,4,3,5,4,3,2,1,2,1,12,0.92
2001/02,Winter,10,5,5,4,3,3,3,3,2,2,3,2,8,0.8
2001/02,Spring,10.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,8.0,0.8
2002/03,Summer,10.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,8.0,0.8
2002/03,Fall,8,3,2,2,2,2,2,3,3,2,1,1,7,0.88
2002/03,Winter,8,4,4,3,3,3,2,3,2,2,2,2,6,0.75
2002/03,Spring,8.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,0.75
2003/04,Summer,8.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,8.0,1.0
2003/04,Fall,8,4,3,2,3,3,2,2,1,1,1,1,7,0.88
2003/04,Winter,8,3,3,3,2,2,1,1,1,1,2,1,7,0.88
2003/04,Spring,8.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,7.0,0.88
2004/05,Summer,8.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,0.75
2004/05,Fall,8,4,4,4,4,3,3,2,1,2,1,1,7,0.88
2004/05,Winter,8,4,3,2,4,3,3,3,4,3,3,2,6,0.75
2004/05,Spring,8.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,6.0,0.75
2005/06,Summer,8.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,0.63
2005/06,Fall,8,2,2,3,2,2,3,3,2,3,1,1,7,0.88
2005/06,Winter,8,3,3,2,3,3,2,3,3,3,4,2,6,0.75
2005/06,Spring,12.0,6.0,5.0,5.0,5.0,4.0,5.0,7.0,6.0,6.0,6.0,4.0,8.0,0.67
2006/07,Summer,7.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,0.86
2006/07,Fall,7,3,3,3,2,2,2,2,3,3,3,2,5,0.71
2006/07,Winter,5,2,3,3,3,4,3,3,3,4,3,2,3,0.6
2006/07,Spring,7.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,6.0,0.86
2007/08,Summer,7.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,0.71
2007/08,Fall,7,3,2,2,3,1,3,2,1,2,2,1,6,0.86
2007/08,Winter,8,3,3,3,2,3,3,3,2,3,3,2,6,0.75
2007/08,Spring,8.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,6.0,0.75
2008/09,Summer,8.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,6.0,0.75
2008/09,Fall,8,3,3,3,3,4,4,3,2,2,4,2,6,0.75
2008/09,Winter,8,3,2,3,2,3,2,3,3,3,2,2,6,0.75
2008/09,Spring,8.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,7.0,0.88
2009/10,Summer,8.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,6.0,0.75
2009/10,Fall,8,3,1,2,1,3,1,3,3,4,3,1,7,0.88
2009/10,Winter,8,2,2,2,2,3,4,2,2,3,3,2,6,0.75
