year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1505.0,1153.0,916.0,644.0,497.0,475.0,501.0,513.0,529.0,605.0,741.0,475.0,1030.0,0.68
2000/01,Fall,1580,1149,817,487,309,257,265,257,299,398,487,257,1323,0.84
2000/01,Winter,1624,1186,847,546,368,328,314,307,333,431,515,307,1317,0.81
2000/01,Spring,1620.0,1190.0,853.0,558.0,410.0,337.0,326.0,323.0,364.0,448.0,545.0,323.0,1297.0,0.8
2001/02,Summer,1566.0,1222.0,953.0,730.0,570.0,557.0,580.0,582.0,611.0,670.0,781.0,557.0,1009.0,0.64
2001/02,Fall,1601,1194,815,514,340,298,302,302,340,467,531,298,1303,0.81
2001/02,Winter,1488,1035,679,365,208,162,172,171,217,303,369,162,1326,0.89
2001/02,Spring,1481.0,1040.0,724.0,432.0,256.0,209.0,202.0,204.0,264.0,355.0,399.0,202.0,1279.0,0.86
2002/03,Summer,1477.0,1112.0,884.0,682.0,549.0,526.0,540.0,540.0,575.0,646.0,751.0,526.0,951.0,0.64
2002/03,Fall,1448,1032,650,365,224,201,188,194,254,348,440,188,1260,0.87
2002/03,Winter,1442,1018,632,311,143,114,120,126,191,306,379,114,1328,0.92
2002/03,Spring,1469.0,1031.0,671.0,381.0,232.0,186.0,189.0,194.0,249.0,370.0,423.0,186.0,1283.0,0.87
2003/04,Summer,1488.0,1113.0,855.0,637.0,522.0,514.0,555.0,534.0,568.0,645.0,753.0,514.0,974.0,0.65
2003/04,Fall,1457,1015,630,332,183,155,180,173,228,324,383,155,1302,0.89
2003/04,Winter,1439,1016,638,314,158,130,143,138,198,302,352,130,1309,0.91
2003/04,Spring,1431.0,1016.0,676.0,376.0,223.0,182.0,187.0,189.0,242.0,357.0,424.0,182.0,1249.0,0.87
2004/05,Summer,1443.0,1146.0,869.0,629.0,514.0,501.0,525.0,512.0,549.0,649.0,738.0,501.0,942.0,0.65
2004/05,Fall,1397,989,653,344,201,167,170,164,222,309,371,164,1233,0.88
2004/05,Winter,1595,1145,825,488,317,278,284,277,336,453,514,277,1318,0.83
2004/05,Spring,1537.0,1099.0,775.0,459.0,297.0,270.0,259.0,247.0,291.0,400.0,456.0,247.0,1290.0,0.84
2005/06,Summer,1593.0,1260.0,1017.0,784.0,643.0,637.0,643.0,644.0,693.0,784.0,897.0,637.0,956.0,0.6
2005/06,Fall,1574,1159,856,526,385,355,348,363,413,525,611,348,1226,0.78
2005/06,Winter,1557,1116,765,487,312,269,267,271,346,439,473,267,1290,0.83
2005/06,Spring,1560.0,1113.0,763.0,494.0,356.0,323.0,323.0,316.0,377.0,473.0,513.0,316.0,1244.0,0.8
2006/07,Summer,1515.0,1199.0,935.0,727.0,574.0,553.0,566.0,555.0,593.0,696.0,803.0,553.0,962.0,0.63
2006/07,Fall,1485,1089,720,393,254,243,239,228,303,397,463,228,1257,0.85
2006/07,Winter,1496,974,658,315,198,178,193,215,259,351,463,178,1318,0.88
2006/07,Spring,1483.0,1034.0,746.0,432.0,261.0,229.0,224.0,216.0,275.0,372.0,453.0,216.0,1267.0,0.85
2007/08,Summer,1493.0,1161.0,923.0,663.0,537.0,505.0,513.0,522.0,568.0,665.0,781.0,505.0,988.0,0.66
2007/08,Fall,1600,1183,816,501,328,291,326,326,391,507,561,291,1309,0.82
2007/08,Winter,1602,1254,839,525,336,278,268,281,329,456,494,268,1334,0.83
2007/08,Spring,1604.0,1231.0,899.0,570.0,359.0,320.0,328.0,352.0,403.0,490.0,573.0,320.0,1284.0,0.8
2008/09,Summer,1579.0,1273.0,1023.0,793.0,628.0,587.0,589.0,594.0,639.0,717.0,877.0,587.0,992.0,0.63
2008/09,Fall,1535,1119,838,496,306,225,221,231,281,390,481,221,1314,0.86
2008/09,Winter,1485,1160,804,439,238,175,173,146,175,281,393,146,1339,0.9
2008/09,Spring,1486.0,1137.0,778.0,402.0,190.0,143.0,135.0,130.0,179.0,304.0,345.0,130.0,1356.0,0.91
2009/10,Summer,1409.0,1167.0,879.0,623.0,442.0,407.0,425.0,441.0,455.0,568.0,737.0,407.0,1002.0,0.71
2009/10,Fall,1482,1134,785,394,202,149,143,148,200,309,387,143,1339,0.9
2009/10,Winter,1559,1201,767,368,156,108,111,116,156,284,377,108,1451,0.93
2009/10,Spring,1591.0,1175.0,842.0,448.0,234.0,161.0,162.0,163.0,217.0,330.0,385.0,161.0,1430.0,0.9
2010/11,Summer,1589.0,1308.0,984.0,688.0,528.0,488.0,490.0,503.0,554.0,644.0,812.0,488.0,1101.0,0.69
2010/11,Fall,1649,1254,830,431,233,159,170,164,211,341,432,159,1490,0.9
2010/11,Winter,1641,1219,797,411,202,125,107,117,162,285,325,107,1534,0.93
2010/11,Spring,1632.0,1217.0,848.0,453.0,212.0,134.0,131.0,142.0,176.0,302.0,386.0,131.0,1501.0,0.92
2011/12,Summer,1627.0,1340.0,1059.0,729.0,508.0,453.0,466.0,449.0,492.0,612.0,754.0,449.0,1178.0,0.72
2011/12,Fall,1666,1286,926,491,306,239,228,234,263,405,536,228,1438,0.86
2011/12,Winter,1690,1293,915,482,233,167,162,154,190,345,442,154,1536,0.91
