year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,10112.0,6937.0,5646.0,4574.0,3987.0,4136.0,4293.0,4408.0,4594.0,5131.0,6028.0,3987.0,6125.0,0.61
2000/01,Fall,10189,5009,3442,2081,1515,1361,1439,1453,1741,2223,3235,1361,8828,0.87
2000/01,Winter,11170,5809,4108,2779,2109,1993,2004,2034,2314,2963,3951,1993,9177,0.82
2000/01,Spring,11172.0,5919.0,4187.0,2962.0,2270.0,2080.0,2084.0,2111.0,2456.0,3004.0,3869.0,2080.0,9092.0,0.81
2001/02,Summer,11149.0,7981.0,6616.0,5461.0,4776.0,4855.0,5007.0,5027.0,5242.0,5667.0,6493.0,4776.0,6373.0,0.57
2001/02,Fall,11113,6098,4131,2700,2000,1849,1897,1924,2310,2917,3724,1849,9264,0.83
2001/02,Winter,10923,5609,3691,2344,1672,1513,1563,1544,1873,2488,3479,1513,9410,0.86
2001/02,Spring,10904.0,5525.0,3826.0,2555.0,1858.0,1662.0,1705.0,1686.0,2043.0,2626.0,3480.0,1662.0,9242.0,0.85
2002/03,Summer,10805.0,7595.0,6173.0,5155.0,4390.0,4269.0,4538.0,4570.0,4895.0,5453.0,6379.0,4269.0,6536.0,0.6
2002/03,Fall,10753,5576,3418,2082,1515,1472,1536,1560,1983,2729,3654,1472,9281,0.86
2002/03,Winter,10583,5437,3475,1993,1367,1243,1280,1312,1705,2433,3414,1243,9340,0.88
2002/03,Spring,10626.0,5586.0,3624.0,2288.0,1676.0,1535.0,1604.0,1570.0,1984.0,2755.0,3632.0,1535.0,9091.0,0.86
2003/04,Summer,10566.0,7207.0,5718.0,4644.0,4102.0,4091.0,4391.0,4388.0,4734.0,5390.0,6356.0,4091.0,6475.0,0.61
2003/04,Fall,10396,4812,2880,1643,1153,1114,1262,1245,1620,2291,3162,1114,9282,0.89
2003/04,Winter,10391,4731,2936,1647,1027,932,1060,1093,1497,2201,3073,932,9459,0.91
2003/04,Spring,10363.0,4657.0,2873.0,1639.0,1122.0,1046.0,1135.0,1241.0,1635.0,2307.0,3147.0,1046.0,9317.0,0.9
2004/05,Summer,10363.0,7135.0,5601.0,4470.0,3952.0,3934.0,4122.0,4067.0,4462.0,5077.0,6042.0,3934.0,6429.0,0.62
2004/05,Fall,10307,4681,2877,1667,1062,1021,1141,1147,1603,2240,3052,1021,9286,0.9
2004/05,Winter,10301,4653,3007,1748,1234,1162,1223,1272,1705,2446,3318,1162,9139,0.89
2004/05,Spring,10206.0,4652.0,3137.0,1886.0,1320.0,1287.0,1321.0,1415.0,1790.0,2457.0,3310.0,1287.0,8919.0,0.87
2005/06,Summer,10240.0,6915.0,5649.0,4597.0,3972.0,3936.0,4002.0,4046.0,4470.0,5151.0,6138.0,3936.0,6304.0,0.62
2005/06,Fall,10053,4902,3320,2041,1488,1447,1443,1523,1881,2633,3535,1443,8610,0.86
2005/06,Winter,9966,4556,2857,1759,1256,1190,1177,1256,1713,2356,3110,1177,8789,0.88
2005/06,Spring,9950.0,4421.0,2635.0,1705.0,1309.0,1193.0,1240.0,1291.0,1626.0,2244.0,3050.0,1193.0,8757.0,0.88
2006/07,Summer,9962.0,6720.0,5235.0,4248.0,3736.0,3701.0,3798.0,3821.0,4173.0,4856.0,5767.0,3701.0,6261.0,0.63
2006/07,Fall,9987,4768,2944,1742,1253,1223,1275,1297,1655,2330,3250,1223,8764,0.88
2006/07,Winter,9876,4142,2464,1426,1026,995,1060,1121,1474,2229,3219,995,8881,0.9
2006/07,Spring,9867.0,4259.0,2823.0,1709.0,1189.0,1161.0,1218.0,1182.0,1485.0,2130.0,3033.0,1161.0,8706.0,0.88
2007/08,Summer,9891.0,6600.0,5264.0,4200.0,3627.0,3496.0,3624.0,3682.0,4105.0,4769.0,5809.0,3496.0,6395.0,0.65
2007/08,Fall,10560,5458,3290,1978,1489,1465,1624,1635,2093,2794,3666,1465,9095,0.86
2007/08,Winter,10401,5516,3321,1983,1339,1224,1303,1338,1681,2377,3206,1224,9177,0.88
2007/08,Spring,10423.0,5348.0,3473.0,2126.0,1453.0,1291.0,1332.0,1435.0,1708.0,2396.0,3370.0,1291.0,9132.0,0.88
2008/09,Summer,10237.0,7252.0,5709.0,4611.0,3882.0,3699.0,3771.0,3806.0,4085.0,4627.0,5708.0,3699.0,6538.0,0.64
2008/09,Fall,10234,5393,3623,2211,1431,1180,1233,1324,1594,2306,3282,1180,9054,0.88
2008/09,Winter,10195,5832,3810,2210,1385,1179,1224,1119,1388,2041,3178,1119,9076,0.89
2008/09,Spring,9301.0,4949.0,3036.0,1671.0,1020.0,920.0,967.0,964.0,1167.0,1785.0,2712.0,920.0,8381.0,0.9
2009/10,Summer,9295.0,6749.0,5124.0,3942.0,3179.0,2998.0,3037.0,3076.0,3375.0,4070.0,5313.0,2998.0,6297.0,0.68
