year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,595.0,483.0,430.0,367.0,347.0,359.0,356.0,367.0,377.0,386.0,398.0,347.0,248.0,0.42
2000/01,Fall,434,255,194,146,134,125,117,129,135,157,196,117,317,0.73
2000/01,Winter,414,276,214,171,156,144,138,140,153,164,198,138,276,0.67
2000/01,Spring,422.0,292.0,216.0,176.0,161.0,148.0,143.0,157.0,165.0,180.0,205.0,143.0,279.0,0.66
2001/02,Summer,439.0,310.0,252.0,228.0,221.0,224.0,212.0,231.0,242.0,261.0,280.0,212.0,227.0,0.52
2001/02,Fall,435,320,229,190,169,156,149,163,171,189,213,149,286,0.66
2001/02,Winter,435,292,213,183,170,157,145,155,178,199,221,145,290,0.67
2001/02,Spring,435.0,292.0,230.0,184.0,172.0,152.0,145.0,152.0,170.0,202.0,218.0,145.0,290.0,0.67
2002/03,Summer,443.0,317.0,259.0,238.0,222.0,213.0,212.0,219.0,226.0,241.0,279.0,212.0,231.0,0.52
2002/03,Fall,457,312,228,186,179,166,162,171,191,212,244,162,295,0.65
2002/03,Winter,440,305,231,167,152,141,127,145,163,188,211,127,313,0.71
2002/03,Spring,439.0,303.0,239.0,177.0,167.0,150.0,144.0,145.0,171.0,208.0,241.0,144.0,295.0,0.67
2003/04,Summer,447.0,310.0,256.0,218.0,217.0,213.0,211.0,228.0,239.0,256.0,288.0,211.0,236.0,0.53
2003/04,Fall,448,303,235,184,172,152,149,163,188,213,250,149,299,0.67
2003/04,Winter,448,301,223,191,161,145,135,158,170,188,230,135,313,0.7
2003/04,Spring,434.0,300.0,224.0,184.0,169.0,147.0,134.0,156.0,171.0,192.0,219.0,134.0,300.0,0.69
2004/05,Summer,440.0,310.0,262.0,231.0,225.0,216.0,213.0,213.0,227.0,241.0,267.0,213.0,227.0,0.52
2004/05,Fall,443,286,200,164,145,139,141,146,163,186,215,139,304,0.69
