year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,2886.0,1570.0,1041.0,740.0,579.0,637.0,675.0,675.0,753.0,993.0,1473.0,579.0,2307.0,0.8
2000/01,Fall,2918,1402,795,388,265,278,325,310,387,589,1094,265,2653,0.91
2000/01,Winter,3171,1595,906,517,371,389,406,390,476,735,1255,371,2800,0.88
2000/01,Spring,3170.0,1670.0,961.0,562.0,380.0,402.0,437.0,396.0,486.0,721.0,1153.0,380.0,2790.0,0.88
2001/02,Summer,3156.0,1916.0,1357.0,988.0,788.0,803.0,857.0,843.0,923.0,1152.0,1642.0,788.0,2368.0,0.75
2001/02,Fall,3172,1729,901,485,310,321,370,352,453,699,1139,310,2862,0.9
2001/02,Winter,3145,1607,813,411,242,271,306,287,385,653,1150,242,2903,0.92
2001/02,Spring,3137.0,1562.0,855.0,448.0,277.0,269.0,330.0,309.0,406.0,669.0,1135.0,269.0,2868.0,0.91
2002/03,Summer,3134.0,1896.0,1275.0,924.0,724.0,723.0,797.0,779.0,877.0,1153.0,1675.0,723.0,2411.0,0.77
2002/03,Fall,3130,1593,756,372,221,262,297,288,407,734,1224,221,2909,0.93
2002/03,Winter,3152,1639,807,342,221,242,286,276,397,690,1235,221,2931,0.93
2002/03,Spring,3155.0,1625.0,850.0,441.0,269.0,284.0,350.0,328.0,466.0,786.0,1257.0,269.0,2886.0,0.91
2003/04,Summer,3231.0,1986.0,1362.0,997.0,821.0,835.0,929.0,931.0,1026.0,1342.0,1887.0,821.0,2410.0,0.75
2003/04,Fall,3170,1553,694,291,172,200,258,232,379,682,1212,172,2998,0.95
2003/04,Winter,3162,1543,736,314,161,163,218,212,356,687,1182,161,3001,0.95
2003/04,Spring,3166.0,1502.0,732.0,314.0,185.0,207.0,260.0,270.0,409.0,755.0,1230.0,185.0,2981.0,0.94
