year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,94.0,61.0,50.0,42.0,40.0,38.0,36.0,38.0,38.0,51.0,51.0,36.0,58.0,0.62
2000/01,Fall,96,70,61,44,37,35,30,27,31,35,38,27,69,0.72
2000/01,Winter,102,73,52,42,33,38,33,34,34,38,37,33,69,0.68
2000/01,Spring,102.0,65.0,49.0,42.0,32.0,33.0,39.0,28.0,33.0,31.0,34.0,28.0,74.0,0.73
2001/02,Summer,100.0,64.0,52.0,43.0,43.0,45.0,46.0,43.0,49.0,51.0,55.0,43.0,57.0,0.57
2001/02,Fall,105,76,60,48,51,45,38,32,39,44,45,32,73,0.7
2001/02,Winter,107,76,59,50,43,37,34,37,38,40,50,34,73,0.68
2001/02,Spring,106.0,78.0,59.0,43.0,43.0,37.0,37.0,33.0,41.0,40.0,44.0,33.0,73.0,0.69
2002/03,Summer,101.0,72.0,60.0,48.0,47.0,50.0,45.0,38.0,46.0,49.0,50.0,38.0,63.0,0.62
2002/03,Fall,105,79,61,49,47,46,38,33,37,43,51,33,72,0.69
2002/03,Winter,107,78,60,44,35,34,34,32,34,39,45,32,75,0.7
2002/03,Spring,105.0,78.0,58.0,46.0,35.0,42.0,37.0,37.0,37.0,41.0,46.0,35.0,70.0,0.67
2003/04,Summer,110.0,73.0,68.0,58.0,52.0,50.0,47.0,50.0,48.0,58.0,61.0,47.0,63.0,0.57
2003/04,Fall,112,80,63,49,44,49,46,40,52,48,49,40,72,0.64
2003/04,Winter,117,84,63,48,44,45,42,34,40,45,54,34,83,0.71
2003/04,Spring,117.0,83.0,58.0,47.0,38.0,40.0,42.0,45.0,43.0,41.0,53.0,38.0,79.0,0.68
2004/05,Summer,119.0,87.0,69.0,62.0,57.0,58.0,58.0,47.0,61.0,63.0,67.0,47.0,72.0,0.61
2004/05,Fall,113,79,61,52,36,41,44,40,48,52,54,36,77,0.68
