year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,148.0,96.0,81.0,71.0,63.0,65.0,68.0,71.0,67.0,73.0,90.0,63.0,85.0,0.57
2000/01,Fall,151,101,73,61,58,58,61,58,54,63,81,54,97,0.64
2000/01,Winter,149,100,79,61,56,58,54,51,52,61,76,51,98,0.66
2000/01,Spring,151.0,100.0,83.0,67.0,58.0,59.0,56.0,56.0,58.0,63.0,73.0,56.0,95.0,0.63
2001/02,Summer,152.0,104.0,93.0,80.0,72.0,77.0,79.0,71.0,71.0,79.0,89.0,71.0,81.0,0.53
2001/02,Fall,169,115,98,79,69,70,68,64,68,75,90,64,105,0.62
2001/02,Winter,160,110,84,72,62,60,66,64,61,66,82,60,100,0.63
2001/02,Spring,162.0,115.0,92.0,81.0,67.0,67.0,73.0,66.0,70.0,76.0,87.0,66.0,96.0,0.59
2002/03,Summer,163.0,112.0,92.0,76.0,68.0,76.0,82.0,77.0,72.0,78.0,93.0,68.0,95.0,0.58
2002/03,Fall,157,105,88,66,58,66,67,57,61,65,82,57,100,0.64
2002/03,Winter,159,105,78,67,62,62,60,54,56,65,82,54,105,0.66
2002/03,Spring,162.0,110.0,82.0,66.0,62.0,63.0,62.0,59.0,58.0,71.0,88.0,58.0,104.0,0.64
2003/04,Summer,161.0,111.0,95.0,80.0,75.0,86.0,79.0,76.0,81.0,87.0,102.0,75.0,86.0,0.53
2003/04,Fall,169,123,101,86,71,71,67,57,60,78,92,57,112,0.66
2003/04,Winter,170,116,91,75,65,68,69,63,69,77,89,63,107,0.63
2003/04,Spring,173.0,123.0,96.0,77.0,71.0,78.0,76.0,69.0,66.0,73.0,90.0,66.0,107.0,0.62
2004/05,Summer,177.0,126.0,103.0,87.0,85.0,83.0,87.0,80.0,83.0,87.0,113.0,80.0,97.0,0.55
2004/05,Fall,178,127,108,89,81,80,85,73,77,89,109,73,105,0.59
2004/05,Winter,177,134,115,90,74,73,69,72,73,79,96,69,108,0.61
2004/05,Spring,173.0,119.0,104.0,84.0,74.0,72.0,71.0,70.0,73.0,82.0,99.0,70.0,103.0,0.6
2005/06,Summer,185.0,133.0,111.0,92.0,78.0,87.0,88.0,86.0,87.0,96.0,111.0,78.0,107.0,0.58
2005/06,Fall,175,129,108,87,77,81,73,72,73,79,90,72,103,0.59
2005/06,Winter,179,129,103,85,69,78,78,69,71,81,93,69,110,0.61
