year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,3853.0,2968.0,2636.0,2322.0,2122.0,2228.0,2289.0,2348.0,2441.0,2584.0,2800.0,2122.0,1731.0,0.45
2000/01,Fall,3678,1259,839,428,238,187,198,237,378,516,866,187,3491,0.95
2000/01,Winter,4338,1779,1349,912,661,575,589,621,785,1010,1341,575,3763,0.87
2000/01,Spring,4335.0,1818.0,1394.0,1050.0,784.0,673.0,654.0,716.0,886.0,1054.0,1349.0,654.0,3681.0,0.85
2001/02,Summer,4372.0,3475.0,3114.0,2717.0,2483.0,2552.0,2630.0,2641.0,2700.0,2767.0,2944.0,2483.0,1889.0,0.43
2001/02,Fall,4267,1882,1403,916,635,554,549,572,770,946,1216,549,3718,0.87
2001/02,Winter,4267,1765,1252,793,513,429,422,432,566,791,1148,422,3845,0.9
2001/02,Spring,4266.0,1713.0,1252.0,889.0,617.0,525.0,497.0,516.0,642.0,821.0,1143.0,497.0,3769.0,0.88
2002/03,Summer,4155.0,3225.0,2851.0,2578.0,2244.0,2188.0,2305.0,2362.0,2513.0,2656.0,2878.0,2188.0,1967.0,0.47
2002/03,Fall,4143,1717,1082,625,397,333,373,407,581,879,1148,333,3810,0.92
2002/03,Winter,3963,1607,1131,648,406,307,306,318,468,734,1023,306,3657,0.92
2002/03,Spring,3963.0,1666.0,1150.0,755.0,530.0,429.0,425.0,423.0,575.0,822.0,1091.0,423.0,3540.0,0.89
2003/04,Summer,3789.0,2799.0,2408.0,2125.0,1925.0,1904.0,2023.0,2021.0,2197.0,2370.0,2600.0,1904.0,1885.0,0.5
2003/04,Fall,3691,1031,608,281,137,103,154,181,283,492,690,103,3588,0.97
2003/04,Winter,3694,980,648,301,108,51,101,142,273,486,718,51,3643,0.99
2003/04,Spring,3714.0,934.0,563.0,257.0,89.0,55.0,92.0,140.0,292.0,454.0,682.0,55.0,3659.0,0.99
2004/05,Summer,3705.0,2755.0,2405.0,2083.0,1900.0,1909.0,1953.0,1954.0,2101.0,2259.0,2538.0,1900.0,1805.0,0.49
2004/05,Fall,3705,1077,678,379,138,111,127,161,328,473,681,111,3594,0.97
2004/05,Winter,3094,708,399,148,29,11,20,31,120,249,432,11,3083,1.0
2004/05,Spring,3192.0,735.0,482.0,229.0,112.0,77.0,105.0,128.0,226.0,352.0,524.0,77.0,3115.0,0.98
2005/06,Summer,3088.0,2255.0,1981.0,1729.0,1564.0,1522.0,1526.0,1551.0,1682.0,1860.0,2074.0,1522.0,1566.0,0.51
2005/06,Fall,2988,763,488,246,88,65,68,83,168,327,491,65,2923,0.98
2005/06,Winter,2988,635,411,159,58,26,33,50,140,241,386,26,2962,0.99
2005/06,Spring,2985.0,528.0,202.0,65.0,31.0,17.0,38.0,44.0,100.0,204.0,370.0,17.0,2968.0,0.99
2006/07,Summer,2997.0,2189.0,1864.0,1645.0,1536.0,1505.0,1505.0,1511.0,1610.0,1759.0,1952.0,1505.0,1492.0,0.5
2006/07,Fall,2944,694,417,178,61,32,42,60,135,254,425,32,2912,0.99
2006/07,Winter,2931,538,256,72,26,19,47,57,124,242,389,19,2912,0.99
2006/07,Spring,2931.0,534.0,289.0,116.0,43.0,31.0,45.0,42.0,100.0,243.0,394.0,31.0,2900.0,0.99
2007/08,Summer,2737.0,1918.0,1734.0,1544.0,1419.0,1351.0,1382.0,1398.0,1526.0,1666.0,1841.0,1351.0,1386.0,0.51
2007/08,Fall,2808,488,121,14,1,7,30,34,118,207,353,1,2807,1.0
2007/08,Winter,2813,476,173,39,8,8,20,21,80,145,283,8,2805,1.0
2007/08,Spring,2811.0,383.0,209.0,68.0,24.0,14.0,12.0,28.0,56.0,159.0,286.0,12.0,2799.0,1.0
2008/09,Summer,2811.0,1904.0,1706.0,1476.0,1315.0,1252.0,1230.0,1225.0,1309.0,1428.0,1636.0,1225.0,1586.0,0.56
2008/09,Fall,2806,722,401,171,69,50,67,86,151,289,465,50,2756,0.98
2008/09,Winter,2805,870,536,210,47,25,25,21,74,176,344,21,2784,0.99
2008/09,Spring,2474.0,464.0,197.0,54.0,20.0,14.0,19.0,25.0,47.0,99.0,233.0,14.0,2460.0,0.99
2009/10,Summer,2374.0,1711.0,1451.0,1157.0,972.0,897.0,867.0,856.0,964.0,1137.0,1381.0,856.0,1518.0,0.64
2009/10,Fall,2115,149,16,7,6,6,7,10,13,55,157,6,2109,1.0
2009/10,Winter,2115,68,9,7,7,6,10,6,12,59,147,6,2109,1.0
2009/10,Spring,2103.0,35.0,13.0,8.0,6.0,6.0,10.0,12.0,24.0,91.0,196.0,6.0,2097.0,1.0
