year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,127.0,60.0,54.0,49.0,48.0,42.0,45.0,42.0,47.0,53.0,60.0,42.0,85.0,0.67
2000/01,Fall,117,63,55,46,41,37,43,41,45,57,64,37,80,0.68
2000/01,Winter,116,62,45,45,37,34,33,37,43,52,66,33,83,0.72
2000/01,Spring,121.0,59.0,43.0,41.0,34.0,37.0,35.0,37.0,40.0,50.0,58.0,34.0,87.0,0.72
2001/02,Summer,123.0,62.0,52.0,47.0,48.0,45.0,46.0,43.0,49.0,52.0,58.0,43.0,80.0,0.65
2001/02,Fall,125,59,48,38,39,45,41,37,46,53,61,37,88,0.7
2001/02,Winter,115,63,54,43,42,44,40,41,45,51,58,40,75,0.65
2001/02,Spring,111.0,60.0,53.0,42.0,44.0,47.0,42.0,41.0,47.0,53.0,54.0,41.0,70.0,0.63
2002/03,Summer,114.0,65.0,56.0,43.0,46.0,42.0,49.0,45.0,52.0,61.0,66.0,42.0,72.0,0.63
2002/03,Fall,113,65,54,42,40,46,42,35,45,51,59,35,78,0.69
2002/03,Winter,120,67,54,45,34,38,41,38,44,51,61,34,86,0.72
2002/03,Spring,126.0,67.0,55.0,45.0,37.0,40.0,50.0,42.0,50.0,57.0,66.0,37.0,89.0,0.71
2003/04,Summer,123.0,64.0,55.0,45.0,49.0,56.0,61.0,52.0,57.0,64.0,68.0,45.0,78.0,0.63
2003/04,Fall,125,61,54,41,39,41,43,38,50,58,66,38,87,0.7
2003/04,Winter,127,63,52,43,37,41,43,41,47,55,66,37,90,0.71
2003/04,Spring,126.0,68.0,58.0,41.0,43.0,40.0,45.0,43.0,48.0,50.0,55.0,40.0,86.0,0.68
2004/05,Summer,127.0,71.0,56.0,50.0,50.0,56.0,59.0,51.0,57.0,63.0,70.0,50.0,77.0,0.61
2004/05,Fall,135,69,57,43,45,44,47,45,49,56,57,43,92,0.68
2004/05,Winter,133,57,47,40,37,36,40,37,41,53,59,36,97,0.73
2004/05,Spring,124.0,61.0,52.0,44.0,41.0,46.0,47.0,43.0,40.0,50.0,59.0,40.0,84.0,0.68
2005/06,Summer,129.0,71.0,58.0,49.0,46.0,46.0,51.0,49.0,55.0,62.0,69.0,46.0,83.0,0.64
2005/06,Fall,129,72,65,50,48,52,49,49,54,61,71,48,81,0.63
2005/06,Winter,125,66,56,46,45,48,45,39,48,53,60,39,86,0.69
2005/06,Spring,125.0,68.0,55.0,50.0,49.0,48.0,45.0,43.0,51.0,54.0,57.0,43.0,82.0,0.66
2006/07,Summer,123.0,66.0,63.0,56.0,51.0,54.0,58.0,59.0,55.0,59.0,70.0,51.0,72.0,0.59
2006/07,Fall,123,63,57,43,39,43,45,40,48,50,55,39,84,0.68
2006/07,Winter,118,59,50,39,36,41,44,38,43,54,54,36,82,0.69
2006/07,Spring,117.0,52.0,49.0,41.0,38.0,44.0,43.0,40.0,47.0,48.0,54.0,38.0,79.0,0.68
2007/08,Summer,117.0,62.0,52.0,50.0,47.0,49.0,52.0,52.0,57.0,61.0,64.0,47.0,70.0,0.6
2007/08,Fall,121,67,52,50,51,51,59,49,55,59,58,49,72,0.6
2007/08,Winter,105,56,46,36,35,32,33,35,41,47,52,32,73,0.7
2007/08,Spring,110.0,60.0,52.0,40.0,35.0,35.0,36.0,42.0,46.0,51.0,57.0,35.0,75.0,0.68
2008/09,Summer,101.0,53.0,45.0,41.0,41.0,41.0,47.0,45.0,43.0,46.0,46.0,41.0,60.0,0.59
2008/09,Fall,105,59,51,49,47,36,41,42,45,45,46,36,69,0.66
2008/09,Winter,109,60,50,42,41,44,47,42,41,47,51,41,68,0.62
2008/09,Spring,107.0,59.0,52.0,45.0,34.0,41.0,41.0,39.0,39.0,44.0,50.0,34.0,73.0,0.68
2009/10,Summer,107.0,52.0,50.0,45.0,42.0,44.0,42.0,49.0,47.0,53.0,57.0,42.0,65.0,0.61
2009/10,Fall,110,59,46,42,36,44,43,41,41,48,51,36,74,0.67
2009/10,Winter,108,58,55,39,39,40,38,34,37,43,49,34,74,0.69
