year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,172.0,51.0,55.0,50.0,39.0,41.0,52.0,57.0,39.0,41.0,48.0,39.0,133.0,0.77
2000/01,Fall,328,103,128,127,130,116,126,131,117,110,97,97,231,0.7
2000/01,Winter,336,120,142,133,136,139,135,150,132,118,110,110,226,0.67
2000/01,Spring,341.0,130.0,154.0,147.0,139.0,139.0,143.0,145.0,137.0,128.0,123.0,123.0,218.0,0.64
2001/02,Summer,336.0,146.0,165.0,160.0,150.0,150.0,147.0,156.0,146.0,137.0,133.0,133.0,203.0,0.6
2001/02,Fall,334,114,138,129,130,115,124,136,121,113,98,98,236,0.71
2001/02,Winter,327,116,140,135,141,132,139,133,114,104,110,104,223,0.68
2001/02,Spring,329.0,125.0,140.0,137.0,136.0,128.0,134.0,131.0,125.0,109.0,113.0,109.0,220.0,0.67
2002/03,Summer,334.0,142.0,157.0,151.0,149.0,137.0,146.0,142.0,126.0,120.0,123.0,120.0,214.0,0.64
2002/03,Fall,318,107,122,111,107,102,107,108,94,83,85,83,235,0.74
2002/03,Winter,317,100,110,98,101,101,100,98,91,84,89,84,233,0.74
2002/03,Spring,324.0,117.0,119.0,110.0,112.0,113.0,116.0,111.0,107.0,93.0,95.0,93.0,231.0,0.71
2003/04,Summer,328.0,108.0,122.0,116.0,122.0,115.0,119.0,116.0,105.0,100.0,104.0,100.0,228.0,0.7
2003/04,Fall,328,102,121,115,117,108,108,105,95,82,96,82,246,0.75
2003/04,Winter,339,109,119,118,110,113,113,103,91,82,93,82,257,0.76
2003/04,Spring,307.0,94.0,102.0,97.0,98.0,94.0,78.0,94.0,91.0,80.0,85.0,78.0,229.0,0.75
2004/05,Summer,293.0,97.0,102.0,96.0,99.0,95.0,101.0,98.0,91.0,82.0,86.0,82.0,211.0,0.72
2004/05,Fall,287,96,92,93,95,89,93,94,90,89,86,86,201,0.7
2004/05,Winter,289,88,98,95,87,89,85,94,84,82,81,81,208,0.72
2004/05,Spring,165.0,78.0,78.0,72.0,70.0,70.0,64.0,74.0,62.0,58.0,59.0,58.0,107.0,0.65
2005/06,Summer,181.0,75.0,80.0,81.0,80.0,81.0,81.0,81.0,71.0,67.0,67.0,67.0,114.0,0.63
2005/06,Fall,205,106,110,101,97,96,79,95,90,85,83,79,126,0.61
2005/06,Winter,183,81,84,79,76,76,64,74,65,62,53,53,130,0.71
2005/06,Spring,189.0,81.0,89.0,81.0,83.0,75.0,71.0,82.0,67.0,60.0,60.0,60.0,129.0,0.68
2006/07,Summer,187.0,75.0,89.0,91.0,90.0,86.0,75.0,92.0,78.0,68.0,66.0,66.0,121.0,0.65
