year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,567.0,365.0,270.0,190.0,158.0,154.0,173.0,198.0,203.0,230.0,238.0,154.0,413.0,0.73
2000/01,Fall,708,473,371,265,222,190,190,185,208,206,199,185,523,0.74
2000/01,Winter,712,458,330,232,182,181,195,197,198,231,212,181,531,0.75
2000/01,Spring,697.0,426.0,288.0,195.0,163.0,145.0,142.0,141.0,169.0,192.0,181.0,141.0,556.0,0.8
2001/02,Summer,692.0,507.0,418.0,325.0,269.0,273.0,282.0,285.0,311.0,346.0,343.0,269.0,423.0,0.61
2001/02,Fall,689,447,305,194,157,149,154,161,183,190,178,149,540,0.78
2001/02,Winter,658,381,256,176,143,116,128,119,155,147,137,116,542,0.82
2001/02,Spring,658.0,378.0,285.0,178.0,136.0,122.0,138.0,129.0,159.0,168.0,133.0,122.0,536.0,0.81
2002/03,Summer,660.0,480.0,382.0,273.0,209.0,185.0,226.0,227.0,263.0,290.0,284.0,185.0,475.0,0.72
2002/03,Fall,651,395,235,153,135,147,152,158,190,176,165,135,516,0.79
2002/03,Winter,652,348,229,155,109,105,100,116,148,139,127,100,552,0.85
2002/03,Spring,652.0,429.0,270.0,164.0,138.0,134.0,138.0,136.0,162.0,171.0,160.0,134.0,518.0,0.79
2003/04,Summer,652.0,470.0,351.0,237.0,193.0,195.0,237.0,251.0,275.0,303.0,304.0,193.0,459.0,0.7
2003/04,Fall,653,389,246,160,127,137,157,155,174,176,160,127,526,0.81
2003/04,Winter,653,365,238,150,101,97,111,120,155,152,128,97,556,0.85
2003/04,Spring,653.0,377.0,235.0,149.0,118.0,112.0,126.0,137.0,166.0,175.0,159.0,112.0,541.0,0.83
2004/05,Summer,659.0,484.0,390.0,259.0,209.0,211.0,246.0,236.0,275.0,300.0,309.0,209.0,450.0,0.68
2004/05,Fall,650,366,217,137,86,90,112,113,148,144,129,86,564,0.87
2004/05,Winter,687,351,216,124,97,83,88,103,139,147,135,83,604,0.88
2004/05,Spring,667.0,338.0,227.0,122.0,93.0,104.0,105.0,116.0,140.0,133.0,125.0,93.0,574.0,0.86
2005/06,Summer,645.0,460.0,372.0,261.0,186.0,186.0,195.0,215.0,259.0,286.0,289.0,186.0,459.0,0.71
2005/06,Fall,638,352,235,132,101,92,104,119,141,154,149,92,546,0.86
2005/06,Winter,642,324,216,156,113,105,105,106,141,130,110,105,537,0.84
2005/06,Spring,631.0,320.0,196.0,141.0,97.0,83.0,89.0,99.0,122.0,127.0,121.0,83.0,548.0,0.87
2006/07,Summer,642.0,420.0,318.0,214.0,187.0,186.0,194.0,200.0,249.0,268.0,263.0,186.0,456.0,0.71
2006/07,Fall,711,393,255,184,161,152,159,164,190,202,196,152,559,0.79
2006/07,Winter,629,320,218,161,119,113,135,150,157,156,169,113,516,0.82
2006/07,Spring,487.0,237.0,136.0,94.0,72.0,91.0,94.0,90.0,91.0,80.0,74.0,72.0,415.0,0.85
2007/08,Summer,491.0,343.0,257.0,189.0,152.0,160.0,174.0,176.0,199.0,226.0,236.0,152.0,339.0,0.69
2007/08,Fall,488,293,180,91,70,70,95,101,133,137,109,70,418,0.86
2007/08,Winter,486,308,183,119,69,59,78,83,98,109,91,59,427,0.88
2007/08,Spring,473.0,281.0,172.0,96.0,69.0,74.0,75.0,85.0,90.0,88.0,86.0,69.0,404.0,0.85
2008/09,Summer,808.0,553.0,409.0,311.0,241.0,233.0,265.0,278.0,305.0,352.0,378.0,233.0,575.0,0.71
2008/09,Fall,805,434,286,188,116,89,93,101,114,177,195,89,716,0.89
2008/09,Winter,803,556,382,257,147,126,129,112,157,182,208,112,691,0.86
2008/09,Spring,792.0,552.0,367.0,200.0,94.0,85.0,105.0,111.0,143.0,178.0,198.0,85.0,707.0,0.89
2009/10,Summer,831.0,666.0,515.0,404.0,295.0,276.0,290.0,306.0,333.0,400.0,461.0,276.0,555.0,0.67
2009/10,Fall,788,601,458,298,217,204,232,238,278,313,338,204,584,0.74
2009/10,Winter,728,498,346,204,109,99,104,111,160,207,264,99,629,0.86
2009/10,Spring,714.0,522.0,377.0,196.0,103.0,71.0,86.0,95.0,131.0,158.0,212.0,71.0,643.0,0.9
2010/11,Summer,699.0,580.0,497.0,390.0,302.0,278.0,290.0,291.0,327.0,392.0,447.0,278.0,421.0,0.6
2010/11,Fall,706,495,344,181,97,92,114,132,166,208,265,92,614,0.87
2010/11,Winter,709,490,352,216,121,103,90,93,133,201,252,90,619,0.87
2010/11,Spring,699.0,454.0,350.0,216.0,104.0,89.0,111.0,104.0,131.0,162.0,227.0,89.0,610.0,0.87
2011/12,Summer,698.0,537.0,443.0,334.0,241.0,230.0,246.0,254.0,286.0,342.0,407.0,230.0,468.0,0.67
2011/12,Fall,711,497,377,205,106,104,129,135,174,212,255,104,607,0.85
2011/12,Winter,721,463,363,177,81,51,58,73,125,201,235,51,670,0.93
2011/12,Spring,736.0,543.0,387.0,224.0,130.0,117.0,130.0,104.0,138.0,201.0,249.0,104.0,632.0,0.86
2012/13,Summer,728.0,552.0,447.0,315.0,223.0,176.0,199.0,202.0,279.0,333.0,387.0,176.0,552.0,0.76
2012/13,Fall,735,464,313,133,76,80,78,85,108,164,205,76,659,0.9
2012/13,Winter,725,426,279,79,31,29,47,41,81,147,206,29,696,0.96
