year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1616.0,1207.0,950.0,675.0,526.0,505.0,534.0,545.0,564.0,643.0,794.0,505.0,1111.0,0.69
2000/01,Fall,1691,1198,850,512,330,281,296,282,328,435,540,281,1410,0.83
2000/01,Winter,1735,1236,880,571,390,351,336,332,361,464,559,332,1403,0.81
2000/01,Spring,1731.0,1243.0,887.0,586.0,435.0,367.0,357.0,356.0,398.0,485.0,589.0,356.0,1375.0,0.79
2001/02,Summer,1677.0,1281.0,993.0,760.0,599.0,583.0,610.0,611.0,645.0,709.0,828.0,583.0,1094.0,0.65
2001/02,Fall,1729,1242,850,540,365,330,326,325,368,502,581,325,1404,0.81
2001/02,Winter,1621,1123,730,407,248,203,211,209,258,351,435,203,1418,0.87
2001/02,Spring,1614.0,1124.0,778.0,475.0,301.0,259.0,249.0,251.0,314.0,409.0,468.0,249.0,1365.0,0.85
2002/03,Summer,1605.0,1187.0,933.0,721.0,588.0,569.0,584.0,582.0,616.0,690.0,813.0,569.0,1036.0,0.65
2002/03,Fall,1576,1109,693,398,255,239,221,225,291,393,500,221,1355,0.86
2002/03,Winter,1570,1087,678,349,178,150,153,159,228,349,436,150,1420,0.9
2002/03,Spring,1597.0,1112.0,727.0,425.0,269.0,227.0,225.0,231.0,289.0,420.0,489.0,225.0,1372.0,0.86
2003/04,Summer,1616.0,1187.0,909.0,679.0,559.0,552.0,594.0,565.0,605.0,692.0,812.0,552.0,1064.0,0.66
2003/04,Fall,1585,1083,667,351,207,187,213,200,265,366,439,187,1398,0.88
2003/04,Winter,1567,1087,677,343,182,159,172,163,228,343,404,159,1408,0.9
2003/04,Spring,1559.0,1087.0,718.0,408.0,253.0,218.0,220.0,217.0,278.0,403.0,483.0,217.0,1342.0,0.86
2004/05,Summer,1571.0,1223.0,923.0,670.0,550.0,535.0,565.0,546.0,586.0,698.0,797.0,535.0,1036.0,0.66
2004/05,Fall,1525,1061,696,373,223,200,199,187,256,354,431,187,1338,0.88
2004/05,Winter,1837,1289,931,556,384,359,355,343,414,554,636,343,1494,0.81
2004/05,Spring,1753.0,1219.0,827.0,492.0,330.0,308.0,295.0,278.0,336.0,460.0,549.0,278.0,1475.0,0.84
2005/06,Summer,1821.0,1405.0,1102.0,845.0,697.0,700.0,708.0,711.0,763.0,866.0,1001.0,697.0,1124.0,0.62
2005/06,Fall,1815,1287,943,590,441,414,402,420,479,612,721,402,1413,0.78
2005/06,Winter,1798,1248,830,528,340,306,318,317,407,524,590,306,1492,0.83
2005/06,Spring,1801.0,1252.0,850.0,562.0,419.0,389.0,390.0,375.0,451.0,567.0,637.0,375.0,1426.0,0.79
2006/07,Summer,1747.0,1344.0,1018.0,785.0,631.0,618.0,635.0,614.0,660.0,783.0,913.0,614.0,1133.0,0.65
2006/07,Fall,1713,1223,784,438,294,295,282,270,358,478,570,270,1443,0.84
2006/07,Winter,1725,1087,719,356,235,219,230,255,313,422,567,219,1506,0.87
2006/07,Spring,1711.0,1156.0,815.0,480.0,292.0,289.0,270.0,256.0,336.0,455.0,563.0,256.0,1455.0,0.85
2007/08,Summer,1719.0,1276.0,1002.0,717.0,582.0,556.0,570.0,572.0,624.0,736.0,877.0,556.0,1163.0,0.68
2007/08,Fall,1826,1304,876,519,345,316,354,345,420,559,639,316,1510,0.83
2007/08,Winter,1889,1450,964,609,403,351,333,349,407,557,616,333,1556,0.82
2007/08,Spring,1820.0,1344.0,975.0,612.0,397.0,355.0,366.0,389.0,443.0,542.0,646.0,355.0,1465.0,0.8
2008/09,Summer,1796.0,1411.0,1107.0,842.0,664.0,627.0,634.0,631.0,679.0,769.0,957.0,627.0,1169.0,0.65
2008/09,Fall,1750,1247,907,525,325,241,248,262,311,436,547,241,1509,0.86
2008/09,Winter,1698,1283,876,465,255,191,197,174,203,318,466,174,1524,0.9
2008/09,Spring,1697.0,1247.0,822.0,417.0,201.0,163.0,155.0,154.0,212.0,355.0,427.0,154.0,1543.0,0.91
2009/10,Summer,1624.0,1288.0,950.0,669.0,477.0,444.0,467.0,485.0,503.0,633.0,838.0,444.0,1180.0,0.73
2009/10,Fall,1697,1251,836,420,224,176,173,181,239,368,485,173,1524,0.9
2009/10,Winter,1774,1330,841,410,181,141,146,148,193,338,468,141,1633,0.92
2009/10,Spring,1806.0,1301.0,903.0,485.0,263.0,191.0,206.0,209.0,264.0,394.0,478.0,191.0,1615.0,0.89
2010/11,Summer,1804.0,1420.0,1043.0,725.0,562.0,522.0,523.0,536.0,592.0,702.0,901.0,522.0,1282.0,0.71
2010/11,Fall,1863,1372,885,464,254,181,195,193,242,396,534,181,1682,0.9
2010/11,Winter,2079,1531,1034,615,406,343,327,342,394,527,592,327,1752,0.84
2010/11,Spring,2067.0,1523.0,1125.0,682.0,432.0,349.0,352.0,357.0,390.0,532.0,654.0,349.0,1718.0,0.83
2011/12,Summer,2026.0,1567.0,1257.0,879.0,652.0,599.0,619.0,602.0,641.0,784.0,960.0,599.0,1427.0,0.7
2011/12,Fall,2067,1490,1081,609,411,347,336,340,378,544,705,336,1731,0.84
2011/12,Winter,1820,1377,957,499,239,175,175,166,200,361,468,166,1654,0.91
2011/12,Spring,1850.0,1412.0,1029.0,578.0,354.0,298.0,263.0,267.0,329.0,438.0,555.0,263.0,1587.0,0.86
2012/13,Summer,1902.0,1491.0,1149.0,769.0,599.0,546.0,576.0,572.0,620.0,724.0,911.0,546.0,1356.0,0.71
2012/13,Fall,1894,1415,990,554,308,240,260,261,327,482,609,240,1654,0.87
2012/13,Winter,1922,1430,982,483,228,157,129,154,225,417,600,129,1793,0.93
2012/13,Spring,1920.0,1369.0,1019.0,569.0,322.0,260.0,269.0,261.0,329.0,473.0,641.0,260.0,1660.0,0.86
2013/14,Summer,1971.0,1560.0,1196.0,791.0,583.0,519.0,539.0,522.0,570.0,720.0,933.0,519.0,1452.0,0.74
2013/14,Fall,1960,1415,1001,517,258,199,190,196,266,445,579,190,1770,0.9
2013/14,Winter,1952,1357,897,449,221,129,133,144,228,394,520,129,1823,0.93
2013/14,Spring,1950.0,1386.0,960.0,539.0,294.0,217.0,215.0,203.0,253.0,423.0,571.0,203.0,1747.0,0.9
2014/15,Summer,1901,1443,1016,624,414,357,414,434,469,620,837,357,1544,0.81
2014/15,Fall,1935,1363,874,421,186,135,155,170,216,378,540,135,1800,0.93
2014/15,Winter,1947,1297,807,359,132,97,115,111,188,377,578,97,1850,0.95
2014/15,Spring,1981,1518,993,509,251,172,165,177,248,387,553,165,1816,0.92
