year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,233.0,185.0,156.0,133.0,125.0,129.0,128.0,128.0,131.0,150.0,172.0,125.0,108.0,0.46
2000/01,Fall,247,183,150,124,112,113,120,112,119,131,163,112,135,0.55
2000/01,Winter,278,214,187,152,139,140,139,138,143,163,193,138,140,0.5
2000/01,Spring,281.0,216.0,184.0,153.0,135.0,137.0,137.0,139.0,150.0,173.0,190.0,135.0,146.0,0.52
2001/02,Summer,282.0,230.0,203.0,176.0,161.0,158.0,156.0,160.0,170.0,186.0,213.0,156.0,126.0,0.45
2001/02,Fall,290,218,177,141,132,134,134,138,157,182,201,132,158,0.54
2001/02,Winter,301,228,193,160,148,147,152,144,157,183,212,144,157,0.52
2001/02,Spring,299.0,224.0,188.0,162.0,147.0,146.0,146.0,142.0,159.0,177.0,211.0,142.0,157.0,0.53
2002/03,Summer,302.0,238.0,205.0,180.0,164.0,161.0,170.0,166.0,176.0,199.0,231.0,161.0,141.0,0.47
2002/03,Fall,313,237,192,148,138,140,143,142,162,183,214,138,175,0.56
2002/03,Winter,313,233,190,153,138,134,144,141,150,181,218,134,179,0.57
2002/03,Spring,313.0,225.0,182.0,139.0,126.0,131.0,123.0,127.0,150.0,187.0,226.0,123.0,190.0,0.61
2003/04,Summer,319.0,239.0,196.0,171.0,158.0,156.0,163.0,161.0,174.0,211.0,247.0,156.0,163.0,0.51
2003/04,Fall,325,215,173,138,125,133,131,134,150,182,223,125,200,0.62
2003/04,Winter,324,212,173,126,112,114,119,111,135,170,215,111,213,0.66
2003/04,Spring,324.0,220.0,174.0,128.0,119.0,124.0,128.0,131.0,147.0,177.0,205.0,119.0,205.0,0.63
2004/05,Summer,324.0,242.0,193.0,166.0,153.0,157.0,167.0,161.0,179.0,210.0,237.0,153.0,171.0,0.53
2004/05,Fall,328,221,169,138,121,116,124,125,149,190,225,116,212,0.65
2004/05,Winter,333,233,176,142,119,126,127,129,148,180,219,119,214,0.64
2004/05,Spring,329.0,220.0,173.0,133.0,117.0,114.0,113.0,115.0,127.0,171.0,207.0,113.0,216.0,0.66
2005/06,Summer,345.0,245.0,201.0,167.0,156.0,161.0,166.0,171.0,185.0,217.0,255.0,156.0,189.0,0.55
2005/06,Fall,343,228,175,128,117,117,121,119,145,181,223,117,226,0.66
2005/06,Winter,350,240,169,134,109,117,118,118,146,186,222,109,241,0.69
2005/06,Spring,341.0,222.0,158.0,119.0,113.0,110.0,107.0,113.0,139.0,170.0,202.0,107.0,234.0,0.69
2006/07,Summer,339.0,232.0,180.0,148.0,139.0,148.0,154.0,152.0,168.0,206.0,232.0,139.0,200.0,0.59
2006/07,Fall,339,211,152,111,99,99,107,97,129,170,221,97,242,0.71
2006/07,Winter,338,207,146,104,89,91,88,94,111,153,201,88,250,0.74
2006/07,Spring,354.0,210.0,152.0,107.0,94.0,98.0,106.0,104.0,122.0,157.0,204.0,94.0,260.0,0.73
2007/08,Summer,355.0,228.0,183.0,150.0,133.0,134.0,144.0,142.0,165.0,201.0,244.0,133.0,222.0,0.63
2007/08,Fall,380,247,186,141,120,137,140,140,164,198,240,120,260,0.68
2007/08,Winter,380,263,194,146,127,129,128,130,144,195,232,127,253,0.67
2007/08,Spring,377.0,252.0,195.0,143.0,125.0,128.0,128.0,129.0,152.0,184.0,234.0,125.0,252.0,0.67
2008/09,Summer,371.0,260.0,215.0,170.0,148.0,160.0,159.0,169.0,181.0,204.0,243.0,148.0,223.0,0.6
2008/09,Fall,377,248,194,150,127,124,119,133,146,177,221,119,258,0.68
2008/09,Winter,383,258,196,146,124,122,124,119,142,177,225,119,264,0.69
2008/09,Spring,381.0,250.0,189.0,143.0,110.0,114.0,115.0,119.0,132.0,176.0,225.0,110.0,271.0,0.71
2009/10,Summer,394.0,294.0,225.0,195.0,170.0,176.0,171.0,179.0,194.0,237.0,273.0,170.0,224.0,0.57
2009/10,Fall,423,290,215,161,126,130,137,139,162,202,267,126,297,0.7
2009/10,Winter,430,305,213,153,123,127,124,124,139,185,260,123,307,0.71
2009/10,Spring,430.0,289.0,211.0,148.0,119.0,128.0,139.0,138.0,153.0,197.0,266.0,119.0,311.0,0.72
2010/11,Summer,430.0,301.0,229.0,184.0,155.0,149.0,154.0,152.0,173.0,229.0,298.0,149.0,281.0,0.65
2010/11,Fall,432,282,200,137,115,115,124,127,144,199,256,115,317,0.73
2010/11,Winter,428,265,181,121,92,106,103,99,123,175,247,92,336,0.79
2010/11,Spring,429.0,251.0,183.0,120.0,93.0,86.0,101.0,112.0,133.0,162.0,239.0,86.0,343.0,0.8
2011/12,Summer,433.0,264.0,211.0,158.0,134.0,138.0,153.0,149.0,176.0,219.0,290.0,134.0,299.0,0.69
2011/12,Fall,458,276,205,118,109,118,120,118,138,194,274,109,349,0.76
2011/12,Winter,501,338,246,188,153,157,164,164,166,232,309,153,348,0.69
2011/12,Spring,505.0,345.0,268.0,207.0,175.0,171.0,183.0,171.0,194.0,249.0,313.0,171.0,334.0,0.66
