year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,14273.0,9713.0,8111.0,6822.0,6099.0,6267.0,6456.0,6541.0,6753.0,7387.0,8569.0,6099.0,8174.0,0.57
2000/01,Fall,14621,8368,6042,3903,2809,2588,2620,2634,3151,3978,5586,2588,12033,0.82
2000/01,Winter,15752,9197,6730,4845,3757,3571,3481,3499,3963,4956,6537,3481,12271,0.78
2000/01,Spring,15762.0,9407.0,6848.0,5053.0,3913.0,3643.0,3591.0,3644.0,4149.0,5002.0,6400.0,3591.0,12171.0,0.77
2001/02,Summer,15724.0,11207.0,9513.0,8113.0,7291.0,7381.0,7564.0,7569.0,7836.0,8405.0,9510.0,7291.0,8433.0,0.54
2001/02,Fall,15799,9619,6835,4605,3458,3259,3229,3247,3894,4918,6316,3229,12570,0.8
2001/02,Winter,15865,9544,6686,4545,3311,3010,2993,2948,3450,4380,6017,2948,12917,0.81
2001/02,Spring,15847.0,9433.0,6999.0,4854.0,3654.0,3250.0,3152.0,3101.0,3693.0,4543.0,6131.0,3101.0,12746.0,0.8
2002/03,Summer,15709.0,10482.0,8710.0,7436.0,6524.0,6409.0,6729.0,6695.0,7067.0,7782.0,8986.0,6409.0,9300.0,0.59
2002/03,Fall,15553,9454,6367,4086,2983,2858,2868,2835,3612,4861,6383,2835,12718,0.82
2002/03,Winter,15387,9212,6333,3953,2730,2425,2424,2436,3114,4313,5974,2424,12963,0.84
2002/03,Spring,15435.0,9412.0,6705.0,4471.0,3239.0,2980.0,2852.0,2659.0,3354.0,4657.0,6145.0,2659.0,12776.0,0.83
2003/04,Summer,15434.0,9018.0,7166.0,6074.0,5376.0,5347.0,5676.0,5627.0,6019.0,6855.0,8116.0,5347.0,10087.0,0.65
2003/04,Fall,15275,8536,5828,3753,2832,2736,2856,2695,3363,4512,5876,2695,12580,0.82
2003/04,Winter,15270,8531,5926,3795,2613,2456,2509,2517,3240,4397,5863,2456,12814,0.84
2003/04,Spring,15213.0,8305.0,5744.0,3782.0,2785.0,2611.0,2599.0,2636.0,3340.0,4480.0,5783.0,2599.0,12614.0,0.83
2004/05,Summer,15219.0,10470.0,8549.0,7157.0,6510.0,6467.0,6736.0,6642.0,7122.0,7974.0,9191.0,6467.0,8752.0,0.58
