year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1349.0,1024.0,823.0,639.0,528.0,543.0,571.0,568.0,600.0,647.0,783.0,528.0,821.0,0.61
2000/01,Fall,1188,806,582,423,367,401,408,383,393,468,623,367,821,0.69
2000/01,Winter,1164,784,571,418,350,371,370,355,376,446,576,350,814,0.7
2000/01,Spring,1175.0,833.0,604.0,445.0,355.0,384.0,383.0,401.0,426.0,498.0,612.0,355.0,820.0,0.7
2001/02,Summer,1194.0,851.0,656.0,494.0,401.0,413.0,425.0,427.0,459.0,539.0,673.0,401.0,793.0,0.66
2001/02,Fall,1179,856,614,467,400,418,405,406,433,504,635,400,779,0.66
2001/02,Winter,1224,898,614,476,394,416,429,411,442,530,648,394,830,0.68
2001/02,Spring,1224.0,868.0,658.0,473.0,376.0,389.0,401.0,382.0,427.0,526.0,667.0,376.0,848.0,0.69
2002/03,Summer,1196.0,865.0,640.0,490.0,390.0,388.0,420.0,384.0,418.0,505.0,658.0,384.0,812.0,0.68
2002/03,Fall,964,660,416,281,254,271,268,251,295,367,484,251,713,0.74
2002/03,Winter,947,650,411,258,211,228,235,211,250,337,449,211,736,0.78
2002/03,Spring,944.0,653.0,435.0,280.0,242.0,263.0,240.0,211.0,266.0,371.0,481.0,211.0,733.0,0.78
2003/04,Summer,952.0,650.0,456.0,347.0,305.0,311.0,323.0,305.0,317.0,391.0,505.0,305.0,647.0,0.68
2003/04,Fall,1195,853,617,456,405,418,444,395,438,536,693,395,800,0.67
2003/04,Winter,1201,870,621,480,396,417,422,419,454,543,699,396,805,0.67
2003/04,Spring,1187.0,860.0,626.0,462.0,386.0,392.0,405.0,408.0,459.0,546.0,679.0,386.0,801.0,0.67
2004/05,Summer,1194.0,884.0,666.0,498.0,414.0,384.0,438.0,413.0,454.0,547.0,678.0,384.0,810.0,0.68
2004/05,Fall,1198,850,609,434,370,397,413,392,436,535,656,370,828,0.69
2004/05,Winter,1198,810,582,415,349,341,360,375,410,516,652,341,857,0.72
2004/05,Spring,1309.0,900.0,651.0,439.0,343.0,353.0,389.0,392.0,456.0,553.0,692.0,343.0,966.0,0.74
2005/06,Summer,1395.0,985.0,763.0,593.0,470.0,470.0,511.0,495.0,548.0,639.0,799.0,470.0,925.0,0.66
