year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,3442.0,1749.0,1134.0,797.0,616.0,683.0,720.0,720.0,803.0,1086.0,1659.0,616.0,2826.0,0.82
2000/01,Fall,3517,1622,898,458,323,342,386,366,454,712,1331,323,3194,0.91
2000/01,Winter,3905,1921,1137,698,532,563,573,563,673,996,1621,532,3373,0.86
2000/01,Spring,3905.0,2034.0,1220.0,781.0,577.0,607.0,644.0,606.0,709.0,998.0,1527.0,577.0,3328.0,0.85
2001/02,Summer,3872.0,2276.0,1615.0,1209.0,988.0,1011.0,1061.0,1056.0,1159.0,1440.0,2031.0,988.0,2884.0,0.74
2001/02,Fall,4074,2207,1279,805,612,623,665,651,778,1113,1680,612,3462,0.85
2001/02,Winter,4141,2240,1282,824,617,646,688,658,775,1101,1741,617,3524,0.85
2001/02,Spring,4131.0,2190.0,1333.0,870.0,669.0,660.0,724.0,704.0,824.0,1154.0,1749.0,660.0,3471.0,0.84
2002/03,Summer,4120.0,2520.0,1812.0,1404.0,1177.0,1177.0,1258.0,1233.0,1351.0,1686.0,2299.0,1177.0,2943.0,0.71
2002/03,Fall,4215,2365,1334,874,675,713,754,729,875,1303,1939,675,3540,0.84
2002/03,Winter,4237,2375,1377,814,641,661,718,711,862,1247,1939,641,3596,0.85
2002/03,Spring,4240.0,2370.0,1456.0,932.0,697.0,710.0,779.0,766.0,934.0,1361.0,1972.0,697.0,3543.0,0.84
2003/04,Summer,4316.0,2712.0,1965.0,1509.0,1264.0,1262.0,1363.0,1366.0,1495.0,1894.0,2580.0,1262.0,3054.0,0.71
2003/04,Fall,4011,2046,1078,599,453,480,533,506,694,1072,1705,453,3558,0.89
2003/04,Winter,3997,2025,1090,592,410,415,460,459,640,1056,1670,410,3587,0.9
2003/04,Spring,4001.0,1970.0,1084.0,600.0,441.0,468.0,518.0,537.0,707.0,1142.0,1719.0,441.0,3560.0,0.89
2004/05,Summer,3993.0,2360.0,1576.0,1175.0,1008.0,1003.0,1070.0,1063.0,1214.0,1563.0,2154.0,1003.0,2990.0,0.75
2004/05,Fall,3987,1901,984,479,331,365,416,408,593,1020,1618,331,3656,0.92
2004/05,Winter,4496,2308,1412,868,701,732,778,782,1018,1526,2181,701,3795,0.84
2004/05,Spring,4454.0,2280.0,1493.0,957.0,723.0,762.0,793.0,823.0,1052.0,1492.0,2150.0,723.0,3731.0,0.84
2005/06,Summer,4505.0,2700.0,2039.0,1623.0,1403.0,1414.0,1477.0,1448.0,1643.0,2040.0,2706.0,1403.0,3102.0,0.69
2005/06,Fall,4453,2292,1454,918,699,756,773,771,961,1459,2160,699,3754,0.84
2005/06,Winter,4716,2474,1488,965,799,822,854,889,1144,1648,2333,799,3917,0.83
2005/06,Spring,4713.0,2465.0,1514.0,1074.0,867.0,882.0,916.0,930.0,1120.0,1607.0,2275.0,867.0,3846.0,0.82
