year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,105.0,70.0,57.0,48.0,46.0,42.0,43.0,43.0,43.0,55.0,59.0,42.0,63.0,0.6
2000/01,Fall,107,80,70,53,40,41,37,32,37,42,45,32,75,0.7
2000/01,Winter,113,80,58,49,38,42,39,39,39,44,43,38,75,0.66
2000/01,Spring,114.0,75.0,59.0,49.0,39.0,38.0,43.0,34.0,40.0,39.0,42.0,34.0,80.0,0.7
2001/02,Summer,113.0,76.0,64.0,50.0,50.0,49.0,53.0,52.0,57.0,60.0,65.0,49.0,64.0,0.57
2001/02,Fall,117,87,68,57,58,50,42,37,44,48,51,37,80,0.68
2001/02,Winter,120,87,69,59,52,44,41,43,45,47,59,41,79,0.66
2001/02,Spring,120.0,90.0,70.0,51.0,48.0,45.0,44.0,40.0,50.0,49.0,53.0,40.0,80.0,0.67
2002/03,Summer,123.0,90.0,76.0,61.0,61.0,63.0,60.0,52.0,60.0,63.0,64.0,52.0,71.0,0.58
2002/03,Fall,127,97,77,65,64,63,54,49,53,59,66,49,78,0.61
2002/03,Winter,133,97,71,53,44,44,45,41,44,50,57,41,92,0.69
2002/03,Spring,128.0,90.0,70.0,55.0,44.0,52.0,46.0,44.0,43.0,47.0,59.0,43.0,85.0,0.66
2003/04,Summer,133.0,86.0,80.0,66.0,58.0,58.0,54.0,58.0,55.0,64.0,70.0,54.0,79.0,0.59
2003/04,Fall,135,97,77,59,54,61,56,52,63,60,60,52,83,0.61
2003/04,Winter,140,102,76,61,56,56,51,45,51,56,69,45,95,0.68
2003/04,Spring,140.0,98.0,71.0,57.0,47.0,48.0,53.0,57.0,56.0,54.0,67.0,47.0,93.0,0.66
2004/05,Summer,141.0,102.0,79.0,72.0,65.0,65.0,65.0,53.0,69.0,74.0,78.0,53.0,88.0,0.62
2004/05,Fall,135,92,74,64,45,50,53,50,60,64,68,45,90,0.67
2004/05,Winter,134,88,74,50,46,45,45,45,54,58,63,45,89,0.66
2004/05,Spring,137.0,94.0,69.0,49.0,43.0,46.0,48.0,51.0,54.0,58.0,59.0,43.0,94.0,0.69
2005/06,Summer,158.0,113.0,96.0,75.0,67.0,68.0,64.0,68.0,73.0,84.0,94.0,64.0,94.0,0.59
2005/06,Fall,155,120,90,69,59,62,65,61,71,73,84,59,96,0.62
2005/06,Winter,156,110,81,69,57,52,49,58,56,63,70,49,107,0.69
2005/06,Spring,155.0,110.0,82.0,70.0,61.0,60.0,61.0,63.0,70.0,73.0,84.0,60.0,95.0,0.61
2006/07,Summer,148.0,109.0,89.0,79.0,74.0,75.0,81.0,75.0,82.0,89.0,92.0,74.0,74.0,0.5
2006/07,Fall,145,100,81,65,57,59,66,63,67,76,83,57,88,0.61
2006/07,Winter,144,93,84,56,53,54,55,51,58,68,70,51,93,0.65
2006/07,Spring,144.0,98.0,80.0,66.0,54.0,57.0,54.0,52.0,57.0,63.0,71.0,52.0,92.0,0.64
2007/08,Summer,144.0,101.0,92.0,82.0,73.0,79.0,84.0,80.0,82.0,84.0,96.0,73.0,71.0,0.49
2007/08,Fall,144,106,84,77,71,61,65,72,83,77,83,61,83,0.58
2007/08,Winter,119,83,69,61,47,46,50,51,55,61,62,46,73,0.61
2007/08,Spring,122.0,87.0,74.0,56.0,50.0,46.0,49.0,48.0,52.0,63.0,61.0,46.0,76.0,0.62
2008/09,Summer,126.0,93.0,86.0,72.0,70.0,71.0,72.0,71.0,76.0,69.0,83.0,69.0,57.0,0.45
2008/09,Fall,126,90,83,66,60,53,56,55,62,70,78,53,73,0.58
2008/09,Winter,122,88,76,67,55,51,55,51,54,60,63,51,71,0.58
2008/09,Spring,124.0,95.0,82.0,66.0,58.0,62.0,62.0,58.0,64.0,65.0,70.0,58.0,66.0,0.53
2009/10,Summer,123.0,95.0,85.0,81.0,76.0,73.0,82.0,77.0,81.0,78.0,79.0,73.0,50.0,0.41
2009/10,Fall,116,93,82,69,64,65,68,60,66,70,68,60,56,0.48
2009/10,Winter,120,83,76,66,57,57,55,54,62,63,63,54,66,0.55
2009/10,Spring,122.0,96.0,82.0,70.0,60.0,54.0,51.0,52.0,53.0,59.0,59.0,51.0,71.0,0.58
2010/11,Summer,119.0,99.0,85.0,72.0,68.0,69.0,66.0,63.0,70.0,73.0,79.0,63.0,56.0,0.47
2010/11,Fall,121,94,81,59,55,58,54,53,61,67,65,53,68,0.56
2010/11,Winter,122,93,78,70,57,56,61,54,57,64,67,54,68,0.56
2010/11,Spring,127.0,97.0,79.0,77.0,63.0,65.0,69.0,68.0,68.0,66.0,73.0,63.0,64.0,0.5
2011/12,Summer,127.0,95.0,90.0,79.0,71.0,69.0,75.0,74.0,71.0,76.0,88.0,69.0,58.0,0.46
2011/12,Fall,150,120,102,95,89,87,86,77,95,97,93,77,73,0.49
2011/12,Winter,152,112,96,84,75,69,75,69,73,82,86,69,83,0.55
2011/12,Spring,163.0,125.0,107.0,94.0,80.0,77.0,79.0,75.0,78.0,77.0,92.0,75.0,88.0,0.54
