year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,146.0,74.0,66.0,60.0,59.0,55.0,57.0,53.0,59.0,66.0,73.0,53.0,93.0,0.64
2000/01,Fall,136,78,67,57,53,49,54,53,56,67,76,49,87,0.64
2000/01,Winter,135,76,57,55,45,44,45,47,54,64,78,44,91,0.67
2000/01,Spring,141.0,72.0,52.0,50.0,42.0,46.0,44.0,47.0,51.0,64.0,74.0,42.0,99.0,0.7
2001/02,Summer,144.0,79.0,67.0,60.0,59.0,56.0,55.0,52.0,60.0,64.0,73.0,52.0,92.0,0.64
2001/02,Fall,146,73,60,48,48,57,54,51,59,65,77,48,98,0.67
2001/02,Winter,136,76,66,54,53,55,51,51,56,62,72,51,85,0.63
2001/02,Spring,133.0,76.0,69.0,55.0,57.0,59.0,54.0,54.0,60.0,66.0,71.0,54.0,79.0,0.59
2002/03,Summer,136.0,77.0,67.0,54.0,55.0,53.0,61.0,56.0,63.0,75.0,82.0,53.0,83.0,0.61
2002/03,Fall,133,78,69,53,49,57,54,46,59,65,74,46,87,0.65
2002/03,Winter,142,77,63,53,40,44,48,47,56,66,77,40,102,0.72
2002/03,Spring,148.0,76.0,61.0,51.0,43.0,46.0,58.0,50.0,59.0,68.0,81.0,43.0,105.0,0.71
2003/04,Summer,147.0,78.0,67.0,56.0,61.0,68.0,73.0,62.0,72.0,81.0,85.0,56.0,91.0,0.62
2003/04,Fall,149,80,69,55,53,56,57,53,66,74,84,53,96,0.64
2003/04,Winter,151,77,65,55,48,53,56,53,62,74,86,48,103,0.68
2003/04,Spring,150.0,87.0,77.0,57.0,57.0,55.0,58.0,60.0,65.0,69.0,74.0,55.0,95.0,0.63
2004/05,Summer,151.0,91.0,72.0,66.0,64.0,70.0,75.0,65.0,72.0,81.0,89.0,64.0,87.0,0.58
2004/05,Fall,159,86,73,57,55,56,58,58,63,73,75,55,104,0.65
2004/05,Winter,157,77,64,55,54,51,53,51,55,71,77,51,106,0.68
2004/05,Spring,148.0,78.0,67.0,60.0,56.0,61.0,61.0,59.0,58.0,69.0,78.0,56.0,92.0,0.62
2005/06,Summer,153.0,89.0,73.0,64.0,59.0,60.0,64.0,60.0,69.0,77.0,88.0,59.0,94.0,0.61
2005/06,Fall,153,85,75,57,55,58,58,60,69,77,87,55,98,0.64
2005/06,Winter,149,80,67,56,57,61,59,53,65,71,78,53,96,0.64
2005/06,Spring,147.0,83.0,70.0,64.0,65.0,62.0,60.0,56.0,63.0,70.0,74.0,56.0,91.0,0.62
2006/07,Summer,143.0,80.0,76.0,70.0,63.0,64.0,69.0,70.0,67.0,74.0,85.0,63.0,80.0,0.56
2006/07,Fall,143,77,68,53,49,51,54,50,59,65,71,49,94,0.66
2006/07,Winter,135,66,56,46,44,47,51,46,52,65,68,44,91,0.67
2006/07,Spring,136.0,66.0,61.0,52.0,48.0,55.0,53.0,50.0,57.0,60.0,65.0,48.0,88.0,0.65
2007/08,Summer,136.0,70.0,60.0,58.0,53.0,55.0,58.0,60.0,66.0,69.0,73.0,53.0,83.0,0.61
2007/08,Fall,135,72,58,56,56,55,64,53,60,65,64,53,82,0.61
2007/08,Winter,116,63,53,41,41,36,39,41,48,55,60,36,80,0.69
2007/08,Spring,124.0,67.0,58.0,47.0,40.0,42.0,43.0,49.0,54.0,59.0,65.0,40.0,84.0,0.68
2008/09,Summer,112.0,60.0,51.0,45.0,44.0,47.0,53.0,50.0,49.0,52.0,53.0,44.0,68.0,0.61
2008/09,Fall,116,65,57,55,53,42,46,46,51,52,53,42,74,0.64
2008/09,Winter,121,68,58,47,47,50,52,48,48,55,57,47,74,0.61
2008/09,Spring,119.0,65.0,58.0,50.0,40.0,48.0,46.0,46.0,45.0,50.0,56.0,40.0,79.0,0.66
2009/10,Summer,119.0,59.0,58.0,51.0,48.0,51.0,47.0,55.0,54.0,61.0,65.0,47.0,72.0,0.61
2009/10,Fall,124,68,54,48,43,51,50,49,50,57,61,43,81,0.65
2009/10,Winter,123,65,61,46,45,48,45,41,46,51,59,41,82,0.67
2009/10,Spring,123.0,69.0,62.0,54.0,51.0,52.0,57.0,53.0,53.0,53.0,56.0,51.0,72.0,0.59
2010/11,Summer,121.0,73.0,60.0,58.0,59.0,54.0,55.0,59.0,52.0,59.0,65.0,52.0,69.0,0.57
2010/11,Fall,122,68,61,57,45,43,53,48,54,55,65,43,79,0.65
2010/11,Winter,118,69,59,51,48,52,50,54,55,56,61,48,70,0.59
2010/11,Spring,119.0,67.0,67.0,57.0,50.0,44.0,46.0,47.0,56.0,53.0,62.0,44.0,75.0,0.63
2011/12,Summer,127.0,72.0,65.0,55.0,54.0,56.0,62.0,64.0,56.0,63.0,70.0,54.0,73.0,0.57
2011/12,Fall,124,74,65,62,57,55,51,59,57,59,68,51,73,0.59
2011/12,Winter,112,58,51,46,42,46,42,42,46,49,55,42,70,0.63
2011/12,Spring,114.0,60.0,51.0,52.0,45.0,49.0,37.0,45.0,48.0,50.0,57.0,37.0,77.0,0.68
2012/13,Summer,114.0,62.0,57.0,56.0,49.0,44.0,54.0,53.0,53.0,56.0,61.0,44.0,70.0,0.61
2012/13,Fall,114,72,59,54,54,51,53,46,59,56,56,46,68,0.6
2012/13,Winter,114,70,57,58,56,51,50,52,55,59,63,50,64,0.56
2012/13,Spring,116.0,68.0,57.0,53.0,50.0,55.0,52.0,57.0,61.0,60.0,60.0,50.0,66.0,0.57
2013/14,Summer,120.0,71.0,64.0,58.0,54.0,53.0,60.0,56.0,56.0,58.0,69.0,53.0,67.0,0.56
2013/14,Fall,119,66,55,51,44,42,37,36,48,50,58,36,83,0.7
2013/14,Winter,119,60,60,55,50,44,47,48,48,53,61,44,75,0.63
