year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,185.0,54.0,60.0,55.0,44.0,44.0,54.0,61.0,42.0,44.0,52.0,42.0,143.0,0.77
2000/01,Fall,341,107,132,131,134,120,129,134,120,112,100,100,241,0.71
2000/01,Winter,349,125,145,137,140,143,139,152,134,120,113,113,236,0.68
2000/01,Spring,354.0,135.0,159.0,152.0,144.0,143.0,146.0,148.0,140.0,131.0,126.0,126.0,228.0,0.64
2001/02,Summer,349.0,151.0,170.0,164.0,155.0,153.0,150.0,159.0,150.0,140.0,136.0,136.0,213.0,0.61
2001/02,Fall,348,119,143,134,134,121,129,140,124,115,101,101,247,0.71
2001/02,Winter,338,122,146,140,145,136,143,137,117,107,114,107,231,0.68
2001/02,Spring,340.0,131.0,144.0,142.0,141.0,131.0,138.0,135.0,128.0,112.0,116.0,112.0,228.0,0.67
2002/03,Summer,345.0,146.0,160.0,156.0,154.0,140.0,149.0,146.0,129.0,123.0,126.0,123.0,222.0,0.64
2002/03,Fall,327,111,125,114,110,105,110,112,98,86,87,86,241,0.74
2002/03,Winter,326,105,115,102,105,105,103,102,94,87,92,87,239,0.73
2002/03,Spring,333.0,121.0,125.0,114.0,116.0,117.0,119.0,114.0,110.0,96.0,99.0,96.0,237.0,0.71
2003/04,Summer,340.0,112.0,126.0,120.0,126.0,119.0,123.0,120.0,107.0,103.0,107.0,103.0,237.0,0.7
2003/04,Fall,340,110,128,121,124,115,114,111,100,87,101,87,253,0.74
2003/04,Winter,351,116,126,125,116,119,118,108,96,87,99,87,264,0.75
2003/04,Spring,319.0,103.0,109.0,104.0,105.0,100.0,84.0,101.0,97.0,86.0,90.0,84.0,235.0,0.74
2004/05,Summer,305.0,104.0,109.0,102.0,106.0,101.0,108.0,104.0,97.0,88.0,92.0,88.0,217.0,0.71
2004/05,Fall,299,104,100,101,103,96,100,100,95,95,91,91,208,0.7
2004/05,Winter,301,96,105,101,95,96,92,101,92,89,88,88,213,0.71
2004/05,Spring,180.0,86.0,86.0,80.0,78.0,78.0,70.0,81.0,70.0,66.0,68.0,66.0,114.0,0.63
2005/06,Summer,196.0,84.0,89.0,91.0,90.0,91.0,89.0,89.0,80.0,76.0,75.0,75.0,121.0,0.62
2005/06,Fall,220,113,117,109,104,103,87,103,97,93,90,87,133,0.6
2005/06,Winter,198,90,92,85,84,84,71,82,73,70,63,63,135,0.68
2005/06,Spring,208.0,92.0,99.0,91.0,94.0,85.0,81.0,94.0,78.0,71.0,71.0,71.0,137.0,0.66
2006/07,Summer,201.0,83.0,97.0,99.0,99.0,94.0,82.0,99.0,85.0,75.0,72.0,72.0,129.0,0.64
2006/07,Fall,208,92,99,102,99,91,84,95,79,78,78,78,130,0.63
2006/07,Winter,206,90,107,99,98,94,88,100,93,95,94,88,118,0.57
2006/07,Spring,206.0,101.0,104.0,104.0,102.0,95.0,89.0,96.0,88.0,81.0,80.0,80.0,126.0,0.61
2007/08,Summer,206.0,103.0,107.0,107.0,112.0,105.0,96.0,111.0,93.0,85.0,84.0,84.0,122.0,0.59
2007/08,Fall,219,106,113,115,116,111,107,115,96,94,86,86,133,0.61
