year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,572.0,370.0,275.0,194.0,162.0,158.0,176.0,202.0,207.0,235.0,243.0,158.0,414.0,0.72
2000/01,Fall,713,478,376,268,226,194,194,189,212,209,203,189,524,0.73
2000/01,Winter,717,463,334,236,185,184,198,200,200,234,216,184,533,0.74
2000/01,Spring,702.0,431.0,293.0,199.0,166.0,148.0,144.0,144.0,173.0,196.0,186.0,144.0,558.0,0.79
2001/02,Summer,697.0,512.0,423.0,330.0,273.0,278.0,286.0,288.0,314.0,349.0,347.0,273.0,424.0,0.61
2001/02,Fall,702,460,317,204,166,160,164,170,191,199,187,160,542,0.77
2001/02,Winter,671,392,266,186,153,125,136,128,165,157,148,125,546,0.81
2001/02,Spring,671.0,391.0,297.0,189.0,147.0,133.0,150.0,141.0,171.0,180.0,145.0,133.0,538.0,0.8
2002/03,Summer,673.0,493.0,395.0,285.0,220.0,196.0,236.0,237.0,273.0,299.0,295.0,196.0,477.0,0.71
2002/03,Fall,716,460,295,210,191,203,207,214,244,233,226,191,525,0.73
2002/03,Winter,717,409,290,213,162,158,156,170,205,197,188,156,561,0.78
2002/03,Spring,717.0,493.0,330.0,219.0,186.0,180.0,188.0,184.0,213.0,222.0,216.0,180.0,537.0,0.75
2003/04,Summer,717.0,532.0,404.0,283.0,233.0,227.0,274.0,290.0,317.0,346.0,354.0,227.0,490.0,0.68
2003/04,Fall,666,401,257,169,135,145,166,165,184,186,172,135,531,0.8
2003/04,Winter,666,376,247,156,107,104,118,127,161,160,139,104,562,0.84
2003/04,Spring,666.0,388.0,244.0,155.0,123.0,118.0,134.0,145.0,175.0,184.0,169.0,118.0,548.0,0.82
2004/05,Summer,672.0,493.0,398.0,265.0,216.0,216.0,251.0,242.0,283.0,308.0,318.0,216.0,456.0,0.68
2004/05,Fall,662,375,222,140,89,95,117,119,155,150,137,89,573,0.87
2004/05,Winter,699,361,224,129,101,86,94,109,147,153,142,86,613,0.88
2004/05,Spring,679.0,348.0,235.0,128.0,96.0,109.0,111.0,121.0,145.0,141.0,131.0,96.0,583.0,0.86
2005/06,Summer,657.0,469.0,381.0,267.0,191.0,192.0,199.0,221.0,265.0,294.0,297.0,191.0,466.0,0.71
2005/06,Fall,650,361,243,137,105,96,109,123,146,161,156,96,554,0.85
2005/06,Winter,658,336,227,163,120,113,113,116,150,139,120,113,545,0.83
2005/06,Spring,647.0,332.0,207.0,150.0,106.0,92.0,98.0,108.0,133.0,137.0,133.0,92.0,555.0,0.86
2006/07,Summer,658.0,427.0,324.0,220.0,190.0,191.0,198.0,204.0,254.0,274.0,270.0,190.0,468.0,0.71
2006/07,Fall,725,404,264,191,167,159,166,170,198,210,206,159,566,0.78
2006/07,Winter,639,325,221,164,122,116,137,153,161,161,174,116,523,0.82
2006/07,Spring,497.0,243.0,142.0,99.0,77.0,95.0,98.0,94.0,94.0,84.0,79.0,77.0,420.0,0.85
2007/08,Summer,501.0,351.0,265.0,193.0,155.0,164.0,178.0,179.0,203.0,229.0,241.0,155.0,346.0,0.69
2007/08,Fall,498,300,186,97,74,73,99,105,135,141,113,73,425,0.85
2007/08,Winter,490,312,186,122,71,61,80,85,100,112,94,61,429,0.88
2007/08,Spring,477.0,285.0,175.0,98.0,70.0,75.0,77.0,87.0,92.0,90.0,89.0,70.0,407.0,0.85
2008/09,Summer,1118.0,759.0,524.0,380.0,270.0,283.0,332.0,314.0,330.0,413.0,488.0,270.0,848.0,0.76
2008/09,Fall,1115,656,448,238,137,124,137,129,150,243,312,124,991,0.89
2008/09,Winter,1113,788,533,321,171,166,212,152,197,257,329,152,961,0.86
2008/09,Spring,1102.0,748.0,486.0,238.0,115.0,135.0,162.0,154.0,185.0,262.0,364.0,115.0,987.0,0.9
2009/10,Summer,1138.0,854.0,641.0,476.0,331.0,326.0,358.0,353.0,400.0,467.0,588.0,326.0,812.0,0.71
2009/10,Fall,1163,870,630,402,312,306,355,351,384,458,568,306,857,0.74
2009/10,Winter,1101,778,555,333,213,232,243,224,285,375,499,213,888,0.81
2009/10,Spring,1087.0,776.0,544.0,284.0,171.0,167.0,200.0,184.0,235.0,301.0,415.0,167.0,920.0,0.85
2010/11,Summer,1071.0,827.0,649.0,493.0,384.0,370.0,374.0,352.0,404.0,500.0,641.0,352.0,719.0,0.67
2010/11,Fall,1078,752,487,248,148,155,171,176,232,330,477,148,930,0.86
2010/11,Winter,1081,725,468,249,149,156,133,110,152,264,412,110,971,0.9
2010/11,Spring,1069.0,689.0,489.0,277.0,138.0,131.0,166.0,137.0,178.0,246.0,401.0,131.0,938.0,0.88
2011/12,Summer,1071.0,741.0,552.0,371.0,244.0,249.0,294.0,270.0,312.0,391.0,543.0,244.0,827.0,0.77
2011/12,Fall,1080,709,510,218,114,131,188,177,243,330,450,114,966,0.89
2011/12,Winter,1090,649,448,193,83,81,88,95,162,286,411,81,1009,0.93
2011/12,Spring,1105.0,762.0,541.0,313.0,179.0,188.0,231.0,165.0,218.0,326.0,451.0,165.0,940.0,0.85
2012/13,Summer,1341.0,1010.0,796.0,574.0,451.0,427.0,500.0,472.0,552.0,648.0,791.0,427.0,914.0,0.68
2012/13,Fall,1350,881,624,355,252,278,303,296,316,423,575,252,1098,0.81
2012/13,Winter,1340,834,566,253,161,199,233,212,284,426,575,161,1179,0.88
2012/13,Spring,1340.0,923.0,653.0,367.0,261.0,253.0,298.0,273.0,344.0,438.0,585.0,253.0,1087.0,0.81
2013/14,Summer,1319.0,962.0,738.0,527.0,358.0,346.0,409.0,344.0,420.0,553.0,748.0,344.0,975.0,0.74
2013/14,Fall,1313,752,502,250,125,152,216,195,248,384,566,125,1188,0.9
2013/14,Winter,1312,746,504,251,120,162,189,160,208,349,536,120,1192,0.91
2013/14,Spring,1511.0,962.0,686.0,410.0,263.0,262.0,289.0,265.0,331.0,440.0,598.0,262.0,1249.0,0.83
2014/15,Summer,1503,1071,789,502,352,393,422,399,458,630,841,352,1151,0.77
2014/15,Fall,1505,995,631,342,208,228,278,227,287,410,570,208,1297,0.86
