year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,43.0,17.0,11.0,5.0,7.0,6.0,8.0,7.0,7.0,10.0,17.0,5.0,38.0,0.88
2000/01,Fall,43,19,12,7,7,9,8,5,6,10,16,5,38,0.88
2000/01,Winter,46,18,12,7,7,7,10,10,10,16,17,7,39,0.85
2000/01,Spring,46.0,17.0,10.0,7.0,8.0,7.0,10.0,8.0,8.0,15.0,19.0,7.0,39.0,0.85
2001/02,Summer,46.0,18.0,10.0,5.0,5.0,8.0,9.0,7.0,6.0,11.0,19.0,5.0,41.0,0.89
2001/02,Fall,47,13,9,6,9,8,8,10,8,16,18,6,41,0.87
2001/02,Winter,47,19,10,5,4,8,10,5,5,15,22,4,43,0.91
2001/02,Spring,47.0,17.0,9.0,7.0,4.0,7.0,7.0,6.0,9.0,13.0,20.0,4.0,43.0,0.91
2002/03,Summer,47.0,16.0,9.0,6.0,6.0,6.0,7.0,5.0,6.0,14.0,23.0,5.0,42.0,0.89
2002/03,Fall,47,14,8,4,3,7,6,6,7,13,20,3,44,0.94
2002/03,Winter,47,17,9,5,3,3,3,5,8,12,21,3,44,0.94
2002/03,Spring,47.0,15.0,7.0,7.0,6.0,5.0,3.0,5.0,7.0,14.0,21.0,3.0,44.0,0.94
2003/04,Summer,46.0,14.0,7.0,4.0,4.0,4.0,4.0,4.0,6.0,12.0,23.0,4.0,42.0,0.91
2003/04,Fall,46,12,7,3,3,5,5,4,7,11,14,3,43,0.93
2003/04,Winter,46,13,8,4,3,5,4,3,9,12,18,3,43,0.93
2003/04,Spring,46.0,14.0,6.0,5.0,5.0,5.0,8.0,6.0,9.0,15.0,21.0,5.0,41.0,0.89
2004/05,Summer,46.0,17.0,9.0,6.0,3.0,5.0,7.0,2.0,5.0,12.0,16.0,2.0,44.0,0.96
2004/05,Fall,46,16,9,5,4,4,3,4,4,8,20,3,43,0.93
2004/05,Winter,46,11,6,5,6,5,6,6,8,14,18,5,41,0.89
2004/05,Spring,46.0,10.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,8.0,17.0,3.0,43.0,0.93
2005/06,Summer,46.0,13.0,11.0,5.0,6.0,3.0,3.0,1.0,3.0,15.0,24.0,1.0,45.0,0.98
2005/06,Fall,48,11,5,4,6,4,4,5,6,14,22,4,44,0.92
2005/06,Winter,48,10,7,5,5,4,4,4,8,12,23,4,44,0.92
2005/06,Spring,48.0,11.0,7.0,7.0,3.0,6.0,5.0,6.0,9.0,15.0,21.0,3.0,45.0,0.94
2006/07,Summer,48.0,12.0,8.0,4.0,4.0,3.0,6.0,4.0,8.0,14.0,23.0,3.0,45.0,0.94
2006/07,Fall,50,12,7,4,4,6,5,6,8,15,24,4,46,0.92
2006/07,Winter,52,18,11,8,8,10,10,10,14,22,27,8,44,0.85
2006/07,Spring,53.0,16.0,9.0,9.0,7.0,9.0,9.0,9.0,12.0,19.0,28.0,7.0,46.0,0.87
2007/08,Summer,53.0,13.0,5.0,5.0,4.0,4.0,6.0,7.0,7.0,13.0,26.0,4.0,49.0,0.92
2007/08,Fall,53,15,12,8,8,8,8,7,7,15,28,7,46,0.87
2007/08,Winter,53,12,9,5,4,6,7,5,10,18,27,4,49,0.92
2007/08,Spring,53.0,13.0,10.0,7.0,5.0,6.0,7.0,6.0,10.0,18.0,26.0,5.0,48.0,0.91
2008/09,Summer,52.0,12.0,10.0,6.0,4.0,7.0,7.0,4.0,9.0,15.0,27.0,4.0,48.0,0.92
2008/09,Fall,52,16,10,6,6,9,8,6,11,17,25,6,46,0.88
2008/09,Winter,52,15,12,8,8,10,8,7,12,15,26,7,45,0.87
2008/09,Spring,51.0,13.0,10.0,4.0,4.0,4.0,6.0,4.0,7.0,14.0,22.0,4.0,47.0,0.92
2009/10,Summer,43.0,13.0,9.0,7.0,3.0,4.0,6.0,6.0,11.0,13.0,24.0,3.0,40.0,0.93
2009/10,Fall,42,10,7,7,6,5,6,5,11,15,23,5,37,0.88
2009/10,Winter,42,12,7,6,4,2,5,5,9,15,22,2,40,0.95
2009/10,Spring,43.0,9.0,7.0,4.0,5.0,5.0,6.0,6.0,9.0,20.0,22.0,4.0,39.0,0.91
2010/11,Summer,43.0,10.0,6.0,6.0,4.0,8.0,6.0,9.0,9.0,19.0,24.0,4.0,39.0,0.91
2010/11,Fall,43,10,8,3,4,4,4,5,6,16,23,3,40,0.93
2010/11,Winter,43,12,11,8,9,6,6,9,11,18,23,6,37,0.86
2010/11,Spring,43.0,10.0,6.0,5.0,4.0,4.0,4.0,5.0,6.0,13.0,19.0,4.0,39.0,0.91
2011/12,Summer,43.0,11.0,3.0,4.0,2.0,3.0,5.0,5.0,10.0,16.0,20.0,2.0,41.0,0.95
2011/12,Fall,43,15,12,7,6,7,7,8,7,19,23,6,37,0.86
2011/12,Winter,43,13,12,8,5,4,5,5,9,17,28,4,39,0.91
2011/12,Spring,43.0,17.0,10.0,7.0,7.0,7.0,7.0,10.0,11.0,24.0,27.0,7.0,36.0,0.84
2012/13,Summer,43.0,12.0,10.0,7.0,6.0,8.0,9.0,11.0,11.0,21.0,29.0,6.0,37.0,0.86
2012/13,Fall,43,17,10,7,9,9,9,7,8,13,23,7,36,0.84
2012/13,Winter,43,13,10,8,7,8,7,5,3,13,20,3,40,0.93
2012/13,Spring,54.0,25.0,13.0,12.0,12.0,15.0,18.0,18.0,18.0,22.0,30.0,12.0,42.0,0.78
2013/14,Summer,54.0,23.0,16.0,8.0,9.0,9.0,12.0,11.0,16.0,22.0,37.0,8.0,46.0,0.85
2013/14,Fall,54,30,20,10,9,12,16,10,11,19,27,9,45,0.83
2013/14,Winter,54,29,17,9,8,12,15,10,15,21,30,8,46,0.85
2013/14,Spring,54.0,22.0,15.0,9.0,9.0,11.0,14.0,10.0,9.0,23.0,31.0,9.0,45.0,0.83
2014/15,Summer,54,22,16,12,15,12,13,9,9,18,28,9,45,0.83
2014/15,Fall,54,25,17,9,7,7,14,6,13,18,28,6,48,0.89
2014/15,Winter,54,23,13,8,10,8,5,9,15,22,25,5,49,0.91
2014/15,Spring,54,24,13,7,11,7,8,11,9,14,29,7,47,0.87
