year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,473.0,262.0,187.0,113.0,74.0,98.0,104.0,82.0,70.0,88.0,138.0,70.0,403.0,0.85
2000/01,Fall,473,272,190,96,58,78,104,64,68,111,159,58,415,0.88
2000/01,Winter,443,243,188,83,59,76,86,64,59,73,122,59,384,0.87
2000/01,Spring,443.0,253.0,180.0,76.0,52.0,84.0,83.0,61.0,63.0,88.0,127.0,52.0,391.0,0.88
2001/02,Summer,443.0,266.0,197.0,111.0,65.0,84.0,99.0,56.0,79.0,103.0,156.0,56.0,387.0,0.87
2001/02,Fall,443,293,202,85,57,78,104,79,84,115,154,57,386,0.87
2001/02,Winter,442,279,179,98,62,71,100,75,80,114,169,62,380,0.86
2001/02,Spring,431.0,277.0,198.0,117.0,78.0,93.0,110.0,90.0,93.0,140.0,180.0,78.0,353.0,0.82
2002/03,Summer,431.0,256.0,173.0,101.0,66.0,84.0,103.0,61.0,75.0,119.0,171.0,61.0,370.0,0.86
2002/03,Fall,431,267,187,99,68,82,94,59,79,117,162,59,372,0.86
2002/03,Winter,447,292,180,95,74,79,103,66,88,120,181,66,381,0.85
2002/03,Spring,447.0,277.0,184.0,110.0,80.0,112.0,124.0,90.0,108.0,153.0,186.0,80.0,367.0,0.82
2003/04,Summer,417.0,269.0,181.0,107.0,84.0,107.0,114.0,82.0,92.0,128.0,174.0,82.0,335.0,0.8
2003/04,Fall,417,264,161,88,76,94,115,79,103,139,185,76,341,0.82
2003/04,Winter,479,321,227,139,110,137,145,127,141,161,219,110,369,0.77
2003/04,Spring,479.0,321.0,229.0,158.0,132.0,147.0,153.0,139.0,140.0,171.0,220.0,132.0,347.0,0.72
2004/05,Summer,481.0,316.0,234.0,154.0,126.0,131.0,143.0,127.0,131.0,161.0,207.0,126.0,355.0,0.74
2004/05,Fall,481,312,205,111,80,94,101,91,102,140,199,80,401,0.83
2004/05,Winter,481,298,189,114,82,84,94,81,102,144,201,81,400,0.83
2004/05,Spring,464.0,319.0,215.0,142.0,104.0,119.0,133.0,104.0,118.0,147.0,195.0,104.0,360.0,0.78
2005/06,Summer,465.0,321.0,231.0,150.0,121.0,123.0,142.0,118.0,121.0,150.0,197.0,118.0,347.0,0.75
2005/06,Fall,432,288,212,128,106,103,111,95,100,129,173,95,337,0.78
2005/06,Winter,433,317,215,132,108,106,124,110,112,139,202,106,327,0.76
2005/06,Spring,452.0,300.0,210.0,141.0,113.0,117.0,111.0,103.0,120.0,151.0,199.0,103.0,349.0,0.77
2006/07,Summer,452.0,268.0,165.0,85.0,61.0,70.0,93.0,69.0,76.0,124.0,179.0,61.0,391.0,0.87
