year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0
2000/01,Fall,4,2,1,1,0,1,1,1,1,1,1,0,4,1.0
2000/01,Winter,4,1,1,0,0,1,0,0,0,1,1,0,4,1.0
2000/01,Spring,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0
2001/02,Summer,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0
2001/02,Fall,3,1,0,0,0,0,0,0,0,1,1,0,3,1.0
2001/02,Winter,3,2,1,0,1,1,1,1,1,1,1,0,3,1.0
2001/02,Spring,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0
2002/03,Summer,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.67
2002/03,Fall,3,1,1,0,0,0,0,0,1,1,1,0,3,1.0
2002/03,Winter,5,2,2,1,2,3,2,1,2,2,2,1,4,0.8
2002/03,Spring,5.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,5.0,1.0
2003/04,Summer,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,5.0,1.0
2003/04,Fall,5,1,1,0,0,1,2,0,0,1,2,0,5,1.0
2003/04,Winter,5,2,1,0,1,0,0,2,2,2,2,0,5,1.0
2003/04,Spring,5.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,1.0
2004/05,Summer,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,5.0,1.0
2004/05,Fall,5,1,1,1,1,1,1,1,1,2,2,1,4,0.8
2004/05,Winter,5,2,1,0,0,1,3,1,1,1,1,0,5,1.0
2004/05,Spring,5.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,5.0,1.0
2005/06,Summer,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0
2005/06,Fall,5,1,1,0,1,0,1,0,1,1,2,0,5,1.0
2005/06,Winter,5,1,1,0,0,1,1,0,1,0,2,0,5,1.0
2005/06,Spring,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,5.0,1.0
2006/07,Summer,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
2006/07,Fall,2,1,0,0,1,0,1,0,0,1,1,0,2,1.0
2006/07,Winter,2,1,0,0,0,1,1,1,1,1,1,0,2,1.0
2006/07,Spring,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,0.6
2007/08,Summer,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,0.8
2007/08,Fall,5,2,1,1,2,3,3,3,3,3,4,1,4,0.8
2007/08,Winter,7,3,2,0,2,2,4,3,3,3,4,0,7,1.0
2007/08,Spring,7.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,3.0,0.0,7.0,1.0
2008/09,Summer,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,7.0,1.0
2008/09,Fall,7,1,1,1,0,1,2,1,1,3,3,0,7,1.0
2008/09,Winter,4,1,0,3,1,2,2,2,2,1,1,0,4,1.0
2008/09,Spring,5.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,5.0,1.0
2009/10,Summer,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,5.0,1.0
2009/10,Fall,8,4,2,3,5,3,3,4,3,4,4,2,6,0.75
2009/10,Winter,8,2,3,2,2,1,3,3,4,2,3,1,7,0.88
2009/10,Spring,8.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,7.0,0.88
2010/11,Summer,8.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,0.63
2010/11,Fall,8,3,3,2,1,3,4,3,5,6,4,1,7,0.88
2010/11,Winter,8,2,2,4,2,1,3,3,2,3,4,1,7,0.88
2010/11,Spring,4.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,0.75
2011/12,Summer,6.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,0.67
2011/12,Fall,6,1,2,1,2,2,1,4,3,4,4,1,5,0.83
2011/12,Winter,7,4,2,3,3,2,3,3,3,5,6,2,5,0.71
2011/12,Spring,7.0,5.0,5.0,6.0,4.0,3.0,4.0,4.0,6.0,6.0,6.0,3.0,4.0,0.57
2012/13,Summer,7.0,6.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,7.0,4.0,3.0,0.43
2012/13,Fall,7,3,4,5,4,4,5,3,4,5,6,3,4,0.57
2012/13,Winter,7,5,5,6,3,5,3,3,6,6,6,3,4,0.57
2012/13,Spring,7.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,0.71
2013/14,Summer,11.0,5.0,5.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,5.0,6.0,0.55
2013/14,Fall,11,6,7,6,6,5,8,7,7,8,7,5,6,0.55
2013/14,Winter,11,6,8,7,8,6,8,6,7,7,9,6,5,0.45
2013/14,Spring,11.0,5.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,6.0,0.55
2014/15,Summer,10,4,4,5,4,2,6,6,6,6,6,2,8,0.8
2014/15,Fall,10,4,5,4,5,6,5,6,2,5,7,2,8,0.8
2014/15,Winter,10,5,7,7,5,4,7,6,4,6,5,4,6,0.6
2014/15,Spring,10,5,8,8,7,6,4,4,4,7,7,4,6,0.6
