year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,9.0,9.0,9.0,8.0,6.0,4.0,3.0,4.0,5.0,5.0,7.0,3.0,6.0,0.67
2000/01,Fall,9,8,8,7,6,4,5,5,6,6,7,4,5,0.56
2000/01,Winter,9,9,9,8,8,7,7,6,7,7,8,6,3,0.33
2000/01,Spring,9.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,0.44
2001/02,Summer,9.0,8.0,8.0,7.0,4.0,3.0,1.0,2.0,3.0,4.0,6.0,1.0,8.0,0.89
2001/02,Fall,9,9,9,9,8,7,8,8,8,8,8,7,2,0.22
2001/02,Winter,9,8,8,9,7,6,6,7,8,7,9,6,3,0.33
2001/02,Spring,9.0,8.0,8.0,8.0,7.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,4.0,0.44
2002/03,Summer,9.0,9.0,9.0,8.0,6.0,4.0,4.0,1.0,1.0,4.0,6.0,1.0,8.0,0.89
2002/03,Fall,9,9,9,8,7,7,7,8,8,8,9,7,2,0.22
2002/03,Winter,9,8,9,9,8,7,7,7,7,7,8,7,2,0.22
2002/03,Spring,9.0,9.0,9.0,8.0,7.0,5.0,5.0,5.0,7.0,8.0,8.0,5.0,4.0,0.44
2003/04,Summer,9.0,9.0,9.0,7.0,5.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,7.0,0.78
2003/04,Fall,9,9,9,8,7,6,6,8,7,8,9,6,3,0.33
2003/04,Winter,9,7,8,7,6,6,7,6,7,7,8,6,3,0.33
2003/04,Spring,9.0,9.0,9.0,7.0,6.0,6.0,8.0,7.0,7.0,8.0,8.0,6.0,3.0,0.33
2004/05,Summer,9.0,9.0,9.0,8.0,6.0,3.0,6.0,4.0,5.0,5.0,7.0,3.0,6.0,0.67
2004/05,Fall,9,9,9,9,7,7,6,6,7,8,9,6,3,0.33
2004/05,Winter,9,9,9,8,7,6,6,6,7,7,9,6,3,0.33
2004/05,Spring,9.0,8.0,7.0,6.0,4.0,4.0,2.0,4.0,4.0,5.0,6.0,2.0,7.0,0.78
2005/06,Summer,9.0,8.0,8.0,7.0,5.0,3.0,4.0,4.0,4.0,5.0,6.0,3.0,6.0,0.67
2005/06,Fall,9,8,8,7,6,4,4,5,7,8,8,4,5,0.56
2005/06,Winter,9,9,8,7,5,5,5,6,6,6,7,5,4,0.44
2005/06,Spring,9.0,8.0,7.0,7.0,6.0,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,0.56
2006/07,Summer,9.0,8.0,7.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,7.0,0.78
