year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,268.0,253.0,225.0,185.0,129.0,93.0,103.0,119.0,138.0,153.0,195.0,93.0,175.0,0.65
2000/01,Fall,268,249,227,199,183,175,183,179,181,194,218,175,93,0.35
2000/01,Winter,268,247,224,199,173,162,165,168,178,189,210,162,106,0.4
2000/01,Spring,268.0,231.0,213.0,180.0,140.0,131.0,141.0,158.0,177.0,191.0,209.0,131.0,137.0,0.51
2001/02,Summer,268.0,235.0,212.0,172.0,121.0,94.0,107.0,123.0,138.0,159.0,190.0,94.0,174.0,0.65
2001/02,Fall,268,247,227,203,176,167,180,189,191,204,222,167,101,0.38
2001/02,Winter,268,242,214,191,153,151,162,177,183,195,217,151,117,0.44
2001/02,Spring,268.0,230.0,208.0,168.0,124.0,126.0,137.0,142.0,150.0,176.0,213.0,124.0,144.0,0.54
2002/03,Summer,268.0,245.0,210.0,167.0,113.0,78.0,88.0,99.0,114.0,138.0,180.0,78.0,190.0,0.71
2002/03,Fall,261,247,206,198,181,174,172,160,150,186,217,150,111,0.43
2002/03,Winter,261,241,221,183,154,156,166,171,175,191,218,154,107,0.41
2002/03,Spring,261.0,242.0,221.0,169.0,141.0,135.0,148.0,154.0,166.0,183.0,206.0,135.0,126.0,0.48
2003/04,Summer,261.0,243.0,205.0,162.0,112.0,75.0,85.0,94.0,111.0,135.0,185.0,75.0,186.0,0.71
2003/04,Fall,261,246,229,209,189,187,205,176,168,196,232,168,93,0.36
2003/04,Winter,261,239,227,208,174,168,179,183,192,203,226,168,93,0.36
2003/04,Spring,261.0,247.0,219.0,180.0,147.0,141.0,167.0,168.0,174.0,192.0,217.0,141.0,120.0,0.46
2004/05,Summer,261.0,250.0,220.0,178.0,127.0,84.0,109.0,111.0,123.0,150.0,186.0,84.0,177.0,0.68
2004/05,Fall,262,255,235,199,175,173,179,178,183,199,212,173,89,0.34
2004/05,Winter,262,251,228,186,149,137,157,164,171,189,216,137,125,0.48
2004/05,Spring,262.0,249.0,220.0,153.0,102.0,88.0,112.0,134.0,152.0,177.0,206.0,88.0,174.0,0.66
2005/06,Summer,262.0,241.0,204.0,160.0,108.0,82.0,99.0,121.0,128.0,150.0,189.0,82.0,180.0,0.69
2005/06,Fall,262,245,221,195,159,158,162,167,173,183,207,158,104,0.4
2005/06,Winter,262,246,220,174,130,139,154,152,165,178,204,130,132,0.5
2005/06,Spring,262.0,242.0,213.0,169.0,137.0,127.0,132.0,140.0,150.0,172.0,195.0,127.0,135.0,0.52
2006/07,Summer,262.0,242.0,188.0,139.0,81.0,59.0,65.0,91.0,109.0,142.0,187.0,59.0,203.0,0.77
2006/07,Fall,262,236,206,168,140,135,145,151,157,169,202,135,127,0.48
2006/07,Winter,262,237,205,163,138,127,138,137,145,170,200,127,135,0.52
2006/07,Spring,262.0,241.0,191.0,120.0,62.0,63.0,83.0,100.0,122.0,147.0,186.0,62.0,200.0,0.76
2007/08,Summer,262.0,240.0,195.0,148.0,86.0,52.0,63.0,75.0,89.0,129.0,185.0,52.0,210.0,0.8
2007/08,Fall,262,241,201,165,131,123,139,133,148,168,195,123,139,0.53
2007/08,Winter,262,236,207,143,102,107,116,118,137,155,193,102,160,0.61
2007/08,Spring,262.0,250.0,195.0,129.0,86.0,73.0,102.0,119.0,154.0,169.0,199.0,73.0,189.0,0.72
2008/09,Summer,275.0,258.0,204.0,156.0,122.0,68.0,75.0,102.0,132.0,163.0,206.0,68.0,207.0,0.75
2008/09,Fall,262,244,216,182,166,148,149,173,177,178,213,148,114,0.44
2008/09,Winter,258,244,213,176,140,130,137,135,145,173,210,130,128,0.5
2008/09,Spring,258.0,243.0,213.0,144.0,102.0,89.0,112.0,125.0,136.0,158.0,202.0,89.0,169.0,0.66
2009/10,Summer,277.0,258.0,223.0,172.0,88.0,42.0,59.0,81.0,100.0,137.0,202.0,42.0,235.0,0.85
2009/10,Fall,258,249,219,180,145,128,134,140,164,176,200,128,130,0.5
2009/10,Winter,258,243,218,166,122,114,112,122,128,159,198,112,146,0.57
2009/10,Spring,258.0,246.0,213.0,136.0,69.0,65.0,86.0,107.0,110.0,140.0,185.0,65.0,193.0,0.75
2010/11,Summer,258.0,240.0,210.0,159.0,77.0,50.0,58.0,76.0,86.0,120.0,146.0,50.0,208.0,0.81
2010/11,Fall,258,241,216,165,127,113,129,128,135,153,193,113,145,0.56
2010/11,Winter,258,245,214,164,108,87,95,98,113,133,182,87,171,0.66
2010/11,Spring,258.0,235.0,210.0,145.0,84.0,58.0,78.0,104.0,118.0,151.0,186.0,58.0,200.0,0.78
2011/12,Summer,258.0,163.0,129.0,155.0,91.0,56.0,65.0,84.0,111.0,137.0,183.0,56.0,202.0,0.78
2011/12,Fall,258,234,195,133,88,91,113,103,111,138,174,88,170,0.66
2011/12,Winter,256,229,187,120,64,55,75,86,82,102,180,55,201,0.79
2011/12,Spring,256.0,242.0,199.0,118.0,59.0,52.0,78.0,82.0,87.0,123.0,168.0,52.0,204.0,0.8
2012/13,Summer,269.0,243.0,212.0,159.0,94.0,102.0,121.0,106.0,124.0,144.0,177.0,94.0,175.0,0.65
2012/13,Fall,269,252,226,180,140,108,118,131,126,150,190,108,161,0.6
2012/13,Winter,269,254,222,165,110,103,117,151,134,162,191,103,166,0.62
