year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,252.0,240.0,213.0,173.0,119.0,85.0,97.0,112.0,130.0,145.0,185.0,85.0,167.0,0.66
2000/01,Fall,252,237,216,190,174,167,174,171,173,184,207,167,85,0.34
2000/01,Winter,252,233,211,187,161,151,155,159,167,178,198,151,101,0.4
2000/01,Spring,252.0,221.0,203.0,172.0,131.0,122.0,132.0,149.0,168.0,181.0,200.0,122.0,130.0,0.52
2001/02,Summer,252.0,222.0,198.0,159.0,111.0,85.0,100.0,115.0,129.0,149.0,178.0,85.0,167.0,0.66
2001/02,Fall,252,234,214,191,165,156,168,177,179,192,210,156,96,0.38
2001/02,Winter,252,231,203,179,143,142,153,167,172,185,205,142,110,0.44
2001/02,Spring,252.0,219.0,197.0,157.0,114.0,118.0,128.0,134.0,142.0,167.0,203.0,114.0,138.0,0.55
2002/03,Summer,252.0,233.0,198.0,156.0,104.0,71.0,81.0,94.0,109.0,131.0,171.0,71.0,181.0,0.72
2002/03,Fall,12,12,12,11,11,10,11,12,12,12,12,10,2,0.17
2002/03,Winter,12,12,12,10,9,10,11,11,11,12,12,9,3,0.25
2002/03,Spring,12.0,12.0,12.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,11.0,9.0,3.0,0.25
2003/04,Summer,12.0,12.0,12.0,12.0,8.0,8.0,8.0,9.0,11.0,11.0,11.0,8.0,4.0,0.33
2003/04,Fall,252,237,220,201,182,181,199,168,161,188,223,161,91,0.36
2003/04,Winter,252,232,219,201,168,162,172,177,185,196,218,162,90,0.36
2003/04,Spring,252.0,238.0,210.0,173.0,141.0,135.0,159.0,161.0,167.0,184.0,209.0,135.0,117.0,0.46
2004/05,Summer,252.0,241.0,211.0,170.0,121.0,81.0,103.0,107.0,118.0,145.0,179.0,81.0,171.0,0.68
2004/05,Fall,253,246,226,190,168,166,173,172,176,191,203,166,87,0.34
2004/05,Winter,253,242,219,178,142,131,151,158,164,182,207,131,122,0.48
2004/05,Spring,253.0,241.0,213.0,147.0,98.0,84.0,110.0,130.0,148.0,172.0,200.0,84.0,169.0,0.67
2005/06,Summer,253.0,233.0,196.0,153.0,103.0,79.0,95.0,117.0,124.0,145.0,183.0,79.0,174.0,0.69
2005/06,Fall,253,237,213,188,153,154,158,162,166,175,199,153,100,0.4
2005/06,Winter,253,237,212,167,125,134,149,146,159,172,197,125,128,0.51
2005/06,Spring,253.0,234.0,206.0,162.0,131.0,122.0,128.0,134.0,146.0,167.0,189.0,122.0,131.0,0.52
2006/07,Summer,253.0,234.0,181.0,134.0,79.0,57.0,63.0,87.0,106.0,138.0,182.0,57.0,196.0,0.77
2006/07,Fall,253,228,198,161,136,131,140,146,152,163,194,131,122,0.48
2006/07,Winter,253,228,197,156,132,122,132,131,139,163,192,122,131,0.52
2006/07,Spring,253.0,233.0,184.0,115.0,60.0,61.0,78.0,96.0,117.0,141.0,180.0,60.0,193.0,0.76
2007/08,Summer,253.0,232.0,188.0,143.0,84.0,51.0,61.0,73.0,86.0,123.0,178.0,51.0,202.0,0.8
2007/08,Fall,253,232,193,157,125,117,132,126,141,160,188,117,136,0.54
2007/08,Winter,253,227,199,137,98,103,112,114,133,150,186,98,155,0.61
2007/08,Spring,253.0,243.0,187.0,123.0,81.0,69.0,98.0,115.0,148.0,163.0,192.0,69.0,184.0,0.73
2008/09,Summer,266.0,250.0,196.0,150.0,118.0,66.0,74.0,99.0,129.0,159.0,201.0,66.0,200.0,0.75
2008/09,Fall,253,236,209,175,160,142,143,166,171,172,205,142,111,0.44
2008/09,Winter,249,236,205,169,134,126,135,132,141,167,203,126,123,0.49
2008/09,Spring,249.0,235.0,205.0,137.0,98.0,86.0,108.0,121.0,131.0,152.0,195.0,86.0,163.0,0.65
2009/10,Summer,268.0,249.0,215.0,167.0,85.0,41.0,56.0,78.0,97.0,133.0,195.0,41.0,227.0,0.85
2009/10,Fall,249,240,211,172,139,124,131,137,159,170,193,124,125,0.5
2009/10,Winter,249,235,210,160,117,110,109,117,122,152,190,109,140,0.56
2009/10,Spring,249.0,238.0,205.0,130.0,64.0,62.0,84.0,104.0,106.0,134.0,178.0,62.0,187.0,0.75
2010/11,Summer,249.0,233.0,203.0,154.0,74.0,49.0,57.0,74.0,84.0,116.0,140.0,49.0,200.0,0.8
2010/11,Fall,249,234,209,159,121,109,124,123,129,147,186,109,140,0.56
2010/11,Winter,249,237,206,158,103,82,93,95,109,127,174,82,167,0.67
2010/11,Spring,249.0,227.0,202.0,141.0,82.0,56.0,75.0,102.0,115.0,145.0,179.0,56.0,193.0,0.78
2011/12,Summer,249.0,155.0,122.0,149.0,88.0,53.0,64.0,83.0,106.0,133.0,175.0,53.0,196.0,0.79
2011/12,Fall,249,227,188,126,82,87,111,101,107,131,166,82,167,0.67
2011/12,Winter,247,222,180,114,62,52,73,83,80,96,173,52,195,0.79
2011/12,Spring,247.0,234.0,191.0,111.0,53.0,48.0,74.0,76.0,83.0,117.0,160.0,48.0,199.0,0.81
2012/13,Summer,260.0,234.0,204.0,152.0,90.0,100.0,120.0,104.0,121.0,138.0,171.0,90.0,170.0,0.65
2012/13,Fall,260,243,218,173,134,104,112,126,122,142,182,104,156,0.6
2012/13,Winter,260,245,213,157,104,98,112,145,131,156,184,98,162,0.62
2012/13,Spring,259.0,250.0,214.0,121.0,79.0,52.0,69.0,93.0,114.0,137.0,168.0,52.0,207.0,0.8
2013/14,Summer,259.0,242.0,210.0,176.0,136.0,114.0,102.0,87.0,104.0,169.0,202.0,87.0,172.0,0.66
2013/14,Fall,259,232,202,158,116,94,109,102,122,137,181,94,165,0.64
2013/14,Winter,259,231,209,147,110,98,99,108,110,135,169,98,161,0.62
2013/14,Spring,259.0,243.0,213.0,136.0,72.0,61.0,80.0,84.0,97.0,119.0,163.0,61.0,198.0,0.76
2014/15,Summer,259,238,207,152,98,75,76,75,94,134,191,75,184,0.71
2014/15,Fall,259,242,206,169,126,126,111,118,136,155,184,111,148,0.57
2014/15,Winter,259,234,212,137,94,94,94,110,126,163,182,94,165,0.64
2014/15,Spring,259,244,198,122,72,55,53,71,80,114,164,53,206,0.8
