year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,3,2,1,2,2,2,1,1,1,1,1,1,2,0.67
2000/01,Fall,3,2,2,1,1,2,2,1,1,2,2,1,2,0.67
2000/01,Winter,3,2,2,2,2,2,1,1,2,2,2,1,2,0.67
2000/01,Spring,3,2,2,1,1,2,2,2,2,2,1,1,2,0.67
2001/02,Summer,3,2,3,3,3,3,3,3,3,3,3,2,1,0.33
2001/02,Fall,3,2,2,1,1,2,2,2,2,2,2,1,2,0.67
2001/02,Winter,3,1,1,1,1,1,1,1,1,1,1,1,2,0.67
2001/02,Spring,3,1,1,1,1,1,1,1,1,1,1,1,2,0.67
2002/03,Summer,3,1,1,1,1,1,1,2,2,1,1,1,2,0.67
2002/03,Fall,188,174,137,132,116,111,109,95,87,121,148,87,101,0.54
2002/03,Winter,188,171,150,116,92,94,103,107,111,126,149,92,96,0.51
2002/03,Spring,188,170,151,108,86,83,91,99,106,123,142,83,105,0.56
2003/04,Summer,188.0,173.0,142.0,107.0,68.0,43.0,47.0,53.0,63.0,85.0,128.0,43.0,145.0,0.77
2003/04,Fall,188.0,173.0,142.0,107.0,68.0,43.0,47.0,53.0,63.0,85.0,128.0,43.0,145.0,0.77
2003/04,Winter,188.0,173.0,142.0,107.0,68.0,43.0,47.0,53.0,63.0,85.0,128.0,43.0,145.0,0.77
2003/04,Spring,188.0,173.0,142.0,107.0,68.0,43.0,47.0,53.0,63.0,85.0,128.0,43.0,145.0,0.77
