year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,533.0,209.0,173.0,110.0,84.0,92.0,94.0,108.0,138.0,178.0,215.0,84.0,449.0,0.84
2000/01,Fall,1398,564,443,326,265,242,233,241,277,327,426,233,1165,0.83
2000/01,Winter,1398,534,375,281,226,218,214,218,232,314,377,214,1184,0.85
2000/01,Spring,1398.0,508.0,368.0,252.0,184.0,154.0,149.0,156.0,183.0,250.0,318.0,149.0,1249.0,0.89
2001/02,Summer,1398.0,913.0,759.0,570.0,471.0,503.0,539.0,552.0,619.0,688.0,815.0,471.0,927.0,0.66
2001/02,Fall,1398,535,301,209,167,142,147,142,186,235,323,142,1256,0.9
2001/02,Winter,1398,447,237,157,130,114,122,121,162,213,316,114,1284,0.92
2001/02,Spring,1398.0,419.0,249.0,167.0,117.0,102.0,115.0,118.0,149.0,201.0,266.0,102.0,1296.0,0.93
2002/03,Summer,1395.0,837.0,586.0,418.0,288.0,272.0,355.0,349.0,396.0,485.0,636.0,272.0,1123.0,0.81
2002/03,Fall,1395,464,243,152,116,107,114,109,151,216,301,107,1288,0.92
2002/03,Winter,1395,408,211,116,81,81,79,82,118,173,283,79,1316,0.94
2002/03,Spring,1394.0,451.0,237.0,137.0,102.0,91.0,84.0,90.0,153.0,214.0,294.0,84.0,1310.0,0.94
2003/04,Summer,1101.0,960.0,891.0,810.0,732.0,710.0,747.0,766.0,794.0,825.0,882.0,710.0,391.0,0.36
2003/04,Fall,1104,380,296,197,147,139,129,129,147,192,237,129,975,0.88
2003/04,Winter,1112,366,285,193,126,105,110,106,129,163,209,105,1007,0.91
2003/04,Spring,1112.0,353.0,258.0,164.0,119.0,108.0,117.0,119.0,145.0,183.0,234.0,108.0,1004.0,0.9
2004/05,Summer,1112.0,927.0,870.0,770.0,726.0,723.0,722.0,719.0,745.0,778.0,836.0,719.0,393.0,0.35
2004/05,Fall,1112,383,256,170,109,106,112,101,133,183,237,101,1011,0.91
2004/05,Winter,1112,374,266,160,119,97,104,101,129,155,210,97,1015,0.91
2004/05,Spring,1112.0,362.0,266.0,169.0,122.0,117.0,109.0,120.0,148.0,181.0,225.0,109.0,1003.0,0.9
2005/06,Summer,1090.0,886.0,810.0,763.0,708.0,687.0,685.0,683.0,712.0,738.0,804.0,683.0,407.0,0.37
2005/06,Fall,1090,436,298,177,113,110,107,110,128,179,238,107,983,0.9
2005/06,Winter,1030,328,225,161,101,89,85,91,113,138,177,85,945,0.92
2005/06,Spring,1031.0,280.0,195.0,124.0,93.0,79.0,81.0,87.0,102.0,140.0,178.0,79.0,952.0,0.92
2006/07,Summer,990.0,824.0,767.0,695.0,647.0,633.0,635.0,642.0,663.0,691.0,730.0,633.0,357.0,0.36
2006/07,Fall,990,391,271,172,127,127,125,117,151,180,234,117,873,0.88
2006/07,Winter,990,335,244,188,133,116,122,130,152,195,225,116,874,0.88
2006/07,Spring,990.0,323.0,261.0,185.0,130.0,105.0,97.0,94.0,119.0,166.0,219.0,94.0,896.0,0.91
2007/08,Summer,990.0,814.0,742.0,694.0,639.0,609.0,608.0,608.0,638.0,670.0,713.0,608.0,382.0,0.39
2007/08,Fall,2391,1193,814,585,481,442,460,457,550,688,847,442,1949,0.82
2007/08,Winter,2385,1071,703,540,371,341,330,325,410,553,705,325,2060,0.86
2007/08,Spring,2385.0,946.0,738.0,543.0,417.0,341.0,321.0,332.0,394.0,551.0,682.0,321.0,2064.0,0.87
2008/09,Summer,2385.0,1865.0,1765.0,1610.0,1479.0,1435.0,1418.0,1405.0,1419.0,1473.0,1598.0,1405.0,980.0,0.41
2008/09,Fall,2390,1192,866,580,359,281,252,274,367,495,701,252,2138,0.89
2008/09,Winter,2390,1413,1072,681,436,325,297,266,316,410,616,266,2124,0.89
2008/09,Spring,2390.0,1240.0,833.0,522.0,275.0,215.0,215.0,219.0,260.0,419.0,656.0,215.0,2175.0,0.91
2009/10,Summer,2390.0,2015.0,1808.0,1598.0,1403.0,1350.0,1343.0,1341.0,1398.0,1526.0,1710.0,1341.0,1049.0,0.44
2009/10,Fall,2389,1068,784,515,332,280,287,296,344,449,681,280,2109,0.88
2009/10,Winter,2396,998,722,420,213,151,176,168,204,331,564,151,2245,0.94
2009/10,Spring,2396.0,956.0,750.0,472.0,272.0,193.0,179.0,178.0,229.0,361.0,543.0,178.0,2218.0,0.93
2010/11,Summer,2396.0,2002.0,1792.0,1612.0,1401.0,1295.0,1313.0,1346.0,1462.0,1595.0,1724.0,1295.0,1101.0,0.46
2010/11,Fall,2394,1048,692,399,195,130,147,144,181,291,480,130,2264,0.95
2010/11,Winter,2394,1052,706,421,229,157,120,111,143,266,461,111,2283,0.95
2010/11,Spring,2405.0,968.0,795.0,524.0,290.0,230.0,221.0,218.0,261.0,338.0,510.0,218.0,2187.0,0.91
2011/12,Summer,2408.0,1942.0,1738.0,1510.0,1244.0,1136.0,1190.0,1216.0,1283.0,1385.0,1592.0,1136.0,1272.0,0.53
2011/12,Fall,2411,977,718,376,205,160,165,155,206,309,496,155,2256,0.94
2011/12,Winter,2411,969,771,449,254,187,179,195,291,425,569,179,2232,0.93
2011/12,Spring,2411.0,954.0,766.0,536.0,365.0,292.0,280.0,271.0,281.0,366.0,533.0,271.0,2140.0,0.89
2012/13,Summer,2411.0,1950.0,1741.0,1546.0,1307.0,1216.0,1218.0,1226.0,1298.0,1404.0,1591.0,1216.0,1195.0,0.5
2012/13,Fall,2411,912,727,460,281,225,189,179,230,339,485,179,2232,0.93
2012/13,Winter,2411,865,687,419,194,101,89,81,161,305,478,81,2330,0.97
2012/13,Spring,2411.0,946.0,820.0,578.0,372.0,240.0,214.0,247.0,297.0,409.0,579.0,214.0,2197.0,0.91
2013/14,Summer,2411.0,1962.0,1806.0,1624.0,1375.0,1268.0,1280.0,1258.0,1326.0,1439.0,1610.0,1258.0,1153.0,0.48
2013/14,Fall,2411,910,705,464,237,145,136,123,190,296,464,123,2288,0.95
2013/14,Winter,2411,936,676,416,181,158,152,142,210,327,501,142,2269,0.94
2013/14,Spring,2411.0,927.0,757.0,496.0,285.0,189.0,179.0,173.0,224.0,342.0,460.0,173.0,2238.0,0.93
2014/15,Summer,2407,1991,1814,1560,1357,1270,1288,1302,1368,1506,1660,1270,1137,0.47
2014/15,Fall,2403,813,612,293,106,95,107,100,138,261,425,95,2308,0.96
2014/15,Winter,2403,832,619,296,137,108,107,96,201,354,514,96,2307,0.96
2014/15,Spring,2403,993,731,539,376,312,313,303,341,424,607,303,2100,0.87
