year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,9.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0,6.0,0.67
2000/01,Fall,9,3,2,3,3,3,3,3,3,3,5,2,7,0.78
2000/01,Winter,9,2,2,2,2,3,3,3,3,4,5,2,7,0.78
2000/01,Spring,9.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,2.0,7.0,0.78
2001/02,Summer,9.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,7.0,2.0,7.0,0.78
2001/02,Fall,9,5,3,3,3,4,4,5,5,6,6,3,6,0.67
2001/02,Winter,9,4,4,3,4,4,4,5,5,6,7,3,6,0.67
2001/02,Spring,9.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,8.0,3.0,6.0,0.67
2002/03,Summer,9.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,6.0,8.0,3.0,6.0,0.67
2002/03,Fall,9,5,4,3,3,3,3,3,4,5,7,3,6,0.67
2002/03,Winter,9,3,2,1,1,1,2,2,3,4,6,1,8,0.89
2002/03,Spring,9.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,6.0,1.0,8.0,0.89
2003/04,Summer,9.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,7.0,1.0,8.0,0.89
2003/04,Fall,9,3,2,2,2,2,2,2,3,4,7,2,7,0.78
2003/04,Winter,9,4,3,3,3,3,3,3,4,5,7,3,6,0.67
2003/04,Spring,9.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,6.0,3.0,6.0,0.67
2004/05,Summer,11.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,9.0,5.0,6.0,0.55
2004/05,Fall,11,6,4,4,3,3,4,4,6,7,8,3,8,0.73
2004/05,Winter,11,5,4,4,3,3,3,4,5,6,8,3,8,0.73
2004/05,Spring,11.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,8.0,3.0,8.0,0.73
2005/06,Summer,10.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,7.0,8.0,3.0,7.0,0.7
2005/06,Fall,10,3,3,3,2,1,3,3,6,7,9,1,9,0.9
2005/06,Winter,10,5,5,5,4,4,4,4,4,7,8,4,6,0.6
2005/06,Spring,10.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,8.0,4.0,6.0,0.6
2006/07,Summer,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,5.0,0.63
2006/07,Fall,8,2,2,2,2,2,2,2,3,5,5,2,6,0.75
2006/07,Winter,8,3,2,2,1,1,1,2,3,4,5,1,7,0.88
2006/07,Spring,8.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,1.0,7.0,0.88
2007/08,Summer,8.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,2.0,6.0,0.75
2007/08,Fall,8,2,1,2,2,2,2,3,4,5,6,1,7,0.88
2007/08,Winter,8,3,3,2,3,3,3,5,5,6,7,2,6,0.75
2007/08,Spring,8.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,6.0,0.75
2008/09,Summer,8.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,1.0,7.0,0.88
2008/09,Fall,8,3,3,3,2,2,2,4,4,5,6,2,6,0.75
2008/09,Winter,8,3,3,3,2,3,4,5,6,6,5,2,6,0.75
