year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,403.0,121.0,103.0,88.0,75.0,89.0,102.0,110.0,104.0,137.0,169.0,75.0,328.0,0.81
2000/01,Fall,571,139,166,172,170,156,156,159,161,171,188,139,432,0.76
2000/01,Winter,573,148,175,173,167,165,161,170,161,168,198,148,425,0.74
2000/01,Spring,573.0,158.0,182.0,175.0,168.0,166.0,162.0,167.0,173.0,185.0,203.0,158.0,415.0,0.72
2001/02,Summer,573.0,232.0,222.0,201.0,195.0,200.0,191.0,204.0,215.0,242.0,273.0,191.0,382.0,0.67
2001/02,Fall,571,150,176,166,170,154,158,176,173,190,191,150,421,0.74
2001/02,Winter,571,157,181,178,188,170,173,173,179,198,225,157,414,0.73
2001/02,Spring,571.0,162.0,183.0,181.0,180.0,169.0,168.0,164.0,192.0,207.0,228.0,162.0,409.0,0.72
2002/03,Summer,571.0,209.0,207.0,192.0,176.0,167.0,168.0,167.0,192.0,229.0,260.0,167.0,404.0,0.71
2002/03,Fall,558,153,163,153,146,139,139,146,159,172,194,139,419,0.75
2002/03,Winter,558,139,150,136,133,129,127,128,147,159,187,127,431,0.77
2002/03,Spring,557.0,159.0,159.0,152.0,146.0,139.0,144.0,140.0,164.0,179.0,201.0,139.0,418.0,0.75
2003/04,Summer,555.0,188.0,169.0,157.0,145.0,140.0,151.0,149.0,166.0,201.0,239.0,140.0,415.0,0.75
2003/04,Fall,555,142,160,152,150,145,137,135,154,173,208,135,420,0.76
2003/04,Winter,556,142,153,153,140,147,138,130,153,155,198,130,426,0.77
2003/04,Spring,509.0,121.0,124.0,117.0,113.0,116.0,84.0,115.0,134.0,152.0,181.0,84.0,425.0,0.83
2004/05,Summer,508.0,150.0,123.0,119.0,113.0,116.0,117.0,121.0,144.0,182.0,221.0,113.0,395.0,0.78
2004/05,Fall,502,114,106,110,102,99,98,105,120,142,172,98,404,0.8
2004/05,Winter,502,165,142,119,101,98,92,105,119,144,173,92,410,0.82
2004/05,Spring,475.0,189.0,159.0,136.0,117.0,121.0,110.0,125.0,139.0,167.0,202.0,110.0,365.0,0.77
2005/06,Summer,494.0,189.0,166.0,146.0,127.0,132.0,127.0,133.0,148.0,178.0,211.0,127.0,367.0,0.74
2005/06,Fall,496,198,156,138,133,130,119,132,155,189,227,119,377,0.76
2005/06,Winter,494,178,140,139,129,126,115,119,136,171,201,115,379,0.77
2005/06,Spring,494.0,204.0,154.0,139.0,141.0,128.0,126.0,132.0,143.0,164.0,192.0,126.0,368.0,0.74
2006/07,Summer,495.0,200.0,182.0,177.0,153.0,132.0,142.0,165.0,185.0,192.0,222.0,132.0,363.0,0.73
2006/07,Fall,477,188,155,136,130,120,112,126,134,161,202,112,365,0.77
2006/07,Winter,477,176,134,122,116,115,113,128,148,176,227,113,364,0.76
2006/07,Spring,477.0,174.0,128.0,124.0,123.0,116.0,112.0,118.0,141.0,164.0,193.0,112.0,365.0,0.77
2007/08,Summer,477.0,190.0,155.0,140.0,136.0,127.0,113.0,126.0,141.0,167.0,209.0,113.0,364.0,0.76
2007/08,Fall,477,199,153,146,131,132,125,140,151,178,217,125,352,0.74
2007/08,Winter,365,116,82,73,75,70,60,73,97,112,137,60,305,0.84
2007/08,Spring,365.0,138.0,89.0,78.0,71.0,69.0,66.0,78.0,91.0,115.0,174.0,66.0,299.0,0.82
2008/09,Summer,363.0,108.0,77.0,79.0,91.0,86.0,85.0,102.0,123.0,139.0,175.0,77.0,286.0,0.79
2008/09,Fall,363,86,78,88,78,74,73,71,82,104,139,71,292,0.8
2008/09,Winter,363,91,83,76,74,79,72,82,93,108,144,72,291,0.8
2008/09,Spring,369.0,87.0,95.0,81.0,76.0,85.0,72.0,82.0,92.0,111.0,148.0,72.0,297.0,0.8
2009/10,Summer,367.0,83.0,88.0,93.0,92.0,86.0,75.0,82.0,100.0,116.0,152.0,75.0,292.0,0.8
2009/10,Fall,367,137,109,97,92,88,78,92,105,126,155,78,289,0.79
2009/10,Winter,379,111,100,91,81,82,80,83,98,120,159,80,299,0.79
2009/10,Spring,379.0,120.0,103.0,93.0,76.0,81.0,74.0,94.0,98.0,114.0,137.0,74.0,305.0,0.8
2010/11,Summer,379.0,123.0,114.0,113.0,103.0,97.0,88.0,95.0,107.0,135.0,165.0,88.0,291.0,0.77
2010/11,Fall,379,126,121,104,99,93,89,94,110,126,151,89,290,0.77
2010/11,Winter,379,109,108,97,85,88,87,90,110,132,161,85,294,0.78
2010/11,Spring,379.0,114.0,102.0,95.0,92.0,86.0,81.0,86.0,104.0,120.0,152.0,81.0,298.0,0.79
2011/12,Summer,379.0,94.0,99.0,98.0,99.0,82.0,82.0,99.0,112.0,162.0,184.0,82.0,297.0,0.78
2011/12,Fall,381,107,94,84,81,83,74,94,91,137,171,74,307,0.81
2011/12,Winter,381,91,93,89,87,83,74,83,86,156,176,74,307,0.81
2011/12,Spring,381.0,104.0,113.0,89.0,87.0,81.0,92.0,86.0,102.0,150.0,180.0,81.0,300.0,0.79
2012/13,Summer,381.0,117.0,123.0,107.0,98.0,83.0,82.0,93.0,111.0,131.0,166.0,82.0,299.0,0.78
2012/13,Fall,381,133,93,87,67,64,61,65,80,108,143,61,320,0.84
2012/13,Winter,381,132,105,85,67,75,65,84,93,114,159,65,316,0.83
2012/13,Spring,381.0,132.0,98.0,79.0,72.0,76.0,78.0,78.0,91.0,120.0,155.0,72.0,309.0,0.81
2013/14,Summer,381.0,129.0,101.0,91.0,83.0,85.0,80.0,78.0,88.0,116.0,169.0,78.0,303.0,0.8
2013/14,Fall,381,102,74,67,62,66,64,66,90,120,159,62,319,0.84
2013/14,Winter,380,117,82,71,58,71,66,73,84,111,144,58,322,0.85
2013/14,Spring,380.0,112.0,86.0,77.0,71.0,73.0,76.0,73.0,98.0,114.0,152.0,71.0,309.0,0.81
2014/15,380,128,105,99,87,74,76,73,92,116,163,73,307,0.81
2014/15,380,121,97,87,70,78,66,69,85,120,156,66,314,0.83
2014/15,380,115,66,63,66,63,61,64,79,102,127,61,319,0.84
2014/15,380,113,89,76,63,68,59,64,62,79,117,59,321,0.84
