year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.67
2000/01,Fall,38,28,30,29,27,26,24,25,25,28,30,24,14,0.37
2000/01,Winter,38,31,32,31,31,27,28,27,28,28,30,27,11,0.29
2000/01,Spring,38.0,29.0,31.0,30.0,30.0,27.0,27.0,26.0,27.0,28.0,32.0,26.0,12.0,0.32
2001/02,Summer,37.0,19.0,22.0,21.0,20.0,21.0,21.0,21.0,21.0,22.0,20.0,19.0,18.0,0.49
2001/02,Fall,37,30,31,29,30,27,26,26,26,29,31,26,11,0.3
2001/02,Winter,37,31,31,30,31,28,26,27,28,31,31,26,11,0.3
2001/02,Spring,37.0,26.0,27.0,27.0,27.0,22.0,22.0,23.0,22.0,27.0,27.0,22.0,15.0,0.41
2002/03,Summer,38.0,15.0,17.0,17.0,17.0,18.0,17.0,18.0,18.0,17.0,17.0,15.0,23.0,0.61
2002/03,Fall,41,34,35,34,33,28,29,29,30,33,34,28,13,0.32
2002/03,Winter,41,32,33,31,31,27,27,27,28,32,33,27,14,0.34
2002/03,Spring,41.0,32.0,31.0,30.0,30.0,27.0,26.0,27.0,27.0,31.0,32.0,26.0,15.0,0.37
2003/04,Summer,48.0,20.0,20.0,21.0,20.0,20.0,22.0,22.0,20.0,21.0,22.0,20.0,28.0,0.58
2003/04,Fall,48,38,39,37,37,37,35,34,36,38,38,34,14,0.29
2003/04,Winter,48,39,39,38,37,37,34,34,35,37,38,34,14,0.29
2003/04,Spring,34.0,25.0,25.0,25.0,24.0,22.0,18.0,20.0,21.0,24.0,31.0,18.0,16.0,0.47
2004/05,Summer,34.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,16.0,0.47
2004/05,Fall,34,25,25,24,23,22,22,22,20,22,24,20,14,0.41
2004/05,Winter,34,18,18,17,16,15,14,15,14,15,16,14,20,0.59
2004/05,Spring,128.0,54.0,52.0,51.0,51.0,51.0,52.0,51.0,52.0,49.0,50.0,49.0,79.0,0.62
