year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,106.0,24.0,23.0,19.0,15.0,17.0,20.0,20.0,30.0,43.0,61.0,15.0,91.0,0.86
2000/01,Fall,106,1,1,0,1,1,0,3,11,27,55,0,106,1.0
2000/01,Winter,106,0,0,0,0,2,1,0,7,23,53,0,106,1.0
2000/01,Spring,104.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,26.0,49.0,0.0,104.0,1.0
2001/02,Summer,104.0,20.0,14.0,8.0,9.0,11.0,13.0,16.0,26.0,44.0,69.0,8.0,96.0,0.92
2001/02,Fall,104,1,1,0,0,1,0,4,17,38,55,0,104,1.0
2001/02,Winter,104,0,0,0,0,1,1,3,21,45,69,0,104,1.0
2001/02,Spring,104.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,22.0,50.0,71.0,0.0,104.0,1.0
2002/03,Summer,104.0,24.0,16.0,9.0,5.0,6.0,6.0,7.0,29.0,55.0,69.0,5.0,99.0,0.95
2002/03,Fall,104,3,0,0,1,2,1,5,27,50,69,0,104,1.0
2002/03,Winter,104,0,0,0,0,2,0,2,22,42,65,0,104,1.0
2002/03,Spring,104.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,49.0,72.0,0.0,104.0,1.0
2003/04,Summer,104.0,27.0,17.0,11.0,6.0,9.0,10.0,14.0,33.0,56.0,77.0,6.0,98.0,0.94
2003/04,Fall,104,2,0,0,0,0,0,2,24,51,77,0,104,1.0
2003/04,Winter,104,0,0,0,0,0,0,3,25,41,74,0,104,1.0
2003/04,Spring,104.0,4.0,1.0,1.0,0.0,1.0,1.0,6.0,25.0,53.0,75.0,0.0,104.0,1.0
2004/05,Summer,104.0,22.0,8.0,6.0,5.0,5.0,6.0,13.0,31.0,54.0,72.0,5.0,99.0,0.95
2004/05,Fall,104,2,1,0,0,0,0,3,19,44,70,0,104,1.0
2004/05,Winter,189,68,32,8,2,3,4,6,29,62,92,2,187,0.99
2004/05,Spring,187.0,74.0,42.0,22.0,11.0,14.0,8.0,17.0,40.0,73.0,109.0,8.0,179.0,0.96
2005/06,Summer,186.0,79.0,51.0,32.0,17.0,23.0,26.0,33.0,52.0,84.0,115.0,17.0,169.0,0.91
2005/06,Fall,186,59,14,2,1,2,2,5,28,70,106,1,185,0.99
2005/06,Winter,186,49,0,0,0,0,1,3,28,63,99,0,186,1.0
