year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,22.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,19.0,0.86
2000/01,Fall,12,2,2,2,3,3,3,3,4,4,4,2,10,0.83
2000/01,Winter,12,2,2,3,1,1,2,2,2,3,5,1,11,0.92
2000/01,Spring,12.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,11.0,0.92
2001/02,Summer,13.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0,6.0,3.0,10.0,0.77
2001/02,Fall,13,3,2,3,3,6,5,5,4,6,6,2,11,0.85
2001/02,Winter,13,4,3,3,4,3,4,3,5,5,6,3,10,0.77
2001/02,Spring,13.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,0.54
2002/03,Summer,14.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,7.0,8.0,5.0,9.0,0.64
2002/03,Fall,14,7,7,6,7,8,7,7,8,7,7,6,8,0.57
2002/03,Winter,14,6,6,6,6,7,6,5,6,5,7,5,9,0.64
2002/03,Spring,14.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,8.0,9.0,5.0,9.0,0.64
2003/04,Summer,14.0,7.0,6.0,7.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,8.0,0.57
2003/04,Fall,14,5,5,4,5,6,6,5,8,7,8,4,10,0.71
2003/04,Winter,14,5,5,4,3,5,5,6,6,5,7,3,11,0.79
2003/04,Spring,13.0,5.0,3.0,1.0,2.0,4.0,4.0,4.0,6.0,3.0,3.0,1.0,12.0,0.92
2004/05,Summer,13.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,10.0,0.77
2004/05,Fall,15,5,3,3,4,3,3,3,5,4,5,3,12,0.8
2004/05,Winter,15,2,2,3,3,4,2,2,3,2,4,2,13,0.87
2004/05,Spring,13.0,3.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,10.0,0.77
2005/06,Summer,10.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,0.7
2005/06,Fall,10,5,5,4,4,5,5,3,3,4,4,3,7,0.7
2005/06,Winter,10,3,4,4,4,5,5,4,3,3,3,3,7,0.7
2005/06,Spring,10.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,7.0,0.7
2006/07,Summer,10.0,3.0,4.0,5.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,3.0,7.0,0.7
2006/07,Fall,9,2,3,4,3,3,3,2,3,3,3,2,7,0.78
2006/07,Winter,9,3,2,1,2,2,2,2,2,2,2,1,8,0.89
2006/07,Spring,9.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,7.0,0.78
2007/08,Summer,9.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,8.0,0.89
2007/08,Fall,9,3,3,3,3,3,3,3,3,3,2,2,7,0.78
2007/08,Winter,9,3,3,2,3,1,2,2,3,2,2,1,8,0.89
2007/08,Spring,9.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,7.0,0.78
2008/09,Summer,8.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,0.63
2008/09,Fall,8,3,4,4,4,4,5,4,4,4,3,3,5,0.63
2008/09,Winter,8,4,3,2,3,3,3,3,3,3,2,2,6,0.75
2008/09,Spring,8.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,6.0,0.75
2009/10,Summer,8.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,0.75
2009/10,Fall,8,3,3,5,4,3,2,3,3,3,1,1,7,0.88
2009/10,Winter,8,3,4,3,3,3,4,4,4,3,2,2,6,0.75
2009/10,Spring,8.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,7.0,0.88
