year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,130.0,28.0,33.0,31.0,23.0,25.0,34.0,40.0,22.0,21.0,28.0,21.0,109.0,0.84
2000/01,Fall,273,82,110,114,113,102,107,112,101,89,74,74,199,0.73
2000/01,Winter,275,93,123,114,115,116,111,124,107,92,88,88,187,0.68
2000/01,Spring,280.0,105.0,130.0,123.0,116.0,115.0,115.0,121.0,113.0,104.0,99.0,99.0,181.0,0.65
2001/02,Summer,278.0,123.0,140.0,136.0,130.0,131.0,125.0,134.0,122.0,115.0,107.0,107.0,171.0,0.62
2001/02,Fall,276,91,117,109,109,93,104,116,99,90,69,69,207,0.75
2001/02,Winter,275,97,119,116,125,115,122,118,98,90,92,90,185,0.67
2001/02,Spring,275.0,104.0,121.0,117.0,115.0,111.0,114.0,110.0,108.0,90.0,91.0,90.0,185.0,0.67
2002/03,Summer,276.0,117.0,134.0,129.0,123.0,116.0,119.0,117.0,103.0,96.0,96.0,96.0,180.0,0.65
2002/03,Fall,260,82,97,90,84,79,82,84,68,58,60,58,202,0.78
2002/03,Winter,259,74,87,78,78,77,78,76,69,62,62,62,197,0.76
2002/03,Spring,258.0,86.0,92.0,85.0,82.0,84.0,88.0,82.0,78.0,64.0,63.0,63.0,195.0,0.76
2003/04,Summer,249.0,73.0,88.0,82.0,82.0,77.0,83.0,76.0,64.0,59.0,62.0,59.0,190.0,0.76
2003/04,Fall,249,69,89,83,81,75,74,72,60,49,55,49,200,0.8
2003/04,Winter,250,69,81,78,74,79,74,65,54,44,50,44,206,0.82
2003/04,Spring,218.0,59.0,68.0,63.0,62.0,60.0,40.0,58.0,53.0,45.0,46.0,40.0,178.0,0.82
2004/05,Summer,218.0,58.0,65.0,62.0,62.0,60.0,64.0,61.0,56.0,48.0,49.0,48.0,170.0,0.78
2004/05,Fall,212,62,60,62,63,60,61,61,57,56,52,52,160,0.75
2004/05,Winter,212,56,70,69,62,62,58,65,54,47,44,44,168,0.79
2004/05,Spring,95.0,39.0,45.0,41.0,39.0,38.0,31.0,37.0,28.0,23.0,21.0,21.0,74.0,0.78
2005/06,Summer,114.0,42.0,47.0,47.0,48.0,49.0,45.0,46.0,37.0,32.0,32.0,32.0,82.0,0.72
2005/06,Fall,116,57,61,58,56,52,40,49,42,36,33,33,83,0.72
2005/06,Winter,116,48,57,52,50,50,40,43,32,28,21,21,95,0.82
2005/06,Spring,119.0,52.0,63.0,57.0,57.0,51.0,49.0,51.0,37.0,30.0,30.0,30.0,89.0,0.75
2006/07,Summer,119.0,48.0,58.0,60.0,62.0,58.0,51.0,58.0,48.0,36.0,37.0,36.0,83.0,0.7
2006/07,Fall,115,42,55,54,54,51,42,52,38,33,31,31,84,0.73
2006/07,Winter,115,48,56,53,52,50,46,53,47,42,43,42,73,0.63
2006/07,Spring,115.0,47.0,52.0,57.0,57.0,50.0,45.0,53.0,46.0,38.0,36.0,36.0,79.0,0.69
2007/08,Summer,115.0,51.0,57.0,56.0,60.0,54.0,47.0,57.0,42.0,32.0,29.0,29.0,86.0,0.75
2007/08,Fall,115,44,55,58,57,58,49,60,44,36,31,31,84,0.73
2007/08,Winter,117,41,50,55,55,55,41,46,42,34,32,32,85,0.73
2007/08,Spring,117.0,51.0,48.0,55.0,50.0,52.0,46.0,46.0,45.0,45.0,45.0,45.0,72.0,0.62
2008/09,Summer,117.0,45.0,45.0,47.0,54.0,57.0,52.0,58.0,49.0,33.0,25.0,25.0,92.0,0.79
2008/09,Fall,117,38,44,59,55,52,49,49,48,34,28,28,89,0.76
2008/09,Winter,117,35,48,49,56,59,49,55,48,34,28,28,89,0.76
2008/09,Spring,121.0,39.0,55.0,53.0,55.0,57.0,48.0,55.0,41.0,30.0,26.0,26.0,95.0,0.79
2009/10,Summer,119.0,23.0,37.0,48.0,53.0,53.0,43.0,46.0,38.0,23.0,22.0,22.0,97.0,0.82
