year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,36.0,23.0,22.0,21.0,21.0,20.0,16.0,17.0,20.0,20.0,17.0,16.0,20.0,0.56
2000/01,Fall,36,17,16,19,18,15,14,8,12,14,13,8,28,0.78
2000/01,Winter,36,15,12,18,13,11,11,9,10,13,12,9,27,0.75
2000/01,Spring,36.0,12.0,13.0,14.0,16.0,12.0,11.0,9.0,12.0,15.0,10.0,9.0,27.0,0.75
2001/02,Summer,36.0,15.0,15.0,17.0,19.0,16.0,12.0,12.0,19.0,18.0,18.0,12.0,24.0,0.67
2001/02,Fall,36,13,16,18,20,18,13,13,16,15,16,13,23,0.64
2001/02,Winter,36,14,18,19,17,12,9,10,16,14,10,9,27,0.75
2001/02,Spring,36.0,14.0,17.0,19.0,20.0,16.0,13.0,12.0,21.0,21.0,14.0,12.0,24.0,0.67
2002/03,Summer,34.0,12.0,18.0,19.0,15.0,12.0,8.0,8.0,16.0,18.0,13.0,8.0,26.0,0.76
2002/03,Fall,34,15,14,14,12,13,11,13,16,13,9,9,25,0.74
2002/03,Winter,35,16,16,15,12,10,9,10,15,8,6,6,29,0.83
2002/03,Spring,35.0,23.0,24.0,24.0,22.0,17.0,17.0,19.0,20.0,17.0,13.0,13.0,22.0,0.63
2003/04,Summer,35.0,18.0,21.0,24.0,22.0,17.0,17.0,18.0,21.0,21.0,21.0,17.0,18.0,0.51
2003/04,Fall,35,18,18,20,18,18,13,14,17,18,15,13,22,0.63
2003/04,Winter,35,19,19,23,17,18,16,13,22,16,15,13,22,0.63
2003/04,Spring,35.0,18.0,19.0,19.0,17.0,20.0,14.0,17.0,18.0,15.0,13.0,13.0,22.0,0.63
2004/05,Summer,35.0,15.0,17.0,19.0,16.0,13.0,15.0,14.0,18.0,17.0,17.0,13.0,22.0,0.63
2004/05,Fall,33,9,9,14,6,8,5,9,9,6,7,5,28,0.85
2004/05,Winter,33,10,11,14,11,6,8,9,11,9,7,6,27,0.82
2004/05,Spring,33.0,11.0,10.0,13.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,27.0,0.82
2005/06,Summer,33.0,16.0,16.0,19.0,16.0,13.0,10.0,9.0,14.0,16.0,15.0,9.0,24.0,0.73
2005/06,Fall,33,6,8,12,11,9,7,9,13,9,11,6,27,0.82
2005/06,Winter,33,9,11,14,8,7,6,7,12,9,8,6,27,0.82
2005/06,Spring,32.0,13.0,15.0,13.0,12.0,6.0,7.0,11.0,11.0,8.0,5.0,5.0,27.0,0.84
2006/07,Summer,32.0,14.0,17.0,18.0,16.0,9.0,8.0,13.0,15.0,14.0,14.0,8.0,24.0,0.75
2006/07,Fall,32,16,14,16,14,6,6,11,13,9,6,6,26,0.81
2006/07,Winter,32,13,13,9,8,6,7,12,12,7,5,5,27,0.84
2006/07,Spring,15.0,8.0,7.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,13.0,0.87
2007/08,Summer,16.0,9.0,7.0,5.0,7.0,8.0,5.0,4.0,5.0,6.0,4.0,4.0,12.0,0.75
2007/08,Fall,16,8,7,6,5,5,7,7,4,4,1,1,15,0.94
2007/08,Winter,16,8,6,6,7,5,5,5,5,3,2,2,14,0.88
2007/08,Spring,16.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,15.0,0.94
