year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2010/11,Summer,10.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,7.0,7.0,4.0,6.0,0.6
2010/11,Fall,10.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,7.0,7.0,4.0,6.0,0.6
2010/11,Winter,10.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,7.0,7.0,4.0,6.0,0.6
2010/11,Spring,10.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,7.0,7.0,4.0,6.0,0.6
2011/12,Summer,10,8,8,6,5,4,3,2,5,5,5,2,8,0.8
2011/12,Fall,10,9,4,4,2,3,4,2,2,5,6,2,8,0.8
2011/12,Winter,10,9,5,5,4,3,3,3,3,2,3,2,8,0.8
2011/12,Spring,10,8,8,7,4,5,5,5,7,6,7,4,6,0.6
2012/13,Summer,10,10,7,5,5,5,7,6,6,5,7,5,5,0.5
2012/13,Fall,10,7,4,3,2,2,2,1,3,4,5,1,9,0.9
2012/13,Winter,10,8,5,2,2,3,2,3,2,5,4,2,8,0.8
2012/13,Spring,10,6,4,1,0,1,2,2,2,3,5,0,10,1.0
2013/14,Summer,10,7,4,5,3,3,4,2,2,3,5,2,8,0.8
2013/14,Fall,10,5,4,4,5,4,6,5,6,7,7,4,6,0.6
2013/14,Winter,10,7,3,0,0,1,1,2,3,4,3,0,10,1.0
2013/14,Spring,10,2,0,0,0,0,0,0,0,1,4,0,10,1.0
2014/15,Summer,10,5,3,2,0,0,1,0,1,3,3,0,10,1.0
2014/15,Fall,10,7,4,2,1,2,2,2,1,2,4,1,9,0.9
2014/15,Winter,10,4,0,1,0,1,2,0,2,3,4,0,10,1.0
2014/15,Spring,10,4,0,0,0,0,0,1,2,2,4,0,10,1.0
