year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,2383.0,1714.0,1712.0,1712.0,1712.0,1713.0,1712.0,1711.0,1713.0,1717.0,1720.0,1711.0,672.0,0.28
2000/01,Fall,2593,2249,1846,1275,825,699,625,683,899,1115,1419,625,1968,0.76
2000/01,Winter,2744,2327,1894,1559,1239,1128,1029,1036,1185,1373,1709,1029,1715,0.63
2000/01,Spring,2749.0,2362.0,1872.0,1520.0,1193.0,1054.0,992.0,1016.0,1136.0,1316.0,1631.0,992.0,1757.0,0.64
2001/02,Summer,2749.0,2092.0,2085.0,2084.0,2080.0,2080.0,2079.0,2081.0,2084.0,2086.0,2086.0,2079.0,670.0,0.24
2001/02,Fall,2749,2355,1854,1271,911,815,766,767,984,1247,1558,766,1983,0.72
2001/02,Winter,2749,2404,1917,1327,899,711,615,638,780,951,1306,615,2134,0.78
2001/02,Spring,2749.0,2407.0,2046.0,1428.0,1057.0,801.0,641.0,643.0,825.0,947.0,1370.0,641.0,2108.0,0.77
2002/03,Summer,2751.0,1420.0,1418.0,1412.0,1408.0,1405.0,1407.0,1409.0,1411.0,1413.0,1414.0,1405.0,1346.0,0.49
2002/03,Fall,2741,2421,1954,1236,788,659,612,598,893,1214,1526,598,2143,0.78
2002/03,Winter,2739,2388,1897,1245,755,533,452,488,710,996,1372,452,2287,0.83
2002/03,Spring,2739.0,2410.0,2037.0,1425.0,919.0,758.0,577.0,443.0,650.0,979.0,1297.0,443.0,2296.0,0.84
2003/04,Summer,2798.0,414.0,412.0,632.0,621.0,618.0,616.0,620.0,621.0,627.0,633.0,412.0,2386.0,0.85
2003/04,Fall,2807,2360,1969,1372,1004,904,854,789,1009,1308,1523,789,2018,0.72
2003/04,Winter,2807,2420,2009,1392,931,815,738,757,1002,1271,1568,738,2069,0.74
2003/04,Spring,2778.0,2295.0,1887.0,1411.0,1034.0,884.0,756.0,708.0,939.0,1233.0,1427.0,708.0,2070.0,0.75
2004/05,Summer,2776.0,1950.0,1945.0,1938.0,1935.0,1933.0,1939.0,1943.0,1975.0,2032.0,2036.0,1933.0,843.0,0.3
2004/05,Fall,3118,2654,2292,1728,1291,1190,1112,1097,1332,1599,1876,1097,2021,0.65
2004/05,Winter,3118,2575,2248,1655,1195,1059,949,918,1165,1460,1725,918,2200,0.71
2004/05,Spring,3118.0,2616.0,2235.0,1672.0,1141.0,960.0,849.0,836.0,1037.0,1290.0,1566.0,836.0,2282.0,0.73
2005/06,Summer,3120.0,2279.0,2223.0,2191.0,2171.0,2164.0,2170.0,2170.0,2179.0,2281.0,2321.0,2164.0,956.0,0.31
2005/06,Fall,3120,2583,2224,1597,1160,1038,957,939,1122,1435,1804,939,2181,0.7
2005/06,Winter,3116,2649,2222,1702,1224,1011,899,903,1068,1417,1834,899,2217,0.71
2005/06,Spring,3116.0,2586.0,2270.0,1743.0,1237.0,1052.0,1019.0,960.0,1137.0,1371.0,1666.0,960.0,2156.0,0.69
2006/07,Summer,3108.0,1880.0,1817.0,1791.0,1767.0,1766.0,1758.0,1763.0,1757.0,1768.0,1794.0,1757.0,1351.0,0.43
2006/07,Fall,3108,2738,2420,1939,1554,1448,1433,1409,1537,1734,1918,1409,1699,0.55
2006/07,Winter,3100,2389,2099,1597,1210,1157,984,902,1049,1190,1417,902,2198,0.71
2006/07,Spring,3095.0,2537.0,2108.0,1702.0,1337.0,1102.0,1028.0,1006.0,1168.0,1374.0,1645.0,1006.0,2089.0,0.67
2007/08,Summer,3095.0,1845.0,1783.0,1735.0,1690.0,1681.0,1682.0,1677.0,1704.0,1715.0,1762.0,1677.0,1418.0,0.46
2007/08,Fall,3096,2693,2368,1940,1553,1399,1385,1438,1604,1769,2004,1385,1711,0.55
2007/08,Winter,3094,2773,2546,2244,1877,1765,1660,1631,1733,1889,2087,1631,1463,0.47
2007/08,Spring,3088.0,2619.0,2415.0,2067.0,1819.0,1607.0,1522.0,1504.0,1629.0,1809.0,1988.0,1504.0,1584.0,0.51
2008/09,Summer,3088.0,2005.0,1934.0,1875.0,1832.0,1833.0,1835.0,1834.0,1842.0,1870.0,1911.0,1832.0,1256.0,0.41
2008/09,Fall,2715,2241,2098,1769,1526,1439,1373,1376,1483,1628,1755,1373,1342,0.49
