year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,18.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,14.0,16.0,16.0,13.0,5.0,0.28
2000/01,Fall
2000/01,Winter
2000/01,Spring,136.0,126.0,122.0,121.0,118.0,116.0,117.0,117.0,118.0,120.0,124.0,116.0,20.0,0.15
2001/02,Summer,136.0,135.0,134.0,134.0,134.0,134.0,133.0,134.0,134.0,135.0,135.0,133.0,3.0,0.02
2001/02,Fall,136,130,124,117,114,110,112,110,114,117,121,110,26,0.19
2001/02,Winter,136,134,119,107,101,96,98,97,101,104,110,96,40,0.29
2001/02,Spring,136.0,132.0,119.0,114.0,108.0,102.0,104.0,104.0,108.0,110.0,114.0,102.0,34.0,0.25
2002/03,Summer,136.0,108.0,107.0,105.0,105.0,104.0,105.0,104.0,105.0,106.0,106.0,104.0,32.0,0.24
2002/03,Fall,136,134,123,107,96,90,93,94,96,101,109,90,46,0.34
2002/03,Winter,136,134,123,112,100,94,93,92,94,98,103,92,44,0.32
2002/03,Spring,136.0,134.0,128.0,118.0,106.0,101.0,99.0,97.0,99.0,106.0,111.0,97.0,39.0,0.29
2003/04,Summer,136.0,135.0,134.0,133.0,130.0,131.0,131.0,131.0,130.0,131.0,134.0,130.0,6.0,0.04
2003/04,Fall,80,78,72,55,47,42,41,41,42,44,52,41,39,0.49
2003/04,Winter,80,78,64,41,33,27,27,28,33,40,47,27,53,0.66
2003/04,Spring,80.0,78.0,63.0,47.0,37.0,31.0,31.0,32.0,37.0,45.0,49.0,31.0,49.0,0.61
2004/05,Summer,80.0,79.0,78.0,76.0,76.0,75.0,75.0,74.0,75.0,77.0,78.0,74.0,6.0,0.08
2004/05,Fall,80,77,53,34,17,12,7,7,12,20,29,7,73,0.91
2004/05,Winter,80,78,76,69,61,60,59,58,61,62,65,58,22,0.28
2004/05,Spring,80.0,79.0,79.0,72.0,61.0,57.0,57.0,55.0,57.0,59.0,63.0,55.0,25.0,0.31
