year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,2365.0,1701.0,1699.0,1699.0,1699.0,1699.0,1699.0,1698.0,1699.0,1701.0,1704.0,1698.0,667.0,0.28
2000/01,Fall,2593,2249,1846,1275,825,699,625,683,899,1115,1419,625,1968,0.76
2000/01,Winter,2609,2205,1782,1449,1131,1013,913,920,1064,1252,1584,913,1696,0.65
2000/01,Spring,2613.0,2236.0,1750.0,1399.0,1075.0,938.0,875.0,899.0,1018.0,1196.0,1507.0,875.0,1738.0,0.67
2001/02,Summer,2613.0,1957.0,1951.0,1950.0,1946.0,1946.0,1946.0,1947.0,1950.0,1951.0,1951.0,1946.0,667.0,0.26
2001/02,Fall,2613,2225,1730,1154,797,705,654,657,870,1130,1437,654,1959,0.75
2001/02,Winter,2613,2270,1798,1220,798,615,517,541,679,847,1196,517,2096,0.8
2001/02,Spring,2613.0,2275.0,1927.0,1314.0,949.0,699.0,537.0,539.0,717.0,837.0,1256.0,537.0,2076.0,0.79
2002/03,Summer,2615.0,1312.0,1311.0,1307.0,1303.0,1301.0,1302.0,1305.0,1306.0,1307.0,1308.0,1301.0,1314.0,0.5
2002/03,Fall,2605,2287,1831,1129,692,569,519,504,797,1113,1417,504,2101,0.81
2002/03,Winter,2603,2254,1774,1133,655,439,359,396,616,898,1269,359,2244,0.86
2002/03,Spring,2603.0,2276.0,1909.0,1307.0,813.0,657.0,478.0,346.0,551.0,873.0,1186.0,346.0,2257.0,0.87
2003/04,Summer,2657.0,279.0,278.0,498.0,490.0,486.0,484.0,488.0,490.0,495.0,498.0,278.0,2379.0,0.9
2003/04,Fall,2722,2277,1892,1312,952,857,808,743,962,1259,1466,743,1979,0.73
2003/04,Winter,2722,2337,1940,1346,893,783,706,724,964,1226,1516,706,2016,0.74
2003/04,Spring,2693.0,2212.0,1819.0,1359.0,992.0,848.0,720.0,671.0,897.0,1183.0,1373.0,671.0,2022.0,0.75
2004/05,Summer,2691.0,1866.0,1862.0,1857.0,1854.0,1853.0,1859.0,1864.0,1895.0,1950.0,1953.0,1853.0,838.0,0.31
2004/05,Fall,3033,2572,2234,1689,1269,1173,1100,1085,1315,1574,1842,1085,1948,0.64
2004/05,Winter,3033,2492,2167,1581,1129,994,885,855,1099,1393,1655,855,2178,0.72
2004/05,Spring,3033.0,2532.0,2151.0,1595.0,1075.0,898.0,787.0,776.0,975.0,1226.0,1498.0,776.0,2257.0,0.74
2005/06,Summer,3035.0,2194.0,2139.0,2107.0,2088.0,2081.0,2087.0,2087.0,2096.0,2198.0,2238.0,2081.0,954.0,0.31
2005/06,Fall,3035,2505,2148,1532,1106,986,908,892,1075,1385,1743,892,2143,0.71
2005/06,Winter,3027,2566,2141,1642,1178,974,860,865,1026,1371,1777,860,2167,0.72
2005/06,Spring,3027.0,2498.0,2183.0,1667.0,1185.0,1003.0,973.0,914.0,1091.0,1321.0,1610.0,914.0,2113.0,0.7
2006/07,Summer,3018.0,1796.0,1733.0,1707.0,1686.0,1686.0,1678.0,1683.0,1677.0,1687.0,1713.0,1677.0,1341.0,0.44
2006/07,Fall,2991,2634,2318,1845,1476,1383,1369,1346,1474,1663,1841,1346,1645,0.55
2006/07,Winter,2985,2289,2000,1522,1148,1108,933,853,998,1131,1350,853,2132,0.71
2006/07,Spring,2985.0,2437.0,2017.0,1634.0,1285.0,1059.0,987.0,967.0,1124.0,1324.0,1588.0,967.0,2018.0,0.68
2007/08,Summer,2985.0,1743.0,1682.0,1634.0,1591.0,1584.0,1586.0,1582.0,1608.0,1618.0,1663.0,1582.0,1403.0,0.47
2007/08,Fall,2986,2595,2270,1847,1474,1326,1315,1368,1530,1691,1927,1315,1671,0.56
2007/08,Winter,2984,2678,2451,2156,1798,1695,1597,1567,1673,1821,2016,1567,1417,0.47
2007/08,Spring,2976.0,2523.0,2320.0,1976.0,1736.0,1531.0,1453.0,1435.0,1556.0,1731.0,1908.0,1435.0,1541.0,0.52
2008/09,Summer,2976.0,1911.0,1841.0,1784.0,1748.0,1750.0,1754.0,1753.0,1757.0,1784.0,1822.0,1748.0,1228.0,0.41
2008/09,Fall,2604,2147,2010,1694,1459,1377,1317,1318,1420,1560,1684,1317,1287,0.49
2008/09,Winter,2604,2305,2164,1857,1668,1541,1429,1405,1468,1579,1749,1405,1199,0.46
2008/09,Spring,2610.0,2282.0,2131.0,1813.0,1580.0,1396.0,1327.0,1313.0,1417.0,1555.0,1735.0,1313.0,1297.0,0.5
2009/10,Summer,2784.0,2179.0,2110.0,2078.0,2035.0,2026.0,2037.0,2032.0,2060.0,2157.0,2196.0,2026.0,758.0,0.27
2009/10,Fall,2784,2506,2250,1810,1570,1391,1291,1300,1414,1647,1893,1291,1493,0.54
2009/10,Winter,2507,2239,1949,1612,1337,1169,1066,977,1082,1293,1542,977,1530,0.61
2009/10,Spring,2573.0,2287.0,1975.0,1578.0,1260.0,1065.0,950.0,935.0,1118.0,1315.0,1548.0,935.0,1638.0,0.64
2010/11,Summer,2602.0,2259.0,2135.0,2055.0,1999.0,1982.0,1966.0,1955.0,1971.0,2090.0,2192.0,1955.0,647.0,0.25
2010/11,Fall,2602,2231,1828,1439,1192,1088,1044,1057,1163,1328,1563,1044,1558,0.6
2010/11,Winter,2385,1858,1492,1141,876,749,685,652,715,881,1182,652,1733,0.73
2010/11,Spring,2308.0,1738.0,1448.0,1026.0,723.0,644.0,602.0,589.0,672.0,814.0,1118.0,589.0,1719.0,0.74
2011/12,Summer,2307.0,1443.0,1304.0,1172.0,1129.0,1120.0,1142.0,1126.0,1131.0,1185.0,1336.0,1120.0,1187.0,0.51
2011/12,Fall,2362,2003,1784,1387,1197,1088,1020,992,1056,1200,1412,992,1370,0.58
2011/12,Winter,2364,2017,1770,1452,1244,1122,1048,1024,1092,1207,1476,1024,1340,0.57
