year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,111.0,54.0,34.0,31.0,29.0,30.0,33.0,32.0,35.0,38.0,53.0,29.0,82.0,0.74
2000/01,Fall,111,49,33,25,21,24,31,25,29,37,53,21,90,0.81
2000/01,Winter,111,50,33,25,22,23,22,25,28,33,44,22,89,0.8
2000/01,Spring,111.0,53.0,34.0,28.0,25.0,30.0,31.0,33.0,34.0,37.0,44.0,25.0,86.0,0.77
2001/02,Summer,111.0,59.0,40.0,30.0,29.0,26.0,30.0,29.0,34.0,39.0,47.0,26.0,85.0,0.77
2001/02,Fall,128,48,35,26,25,32,24,23,28,35,50,23,105,0.82
2001/02,Winter,133,88,51,42,40,41,39,38,41,48,66,38,95,0.71
2001/02,Spring,133.0,84.0,54.0,43.0,45.0,50.0,47.0,47.0,50.0,54.0,69.0,43.0,90.0,0.68
2002/03,Summer,128.0,75.0,49.0,39.0,39.0,43.0,44.0,42.0,41.0,44.0,62.0,39.0,89.0,0.7
2002/03,Fall,128,77,43,33,31,38,33,31,37,45,60,31,97,0.76
2002/03,Winter,128,69,46,38,35,36,33,33,37,43,57,33,95,0.74
2002/03,Spring,128.0,81.0,56.0,44.0,37.0,41.0,36.0,37.0,40.0,50.0,66.0,36.0,92.0,0.72
2003/04,Summer,128.0,74.0,54.0,42.0,37.0,38.0,39.0,31.0,37.0,47.0,59.0,31.0,97.0,0.76
2003/04,Fall,128,68,37,19,24,32,33,27,37,42,56,19,109,0.85
2003/04,Winter,128,71,39,29,24,29,29,25,30,41,52,24,104,0.81
2003/04,Spring,128.0,71.0,42.0,32.0,30.0,36.0,33.0,28.0,36.0,46.0,59.0,28.0,100.0,0.78
2004/05,Summer,128.0,77.0,54.0,41.0,36.0,34.0,40.0,34.0,37.0,49.0,59.0,34.0,94.0,0.73
2004/05,Fall,128,72,43,29,22,33,29,23,34,45,60,22,106,0.83
2004/05,Winter,242,144,106,68,67,81,71,66,78,101,122,66,176,0.73
2004/05,Spring,216.0,120.0,52.0,33.0,33.0,38.0,36.0,31.0,45.0,60.0,93.0,31.0,185.0,0.86
2005/06,Summer,228.0,145.0,85.0,61.0,54.0,63.0,65.0,67.0,70.0,82.0,104.0,54.0,174.0,0.76
2005/06,Fall,241,128,87,64,56,59,54,57,66,87,110,54,187,0.78
2005/06,Winter,241,132,65,41,28,37,51,46,61,85,117,28,213,0.88
2005/06,Spring,241.0,139.0,87.0,68.0,63.0,66.0,67.0,59.0,74.0,94.0,124.0,59.0,182.0,0.76
2006/07,Summer,232.0,145.0,83.0,58.0,57.0,65.0,69.0,59.0,67.0,87.0,110.0,57.0,175.0,0.75
2006/07,Fall,226,133,63,44,39,51,42,41,54,80,106,39,187,0.83
2006/07,Winter,227,112,60,40,36,40,36,39,53,70,103,36,191,0.84
2006/07,Spring,226.0,120.0,68.0,47.0,30.0,59.0,45.0,39.0,61.0,82.0,109.0,30.0,196.0,0.87
2007/08,Summer,226.0,115.0,79.0,54.0,45.0,51.0,57.0,50.0,56.0,71.0,96.0,45.0,181.0,0.8
2007/08,Fall,226,121,60,18,17,25,28,19,29,52,78,17,209,0.92
2007/08,Winter,287,196,125,84,67,73,65,68,78,101,122,65,222,0.77
2007/08,Spring,216.0,113.0,76.0,42.0,38.0,35.0,38.0,37.0,40.0,52.0,73.0,35.0,181.0,0.84
2008/09,Summer,217.0,138.0,84.0,49.0,36.0,40.0,45.0,37.0,40.0,52.0,80.0,36.0,181.0,0.83
2008/09,Fall,215,128,69,29,19,16,27,31,30,46,66,16,199,0.93
2008/09,Winter,213,123,72,26,17,16,24,28,28,37,73,16,197,0.92
2008/09,Spring,211.0,110.0,44.0,15.0,11.0,20.0,20.0,24.0,33.0,51.0,82.0,11.0,200.0,0.95
2009/10,Summer,215.0,121.0,71.0,46.0,35.0,37.0,42.0,44.0,48.0,65.0,101.0,35.0,180.0,0.84
2009/10,Fall,215,117,51,26,22,27,30,33,39,59,98,22,193,0.9
2009/10,Winter,215,129,74,42,25,33,35,32,37,54,91,25,190,0.88
2009/10,Spring,215.0,126.0,61.0,37.0,29.0,30.0,44.0,46.0,47.0,64.0,93.0,29.0,186.0,0.87
2010/11,Summer,215.0,112.0,59.0,37.0,34.0,34.0,33.0,33.0,38.0,58.0,89.0,33.0,182.0,0.85
2010/11,Fall,214,118,55,33,21,22,25,29,31,55,102,21,193,0.9
2010/11,Winter,438,312,237,204,204,218,220,225,232,242,267,204,234,0.53
2010/11,Spring,425.0,301.0,271.0,223.0,214.0,211.0,216.0,209.0,208.0,223.0,261.0,208.0,217.0,0.51
2011/12,Summer,389.0,219.0,190.0,144.0,139.0,142.0,150.0,151.0,144.0,167.0,201.0,139.0,250.0,0.64
2011/12,Fall,391,195,151,114,103,105,104,104,113,134,163,103,288,0.74
2011/12,Winter,120,75,37,12,2,5,10,9,7,14,23,2,118,0.98
2011/12,Spring,120.0,86.0,58.0,28.0,19.0,21.0,22.0,25.0,22.0,29.0,42.0,19.0,101.0,0.84
2012/13,Summer,217.0,121.0,65.0,39.0,27.0,20.0,32.0,23.0,37.0,49.0,78.0,20.0,197.0,0.91
2012/13,Fall,217,125,74,42,32,31,49,50,47,52,67,31,186,0.86
2012/13,Winter,247,150,93,36,20,25,24,35,32,50,77,20,227,0.92
2012/13,Spring,247.0,148.0,98.0,52.0,33.0,38.0,52.0,40.0,52.0,63.0,95.0,33.0,214.0,0.87
2013/14,Summer,247.0,163.0,103.0,52.0,35.0,27.0,38.0,33.0,35.0,57.0,89.0,27.0,220.0,0.89
2013/14,Fall,236,139,95,39,25,30,33,24,28,51,86,24,212,0.9
2013/14,Winter,233,129,73,29,21,14,25,26,23,39,69,14,219,0.94
2013/14,Spring,233.0,129.0,73.0,33.0,22.0,16.0,22.0,25.0,25.0,43.0,74.0,16.0,217.0,0.93
2014/15,Summer,233,147,88,34,15,16,26,30,31,48,84,15,218,0.94
2014/15,Fall,245,133,47,36,23,25,36,39,41,59,75,23,222,0.91
2014/15,Winter,245,128,79,45,33,33,44,41,43,55,106,33,212,0.87
2014/15,Spring,245,149,74,45,34,33,32,34,40,61,82,32,213,0.87
