year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,42.0,29.0,18.0,10.0,10.0,13.0,13.0,10.0,12.0,16.0,21.0,10.0,32.0,0.76
2000/01,Fall,42,24,16,13,10,16,16,14,11,18,26,10,32,0.76
2000/01,Winter,42,29,19,10,9,14,12,12,14,19,30,9,33,0.79
2000/01,Spring,42.0,26.0,17.0,10.0,7.0,12.0,10.0,9.0,13.0,17.0,22.0,7.0,35.0,0.83
2001/02,Summer,42.0,29.0,18.0,9.0,10.0,11.0,12.0,11.0,13.0,15.0,23.0,9.0,33.0,0.79
2001/02,Fall,47,29,17,9,8,15,9,10,15,17,24,8,39,0.83
2001/02,Winter,53,38,26,18,17,19,18,16,19,26,32,16,37,0.7
2001/02,Spring,53.0,37.0,27.0,17.0,14.0,19.0,17.0,16.0,20.0,22.0,34.0,14.0,39.0,0.74
2002/03,Summer,49.0,38.0,22.0,14.0,11.0,13.0,17.0,10.0,15.0,22.0,29.0,10.0,39.0,0.8
2002/03,Fall,53,38,22,11,8,14,11,10,16,22,32,8,45,0.85
2002/03,Winter,53,35,18,10,8,12,15,9,13,20,31,8,45,0.85
2002/03,Spring,53.0,38.0,25.0,11.0,8.0,15.0,8.0,10.0,16.0,25.0,34.0,8.0,45.0,0.85
2003/04,Summer,53.0,39.0,23.0,15.0,10.0,14.0,14.0,11.0,14.0,22.0,32.0,10.0,43.0,0.81
2003/04,Fall,53,33,19,8,10,14,11,10,17,22,33,8,45,0.85
2003/04,Winter,53,32,18,8,7,12,11,8,14,20,30,7,46,0.87
2003/04,Spring,53.0,32.0,16.0,5.0,6.0,11.0,9.0,10.0,15.0,21.0,29.0,5.0,48.0,0.91
2004/05,Summer,53.0,35.0,16.0,8.0,6.0,9.0,12.0,8.0,11.0,18.0,27.0,6.0,47.0,0.89
2004/05,Fall,53,33,15,5,6,6,9,5,12,20,30,5,48,0.91
2004/05,Winter,53,31,15,5,2,9,6,6,11,17,27,2,51,0.96
2004/05,Spring,53.0,27.0,13.0,3.0,5.0,9.0,6.0,5.0,13.0,18.0,27.0,3.0,50.0,0.94
2005/06,Summer,53.0,29.0,14.0,8.0,6.0,10.0,8.0,8.0,13.0,18.0,29.0,6.0,47.0,0.89
2005/06,Fall,53,26,13,5,5,10,10,9,12,16,27,5,48,0.91
2005/06,Winter,53,30,11,2,1,8,7,5,7,14,29,1,52,0.98
2005/06,Spring,53.0,26.0,12.0,3.0,5.0,11.0,8.0,8.0,12.0,20.0,26.0,3.0,50.0,0.94
2006/07,Summer,53.0,26.0,12.0,5.0,8.0,11.0,11.0,7.0,10.0,16.0,23.0,5.0,48.0,0.91
2006/07,Fall,51,20,6,3,6,7,5,3,9,19,30,3,48,0.94
2006/07,Winter,51,21,6,1,2,6,1,3,8,14,26,1,50,0.98
2006/07,Spring,62.0,24.0,8.0,3.0,3.0,7.0,7.0,7.0,12.0,20.0,32.0,3.0,59.0,0.95
2007/08,Summer,62.0,20.0,10.0,4.0,4.0,6.0,8.0,8.0,13.0,20.0,32.0,4.0,58.0,0.94
2007/08,Fall,62,29,12,6,4,10,6,7,13,17,29,4,58,0.94
2007/08,Winter,62,30,12,1,0,5,9,5,9,15,25,0,62,1.0
2007/08,Spring,57.0,24.0,9.0,5.0,4.0,3.0,5.0,6.0,10.0,16.0,30.0,3.0,54.0,0.95
2008/09,Summer,57.0,21.0,6.0,2.0,1.0,8.0,4.0,6.0,6.0,9.0,21.0,1.0,56.0,0.98
2008/09,Fall,57,23,10,2,0,3,3,4,5,10,21,0,57,1.0
2008/09,Winter,59,24,11,3,2,3,4,1,5,7,18,1,58,0.98
2008/09,Spring,60.0,17.0,5.0,1.0,0.0,5.0,5.0,4.0,8.0,11.0,25.0,0.0,60.0,1.0
2009/10,Summer,65.0,32.0,14.0,11.0,10.0,18.0,9.0,10.0,16.0,24.0,30.0,9.0,56.0,0.86
2009/10,Fall,97,55,36,22,15,22,26,26,29,38,60,15,82,0.85
2009/10,Winter,97,62,35,23,19,22,18,13,18,31,50,13,84,0.87
2009/10,Spring,97.0,54.0,31.0,20.0,14.0,24.0,22.0,20.0,21.0,36.0,54.0,14.0,83.0,0.86
2010/11,Summer,97.0,57.0,32.0,23.0,17.0,20.0,19.0,13.0,20.0,36.0,54.0,13.0,84.0,0.87
2010/11,Fall,97,52,30,18,13,19,17,15,21,36,57,13,84,0.87
2010/11,Winter,97,48,25,13,7,14,8,6,12,29,53,6,91,0.94
2010/11,Spring,97.0,44.0,27.0,11.0,7.0,8.0,8.0,8.0,14.0,21.0,43.0,7.0,90.0,0.93
2011/12,Summer,97.0,40.0,22.0,10.0,1.0,6.0,15.0,7.0,15.0,23.0,43.0,1.0,96.0,0.99
2011/12,Fall,116,58,45,15,10,19,19,15,20,34,59,10,106,0.91
2011/12,Winter,156,102,65,47,51,58,53,56,56,79,104,47,109,0.7
2011/12,Spring,156.0,106.0,79.0,68.0,55.0,65.0,62.0,58.0,65.0,82.0,101.0,55.0,101.0,0.65
2012/13,Summer,156.0,104.0,68.0,50.0,49.0,57.0,53.0,50.0,59.0,73.0,97.0,49.0,107.0,0.69
2012/13,Fall,156,95,69,51,43,49,47,45,55,67,96,43,113,0.72
2012/13,Winter,156,91,63,42,38,53,53,43,56,72,89,38,118,0.76
2012/13,Spring,156.0,97.0,67.0,47.0,49.0,54.0,53.0,47.0,52.0,71.0,91.0,47.0,109.0,0.7
2013/14,Summer,156.0,98.0,62.0,50.0,42.0,47.0,48.0,41.0,49.0,65.0,95.0,41.0,115.0,0.74
2013/14,Fall,157,95,70,47,39,49,51,42,48,63,83,39,118,0.75
2013/14,Winter,157,92,60,45,38,42,44,44,50,71,97,38,119,0.76
2013/14,Spring,157.0,98.0,65.0,49.0,38.0,43.0,48.0,45.0,50.0,64.0,92.0,38.0,119.0,0.76
2014/15,Summer,157,97,74,54,45,50,54,49,56,83,99,45,112,0.71
2014/15,Fall,146,83,63,44,36,44,38,38,51,68,93,36,110,0.75
2014/15,Winter,146,81,65,43,40,44,42,41,47,63,87,40,106,0.73
2014/15,Spring,148,76,48,29,31,37,29,28,36,56,84,28,120,0.81
