year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,431.0,102.0,40.0,22.0,13.0,18.0,16.0,19.0,24.0,61.0,132.0,13.0,418.0,0.97
2000/01,Fall,492,157,65,51,46,53,48,48,58,109,204,46,446,0.91
2000/01,Winter,492,134,81,55,47,54,45,50,69,129,210,45,447,0.91
2000/01,Spring,492.0,172.0,99.0,78.0,71.0,76.0,75.0,80.0,92.0,138.0,220.0,71.0,421.0,0.86
2001/02,Summer,473.0,152.0,75.0,57.0,50.0,56.0,50.0,56.0,79.0,126.0,210.0,50.0,423.0,0.89
2001/02,Fall,659,275,208,183,176,182,173,175,198,276,377,173,486,0.74
2001/02,Winter,753,429,312,287,266,269,268,263,278,330,448,263,490,0.65
2001/02,Spring,751.0,425.0,316.0,283.0,270.0,274.0,270.0,272.0,292.0,352.0,460.0,270.0,481.0,0.64
2002/03,Summer,743.0,447.0,378.0,341.0,327.0,329.0,337.0,329.0,350.0,403.0,481.0,327.0,416.0,0.56
2002/03,Fall,659,395,277,243,228,236,237,238,267,323,413,228,431,0.65
2002/03,Winter,659,364,259,228,218,217,222,227,248,315,410,217,442,0.67
2002/03,Spring,659.0,379.0,290.0,247.0,223.0,227.0,225.0,229.0,249.0,325.0,418.0,223.0,436.0,0.66
2003/04,Summer,659.0,351.0,283.0,247.0,226.0,234.0,235.0,235.0,256.0,311.0,391.0,226.0,433.0,0.66
2003/04,Fall,659,348,267,227,217,223,219,220,252,320,397,217,442,0.67
2003/04,Winter,653,332,246,211,197,207,199,204,233,303,400,197,456,0.7
2003/04,Spring,653.0,319.0,239.0,211.0,201.0,210.0,203.0,214.0,239.0,313.0,390.0,201.0,452.0,0.69
2004/05,Summer,653.0,328.0,253.0,219.0,208.0,218.0,214.0,216.0,233.0,284.0,352.0,208.0,445.0,0.68
2004/05,Fall,653,323,200,162,155,166,165,170,196,272,360,155,498,0.76
2004/05,Winter,653,346,213,166,153,166,166,170,194,268,350,153,500,0.77
2004/05,Spring,671.0,318.0,218.0,173.0,158.0,168.0,176.0,170.0,198.0,264.0,355.0,158.0,513.0,0.76
2005/06,Summer,671.0,335.0,240.0,205.0,190.0,198.0,201.0,199.0,221.0,283.0,353.0,190.0,481.0,0.72
2005/06,Fall,670,278,189,143,122,148,149,153,177,248,347,122,548,0.82
2005/06,Winter,934,533,420,361,344,359,369,380,411,494,607,344,590,0.63
2005/06,Spring,934.0,529.0,442.0,410.0,383.0,411.0,415.0,412.0,443.0,544.0,650.0,383.0,551.0,0.59
2006/07,Summer,934.0,539.0,445.0,408.0,391.0,401.0,405.0,403.0,425.0,488.0,567.0,391.0,543.0,0.58
2006/07,Fall,930,537,415,375,363,386,393,387,416,495,604,363,567,0.61
2006/07,Winter,929,494,390,335,325,350,345,339,375,458,549,325,604,0.65
2006/07,Spring,929.0,502.0,413.0,402.0,376.0,393.0,398.0,387.0,428.0,500.0,617.0,376.0,553.0,0.6
2007/08,Summer,928.0,464.0,390.0,345.0,323.0,339.0,343.0,344.0,367.0,437.0,539.0,323.0,605.0,0.65
2007/08,Fall,927,488,374,329,323,337,329,341,353,428,531,323,604,0.65
2007/08,Winter,835,457,321,268,244,243,254,259,293,365,445,243,592,0.71
2007/08,Spring,795.0,348.0,264.0,216.0,190.0,194.0,202.0,216.0,246.0,319.0,422.0,190.0,605.0,0.76
2008/09,Summer,795.0,344.0,241.0,203.0,161.0,162.0,170.0,166.0,190.0,270.0,386.0,161.0,634.0,0.8
2008/09,Fall,785,278,137,81,55,49,62,63,82,170,309,49,736,0.94
2008/09,Winter,786,240,128,78,59,58,65,66,87,186,347,58,728,0.93
2008/09,Spring,786.0,217.0,82.0,54.0,42.0,44.0,58.0,69.0,105.0,274.0,397.0,42.0,744.0,0.95
2009/10,Summer,771.0,259.0,143.0,124.0,100.0,106.0,103.0,104.0,125.0,233.0,392.0,100.0,671.0,0.87
2009/10,Fall,771,270,136,98,81,84,100,114,137,245,406,81,690,0.89
2009/10,Winter,771,268,132,92,79,84,73,84,115,244,421,73,698,0.91
2009/10,Spring,771.0,256.0,149.0,105.0,93.0,92.0,95.0,99.0,132.0,246.0,409.0,92.0,679.0,0.88
2010/11,Summer,392.0,42.0,10.0,3.0,2.0,5.0,4.0,6.0,15.0,68.0,147.0,2.0,390.0,0.99
2010/11,Fall,392,12,0,0,2,3,0,6,32,88,169,0,392,1.0
2010/11,Winter,150,5,0,0,0,2,1,0,7,31,69,0,150,1.0
2010/11,Spring,150.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,6.0,41.0,62.0,0.0,150.0,1.0
2011/12,Summer,217.0,25.0,19.0,14.0,15.0,17.0,17.0,16.0,40.0,57.0,91.0,14.0,203.0,0.94
2011/12,Fall,663,164,59,25,22,24,21,26,28,120,264,21,642,0.97
2011/12,Winter,1395,767,610,575,545,550,545,560,563,650,837,545,850,0.61
2011/12,Spring,1394.0,591.0,474.0,406.0,390.0,403.0,402.0,399.0,398.0,518.0,649.0,390.0,1004.0,0.72
2012/13,Summer,1110.0,544.0,411.0,368.0,342.0,353.0,364.0,358.0,374.0,482.0,644.0,342.0,768.0,0.69
2012/13,Fall,1110,524,399,325,308,311,315,319,339,430,610,308,802,0.72
2012/13,Winter,1110,513,382,304,276,263,272,262,291,409,567,262,848,0.76
2012/13,Spring,1110.0,562.0,426.0,377.0,352.0,352.0,365.0,366.0,395.0,485.0,647.0,352.0,758.0,0.68
2013/14,Summer,1109.0,545.0,353.0,273.0,240.0,228.0,243.0,227.0,241.0,340.0,551.0,227.0,882.0,0.8
2013/14,Fall,1109,454,268,162,127,122,143,140,176,275,486,122,987,0.89
2013/14,Winter,1109,484,331,246,210,201,209,211,232,332,519,201,908,0.82
2013/14,Spring,1109.0,485.0,297.0,227.0,195.0,194.0,197.0,201.0,213.0,343.0,518.0,194.0,915.0,0.83
2014/15,Summer,1109,506,345,253,220,215,227,221,236,356,528,215,894,0.81
2014/15,Fall,978,333,172,140,100,95,112,110,134,280,448,95,883,0.9
2014/15,Winter,978,268,138,74,35,39,47,42,68,187,402,35,943,0.96
2014/15,Spring,978,300,128,88,52,50,57,41,77,211,408,41,937,0.96
