year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,12.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,6.0,6.0,0.5
2000/01,Fall,12,10,8,7,8,7,7,8,8,8,9,7,5,0.42
2000/01,Winter,12,9,8,6,5,7,8,7,8,9,9,5,7,0.58
2000/01,Spring,12.0,8.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,8.0,10.0,4.0,8.0,0.67
2001/02,Summer,12.0,10.0,9.0,7.0,6.0,7.0,6.0,5.0,6.0,8.0,10.0,5.0,7.0,0.58
2001/02,Fall,12,8,8,6,5,7,8,8,8,8,10,5,7,0.58
2001/02,Winter,12,8,7,6,6,7,7,6,7,8,9,6,6,0.5
2001/02,Spring,12.0,9.0,9.0,7.0,7.0,6.0,7.0,8.0,9.0,10.0,11.0,6.0,6.0,0.5
2002/03,Summer,12.0,6.0,5.0,5.0,4.0,6.0,7.0,6.0,7.0,9.0,10.0,4.0,8.0,0.67
2002/03,Fall,12,7,8,6,5,6,7,6,9,9,10,5,7,0.58
2002/03,Winter,12,3,3,3,2,2,2,4,8,9,10,2,10,0.83
2002/03,Spring,12.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,9.0,1.0,11.0,0.92
2003/04,Summer,12.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,8.0,10.0,10.0,5.0,7.0,0.58
2003/04,Fall,12,8,6,6,6,7,7,7,8,8,9,6,6,0.5
2003/04,Winter,12,6,4,4,4,5,5,5,8,10,11,4,8,0.67
2003/04,Spring,12.0,9.0,9.0,7.0,6.0,7.0,7.0,9.0,10.0,11.0,11.0,6.0,6.0,0.5
2004/05,Summer,12.0,10.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,10.0,11.0,6.0,6.0,0.5
2004/05,Fall,12,8,7,6,3,4,4,5,6,10,10,3,9,0.75
2004/05,Winter,12,11,9,8,9,8,7,7,8,10,10,7,5,0.42
2004/05,Spring,12.0,9.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,10.0,10.0,6.0,6.0,0.5
2005/06,Summer,12.0,9.0,7.0,6.0,5.0,6.0,6.0,4.0,5.0,8.0,10.0,4.0,8.0,0.67
2005/06,Fall,12,5,2,2,1,2,4,6,8,9,9,1,11,0.92
2005/06,Winter,12,5,3,3,4,6,7,8,10,11,11,3,9,0.75
2005/06,Spring,12.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,10.0,7.0,5.0,0.42
2006/07,Summer,12.0,8.0,7.0,7.0,6.0,5.0,6.0,5.0,7.0,10.0,10.0,5.0,7.0,0.58
2006/07,Fall,12,7,6,4,3,3,4,5,5,9,10,3,9,0.75
2006/07,Winter,12,4,3,4,5,4,4,5,6,8,11,3,9,0.75
2006/07,Spring,12.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,8.0,7.0,5.0,7.0,0.58
2007/08,Summer,12.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,11.0,0.92
