year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,96.0,81.0,71.0,54.0,39.0,39.0,44.0,45.0,48.0,55.0,68.0,39.0,57.0,0.59
2000/01,Fall,96,66,42,19,4,4,6,5,8,23,33,4,92,0.96
2000/01,Winter,96,71,47,13,3,9,11,6,10,28,39,3,93,0.97
2000/01,Spring,96.0,73.0,45.0,14.0,4.0,8.0,6.0,5.0,12.0,26.0,36.0,4.0,92.0,0.96
2001/02,Summer,96.0,81.0,64.0,42.0,23.0,24.0,34.0,28.0,37.0,44.0,53.0,23.0,73.0,0.76
2001/02,Fall,96,77,62,25,7,10,12,11,14,33,40,7,89,0.93
2001/02,Winter,96,74,52,19,7,6,13,10,15,30,38,6,90,0.94
2001/02,Spring,96.0,72.0,52.0,27.0,10.0,8.0,12.0,14.0,15.0,30.0,38.0,8.0,88.0,0.92
2002/03,Summer,94.0,79.0,62.0,47.0,36.0,37.0,37.0,41.0,44.0,50.0,55.0,36.0,58.0,0.62
2002/03,Fall,95,75,50,25,11,13,14,14,23,38,45,11,84,0.88
2002/03,Winter,95,72,49,18,5,2,5,6,12,28,35,2,93,0.98
2002/03,Spring,95.0,72.0,48.0,24.0,14.0,14.0,19.0,17.0,19.0,35.0,44.0,14.0,81.0,0.85
2003/04,Summer,95.0,79.0,60.0,44.0,33.0,34.0,45.0,42.0,47.0,55.0,62.0,33.0,62.0,0.65
2003/04,Fall,91,73,46,22,10,10,16,14,22,38,47,10,81,0.89
2003/04,Winter,90,70,37,6,3,6,7,4,9,28,29,3,87,0.97
2003/04,Spring,90.0,71.0,52.0,31.0,15.0,11.0,15.0,13.0,20.0,34.0,44.0,11.0,79.0,0.88
2004/05,Summer,90.0,83.0,69.0,53.0,41.0,40.0,42.0,40.0,43.0,56.0,59.0,40.0,50.0,0.56
2004/05,Fall,91,71,48,19,5,4,7,8,20,34,39,4,87,0.96
2004/05,Winter,90,68,44,11,0,3,7,3,11,34,42,0,90,1.0
2004/05,Spring,90.0,69.0,52.0,19.0,7.0,8.0,8.0,9.0,16.0,28.0,39.0,7.0,83.0,0.92
