year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,12.0,11.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,5.0,0.42
2000/01,Fall,13,7,6,3,3,3,4,4,6,7,9,3,10,0.77
2000/01,Winter,13,10,9,6,6,5,3,4,4,8,9,3,10,0.77
2000/01,Spring,13.0,11.0,10.0,6.0,4.0,4.0,4.0,4.0,5.0,9.0,9.0,4.0,9.0,0.69
2001/02,Summer,12.0,12.0,11.0,9.0,6.0,7.0,7.0,8.0,9.0,9.0,10.0,6.0,6.0,0.5
2001/02,Fall,13,11,10,6,5,5,5,4,7,10,11,4,9,0.69
2001/02,Winter,13,12,11,6,5,4,5,3,5,9,9,3,10,0.77
2001/02,Spring,13.0,11.0,10.0,8.0,8.0,6.0,6.0,9.0,9.0,9.0,8.0,6.0,7.0,0.54
2002/03,Summer,13.0,12.0,12.0,10.0,9.0,8.0,9.0,10.0,10.0,11.0,12.0,8.0,5.0,0.38
2002/03,Fall,15,14,13,8,6,6,9,9,11,14,13,6,9,0.6
2002/03,Winter,15,13,11,8,4,4,5,7,7,10,10,4,11,0.73
2002/03,Spring,15.0,12.0,12.0,8.0,8.0,7.0,6.0,8.0,9.0,11.0,13.0,6.0,9.0,0.6
2003/04,Summer,15.0,11.0,8.0,7.0,6.0,5.0,8.0,8.0,8.0,11.0,11.0,5.0,10.0,0.67
2003/04,Fall,17,13,13,9,6,7,7,8,7,11,12,6,11,0.65
2003/04,Winter,17,12,10,5,2,2,3,4,5,12,14,2,15,0.88
2003/04,Spring,17.0,13.0,12.0,7.0,5.0,4.0,7.0,6.0,6.0,10.0,12.0,4.0,13.0,0.76
2004/05,Summer,15.0,11.0,11.0,8.0,7.0,7.0,8.0,8.0,9.0,11.0,12.0,7.0,8.0,0.53
