year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,534.0,309.0,225.0,175.0,138.0,127.0,136.0,147.0,153.0,199.0,249.0,127.0,407.0,0.76
2000/01,Fall,534,235,133,48,20,24,29,22,36,68,118,20,514,0.96
2000/01,Winter,534,263,159,50,25,38,36,27,45,95,138,25,509,0.95
2000/01,Spring,534.0,269.0,151.0,55.0,24.0,32.0,33.0,25.0,46.0,89.0,123.0,24.0,510.0,0.96
2001/02,Summer,534.0,329.0,237.0,171.0,117.0,111.0,131.0,121.0,132.0,174.0,232.0,111.0,423.0,0.79
2001/02,Fall,534,306,192,74,34,39,42,36,57,102,150,34,500,0.94
2001/02,Winter,534,286,173,61,26,27,41,38,54,94,137,26,508,0.95
2001/02,Spring,535.0,289.0,186.0,82.0,40.0,33.0,55.0,46.0,53.0,91.0,121.0,33.0,502.0,0.94
2002/03,Summer,538.0,330.0,219.0,164.0,136.0,136.0,148.0,149.0,169.0,222.0,271.0,136.0,402.0,0.75
2002/03,Fall,533,272,159,57,33,41,45,50,70,123,154,33,500,0.94
2002/03,Winter,535,265,136,50,23,21,23,29,52,106,152,21,514,0.96
2002/03,Spring,533.0,284.0,161.0,68.0,39.0,39.0,54.0,51.0,68.0,118.0,170.0,39.0,494.0,0.93
2003/04,Summer,535.0,323.0,230.0,156.0,114.0,104.0,150.0,145.0,159.0,218.0,270.0,104.0,431.0,0.81
2003/04,Fall,534,274,141,58,33,38,53,48,78,125,177,33,501,0.94
2003/04,Winter,534,257,146,39,19,25,34,35,50,111,151,19,515,0.96
2003/04,Spring,538.0,271.0,159.0,77.0,45.0,38.0,51.0,46.0,61.0,108.0,155.0,38.0,500.0,0.93
2004/05,Summer,530.0,340.0,241.0,174.0,142.0,130.0,130.0,116.0,129.0,176.0,224.0,116.0,414.0,0.78
2004/05,Fall,537,292,153,61,29,29,41,32,74,117,156,29,508,0.95
2004/05,Winter,537,256,141,44,26,34,44,34,67,126,187,26,511,0.95
2004/05,Spring,537.0,252.0,159.0,58.0,34.0,41.0,36.0,42.0,67.0,116.0,165.0,34.0,503.0,0.94
2005/06,Summer,537.0,310.0,231.0,167.0,133.0,133.0,140.0,137.0,163.0,212.0,276.0,133.0,404.0,0.75
2005/06,Fall,528,252,134,50,34,40,38,38,72,133,180,34,494,0.94
2005/06,Winter,528,256,107,42,27,44,38,37,89,134,181,27,501,0.95
2005/06,Spring,519.0,249.0,137.0,66.0,42.0,42.0,36.0,43.0,69.0,114.0,142.0,36.0,483.0,0.93
2006/07,Summer,527.0,283.0,193.0,132.0,110.0,108.0,120.0,125.0,140.0,198.0,249.0,108.0,419.0,0.8
2006/07,Fall,527,252,105,41,34,31,34,36,67,125,181,31,496,0.94
2006/07,Winter,527,215,93,29,25,41,50,48,79,125,200,25,502,0.95
2006/07,Spring,527.0,238.0,127.0,50.0,40.0,44.0,50.0,43.0,64.0,113.0,184.0,40.0,487.0,0.92
2007/08,Summer,527.0,279.0,189.0,114.0,94.0,91.0,98.0,99.0,135.0,190.0,278.0,91.0,436.0,0.83
2007/08,Fall,527,322,177,96,76,70,77,75,92,124,170,70,457,0.87
2007/08,Winter,527,316,177,96,64,65,58,53,72,120,150,53,474,0.9
2007/08,Spring,527.0,303.0,167.0,75.0,48.0,47.0,54.0,66.0,85.0,127.0,172.0,47.0,480.0,0.91
2008/09,Summer,527.0,363.0,281.0,194.0,143.0,139.0,155.0,162.0,169.0,205.0,259.0,139.0,388.0,0.74
2008/09,Fall,527,335,206,126,57,55,71,79,106,156,187,55,472,0.9
2008/09,Winter,533,352,222,128,78,64,70,56,73,127,188,56,477,0.89
2008/09,Spring,533.0,354.0,224.0,129.0,74.0,68.0,78.0,65.0,87.0,136.0,180.0,65.0,468.0,0.88
2009/10,Summer,530.0,372.0,275.0,204.0,150.0,145.0,165.0,159.0,173.0,231.0,298.0,145.0,385.0,0.73
2009/10,Fall,531,359,229,132,76,72,82,72,90,152,187,72,459,0.86
2009/10,Winter,529,336,215,105,54,48,49,39,66,119,170,39,490,0.93
2009/10,Spring,529.0,349.0,217.0,102.0,42.0,46.0,70.0,60.0,90.0,138.0,164.0,42.0,487.0,0.92
2010/11,Summer,532.0,393.0,288.0,213.0,158.0,149.0,164.0,161.0,177.0,231.0,293.0,149.0,383.0,0.72
2010/11,Fall,532,344,209,114,64,61,62,57,79,134,186,57,475,0.89
2010/11,Winter,532,350,194,87,44,51,32,34,69,132,179,32,500,0.94
2010/11,Spring,532.0,327.0,190.0,104.0,61.0,50.0,75.0,61.0,88.0,143.0,190.0,50.0,482.0,0.91
2011/12,Summer,532.0,382.0,256.0,156.0,107.0,97.0,121.0,116.0,156.0,225.0,336.0,97.0,435.0,0.82
2011/12,Fall,532,344,204,110,73,65,79,72,103,152,237,65,467,0.88
2011/12,Winter,531,331,206,127,62,57,56,60,96,157,234,56,475,0.89
2011/12,Spring,533.0,343.0,228.0,140.0,78.0,72.0,60.0,54.0,94.0,151.0,223.0,54.0,479.0,0.9
2012/13,Summer,533.0,379.0,267.0,165.0,115.0,104.0,147.0,138.0,166.0,229.0,336.0,104.0,429.0,0.8
2012/13,Fall,533,327,192,110,45,45,49,46,90,146,213,45,488,0.92
2012/13,Winter,533,327,199,104,40,40,46,34,97,164,224,34,499,0.94
2012/13,Spring,533.0,362.0,223.0,137.0,43.0,38.0,58.0,43.0,78.0,132.0,216.0,38.0,495.0,0.93
2013/14,Summer,533.0,391.0,299.0,202.0,126.0,116.0,147.0,142.0,191.0,247.0,327.0,116.0,417.0,0.78
2013/14,Fall,533,316,206,97,31,34,55,47,94,139,218,31,502,0.94
2013/14,Winter,533,310,186,69,34,34,40,38,85,145,222,34,499,0.94
2013/14,Spring,533.0,302.0,204.0,112.0,56.0,50.0,33.0,38.0,88.0,126.0,204.0,33.0,500.0,0.94
2014/15,533,351,244,169,99,86,121,129,171,212,294,86,447,0.84
2014/15,533,349,203,94,38,39,28,32,64,140,205,28,505,0.95
2014/15,533,300,198,117,84,73,76,73,118,167,240,73,460,0.86
2014/15,533,311,179,72,35,42,58,46,86,125,201,35,498,0.93
