year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,295.0,157.0,99.0,77.0,62.0,58.0,62.0,62.0,71.0,98.0,136.0,58.0,237.0,0.8
2000/01,Fall,293,119,63,15,0,2,3,2,7,23,55,0,293,1.0
2000/01,Winter,293,132,73,11,0,7,5,3,10,32,66,0,293,1.0
2000/01,Spring,293.0,135.0,70.0,18.0,3.0,4.0,8.0,4.0,12.0,34.0,60.0,3.0,290.0,0.99
2001/02,Summer,293.0,162.0,111.0,79.0,58.0,52.0,60.0,60.0,59.0,84.0,129.0,52.0,241.0,0.82
2001/02,Fall,293,160,85,21,0,3,6,3,14,37,72,0,293,1.0
2001/02,Winter,297,150,77,13,1,4,6,6,12,35,71,1,296,1.0
2001/02,Spring,299.0,153.0,85.0,27.0,3.0,1.0,14.0,6.0,8.0,31.0,59.0,1.0,298.0,1.0
2002/03,Summer,293.0,163.0,99.0,76.0,63.0,61.0,69.0,72.0,80.0,114.0,150.0,61.0,232.0,0.79
2002/03,Fall,293,138,67,6,0,0,4,10,19,46,72,0,293,1.0
2002/03,Winter,293,130,42,2,0,0,3,3,15,45,81,0,293,1.0
2002/03,Spring,293.0,145.0,67.0,18.0,2.0,2.0,10.0,9.0,21.0,48.0,85.0,2.0,291.0,0.99
2003/04,Summer,293.0,163.0,111.0,73.0,50.0,43.0,60.0,62.0,69.0,109.0,154.0,43.0,250.0,0.85
2003/04,Fall,293,134,58,10,2,4,8,11,26,55,93,2,291,0.99
2003/04,Winter,293,125,66,8,0,1,5,8,17,48,82,0,293,1.0
2003/04,Spring,297.0,131.0,62.0,17.0,5.0,1.0,5.0,6.0,14.0,38.0,69.0,1.0,296.0,1.0
2004/05,Summer,289.0,166.0,109.0,74.0,54.0,46.0,44.0,37.0,40.0,72.0,109.0,37.0,252.0,0.87
2004/05,Fall,292,142,53,8,0,1,4,2,18,44,78,0,292,1.0
2004/05,Winter,292,118,46,3,1,2,4,4,18,51,95,1,291,1.0
2004/05,Spring,292.0,114.0,53.0,4.0,2.0,2.0,5.0,4.0,19.0,48.0,83.0,2.0,290.0,0.99
2005/06,Summer,292.0,153.0,103.0,78.0,60.0,58.0,60.0,55.0,73.0,102.0,150.0,55.0,237.0,0.81
2005/06,Fall,283,118,40,5,0,2,2,3,18,57,91,0,283,1.0
2005/06,Winter,283,123,30,2,1,2,1,4,30,56,96,1,282,1.0
2005/06,Spring,275.0,113.0,43.0,10.0,4.0,0.0,2.0,5.0,20.0,44.0,71.0,0.0,275.0,1.0
2006/07,Summer,285.0,134.0,76.0,49.0,38.0,36.0,39.0,46.0,57.0,97.0,134.0,36.0,249.0,0.87
2006/07,Fall,285,116,21,1,0,0,1,4,19,54,89,0,285,1.0
2006/07,Winter,285,88,11,0,0,0,2,1,15,51,99,0,285,1.0
2006/07,Spring,285.0,100.0,32.0,3.0,0.0,0.0,0.0,0.0,11.0,41.0,91.0,0.0,285.0,1.0
2007/08,Summer,285.0,126.0,64.0,31.0,19.0,17.0,20.0,22.0,43.0,81.0,148.0,17.0,268.0,0.94
2007/08,Fall,285,159,60,19,8,7,10,9,24,39,77,7,278,0.98
2007/08,Winter,285,156,62,12,1,3,3,2,16,41,65,1,284,1.0
2007/08,Spring,285.0,153.0,54.0,7.0,2.0,1.0,6.0,8.0,18.0,41.0,72.0,1.0,284.0,1.0
2008/09,Summer,284.0,184.0,131.0,86.0,50.0,46.0,53.0,56.0,62.0,84.0,125.0,46.0,238.0,0.84
2008/09,Fall,284,176,92,43,6,4,13,20,33,56,83,4,280,0.99
2008/09,Winter,291,190,94,32,5,4,7,3,14,42,85,3,288,0.99
2008/09,Spring,291.0,192.0,97.0,43.0,9.0,5.0,10.0,9.0,21.0,44.0,86.0,5.0,286.0,0.98
2009/10,Summer,291.0,198.0,127.0,87.0,58.0,55.0,63.0,63.0,66.0,106.0,158.0,55.0,236.0,0.81
2009/10,Fall,291,200,102,43,12,8,12,10,21,51,90,8,283,0.97
2009/10,Winter,291,186,91,30,6,3,5,4,15,40,80,3,288,0.99
2009/10,Spring,291.0,189.0,95.0,27.0,1.0,2.0,8.0,5.0,18.0,50.0,73.0,1.0,290.0,1.0
2010/11,Summer,291.0,208.0,135.0,95.0,65.0,54.0,62.0,57.0,63.0,96.0,145.0,54.0,237.0,0.81
2010/11,Fall,291,180,84,22,2,1,5,3,19,48,89,1,290,1.0
2010/11,Winter,291,184,75,12,2,2,2,1,15,53,87,1,290,1.0
2010/11,Spring,291.0,166.0,74.0,20.0,6.0,3.0,6.0,6.0,22.0,49.0,89.0,3.0,288.0,0.99
2011/12,Summer,291.0,192.0,106.0,55.0,31.0,29.0,42.0,40.0,60.0,96.0,174.0,29.0,262.0,0.9
2011/12,Fall,291,176,77,23,3,1,7,3,22,52,117,1,290,1.0
2011/12,Winter,291,167,84,33,4,6,2,8,32,66,121,2,289,0.99
2011/12,Spring,291.0,187.0,100.0,45.0,13.0,5.0,3.0,4.0,21.0,55.0,115.0,3.0,288.0,0.99
2012/13,Summer,291.0,181.0,110.0,62.0,38.0,30.0,50.0,47.0,56.0,97.0,178.0,30.0,261.0,0.9
2012/13,Fall,291,167,73,31,1,4,2,4,24,59,107,1,290,1.0
2012/13,Winter,291,172,80,21,0,0,7,5,39,66,116,0,291,1.0
2012/13,Spring,291.0,199.0,96.0,43.0,0.0,0.0,8.0,1.0,23.0,40.0,108.0,0.0,291.0,1.0
2013/14,Summer,305.0,210.0,146.0,99.0,60.0,52.0,66.0,67.0,95.0,125.0,176.0,52.0,253.0,0.83
2013/14,Fall,305,179,102,18,0,1,5,4,35,53,117,0,305,1.0
2013/14,Winter,305,169,82,7,0,1,2,0,30,57,116,0,305,1.0
2013/14,Spring,305.0,166.0,97.0,30.0,4.0,0.0,2.0,4.0,27.0,47.0,110.0,0.0,305.0,1.0
2014/15,Summer,305,183,111,73,39,29,44,47,75,103,168,29,276,0.9
2014/15,Fall,305,207,100,18,1,0,1,1,18,55,108,0,305,1.0
2014/15,Winter,305,165,89,37,26,22,28,26,50,78,137,22,283,0.93
2014/15,Spring,305,175,76,14,1,1,9,1,27,54,114,1,304,1.0
