year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,6.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,5.0,0.83
2000/01,Fall,8,5,4,0,1,0,1,0,0,0,3,0,8,1.0
2000/01,Winter,8,6,4,2,2,1,1,0,0,2,3,0,8,1.0
2000/01,Spring,8.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,8.0,1.0
2001/02,Summer,6.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,0.83
2001/02,Fall,8,7,4,3,4,3,1,2,3,2,2,1,7,0.88
2001/02,Winter,8,7,5,5,1,2,3,3,2,3,3,1,7,0.88
2001/02,Spring,8.0,7.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,6.0,0.75
2002/03,Summer,6.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0,0.67
2002/03,Fall,8,5,5,4,4,4,2,3,1,3,5,1,7,0.88
2002/03,Winter,10,9,6,4,2,2,1,1,2,3,5,1,9,0.9
2002/03,Spring,8.0,8.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,7.0,0.88
2003/04,Summer,10.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,5.0,0.5
2003/04,Fall,10,9,5,4,3,4,4,2,3,3,3,2,8,0.8
2003/04,Winter,10,7,7,5,3,4,5,2,3,5,6,2,8,0.8
2003/04,Spring,10.0,8.0,6.0,5.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,2.0,8.0,0.8
2004/05,Summer,12.0,9.0,7.0,5.0,7.0,6.0,6.0,4.0,5.0,4.0,5.0,4.0,8.0,0.67
2004/05,Fall,12,9,8,5,5,5,5,4,7,6,5,4,8,0.67
2004/05,Winter,12,7,7,4,4,5,5,4,5,6,8,4,8,0.67
2004/05,Spring,12.0,9.0,8.0,7.0,5.0,6.0,4.0,6.0,5.0,7.0,9.0,4.0,8.0,0.67
2005/06,Summer,12.0,9.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,10.0,6.0,6.0,0.5
2005/06,Fall,12,11,10,6,3,4,4,7,5,7,6,3,9,0.75
2005/06,Winter,12,9,6,5,4,4,3,5,6,5,6,3,9,0.75
2005/06,Spring,12.0,9.0,7.0,4.0,3.0,6.0,5.0,7.0,5.0,7.0,6.0,3.0,9.0,0.75
2006/07,Summer,10.0,8.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,0.5
2006/07,Fall,10,9,7,6,6,5,4,4,5,5,9,4,6,0.6
2006/07,Winter,10,8,7,4,6,6,5,5,6,6,6,4,6,0.6
